ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,def_int,def_int_yds,def_int_td
1,2001,2001-10-07,4,23.129,WAS,@,NYG,L 9-23,,,,,
2,2001,2001-10-21,6,23.143,WAS,,CAR,W 17-14,,0.0,1,1,0
3,2001,2001-11-04,8,23.157,WAS,,SEA,W 27-14,,,,,
4,2001,2001-12-30,15,23.213,WAS,@,NOR,W 40-10,,,,,
5,2002,2002-09-16,2,24.108,WAS,,PHI,L 7-37,,,,,
6,2003,2003-11-16,10,25.169,SDG,@,DEN,L 8-37,,,,,
7,2003,2003-11-23,11,25.176,SDG,,CIN,L 27-34,,,,,
8,2003,2003-11-30,12,25.183,SDG,,KAN,L 24-28,,,,,
9,2003,2003-12-07,13,25.190,SDG,@,DET,W 14-7,,,,,
10,2003,2003-12-14,14,25.197,SDG,,GNB,L 21-38,,,,,
11,2003,2003-12-21,15,25.204,SDG,@,PIT,L 24-40,,1.0,0,0,0
12,2003,2003-12-28,16,25.211,SDG,,OAK,W 21-14,,,,,
13,2004,2004-09-12,1,26.104,SFO,,ATL,L 19-21,,,,,
14,2004,2004-09-19,2,26.111,SFO,@,NOR,L 27-30,*,1.0,0,0,0
15,2004,2004-09-26,3,26.118,SFO,@,SEA,L 0-34,,,,,
16,2004,2004-10-03,4,26.125,SFO,,STL,L 14-24,,,,,
17,2004,2004-10-31,7,26.153,SFO,@,CHI,L 13-23,,,,,
