ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1999,1999-12-12,13,24.294,NYG,@,BUF,W 19-17,,,,,,,,
2,2000,2000-09-03,1,25.195,NYG,,ARI,W 21-16,,,,,,,,
3,2000,2000-09-10,2,25.202,NYG,@,PHI,W 33-18,,,,,,,,
4,2000,2000-09-17,3,25.209,NYG,@,CHI,W 14-7,,,,,,,,
5,2000,2000-09-24,4,25.216,NYG,,WAS,L 6-16,,,,,,,,
6,2000,2000-10-01,5,25.223,NYG,@,TEN,L 14-28,,,,,,,,
7,2000,2000-10-08,6,25.230,NYG,@,ATL,W 13-6,,,,,,,,
8,2000,2000-10-15,7,25.237,NYG,,DAL,W 19-14,,0,0,,0,1,0,0
9,2000,2000-11-05,9,25.258,NYG,@,CLE,W 24-3,,,,,,,,
10,2000,2000-11-12,10,25.265,NYG,,STL,L 24-38,,1,40,40.00,0,0,0,0
11,2000,2000-11-19,11,25.272,NYG,,DET,L 21-31,,2,29,14.50,0,0,0,0
12,2000,2000-11-26,12,25.279,NYG,@,ARI,W 31-7,*,0,0,,0,1,4,0
13,2000,2000-12-03,13,25.286,NYG,@,WAS,W 9-7,,,,,,,,
14,2000,2000-12-10,14,25.293,NYG,,PIT,W 30-10,,0,0,,0,1,0,0
15,2000,2000-12-17,15,25.300,NYG,@,DAL,W 17-13,,,,,,,,
16,2000,2000-12-23,16,25.306,NYG,,JAX,W 28-25,,,,,,,,
17,2002,2002-10-13,6,27.234,NYG,,ATL,L 10-17,,,,,,,,
18,2002,2002-10-28,7,27.249,NYG,@,PHI,L 3-17,,,,,,,,
19,2002,2002-11-17,10,27.269,NYG,,WAS,W 19-17,,,,,,,,
20,2002,2002-11-24,11,27.276,NYG,@,HOU,L 14-16,,,,,,,,
21,2002,2002-12-01,12,27.283,NYG,,TEN,L 29-32,,,,,,,,
22,2002,2002-12-08,13,27.290,NYG,@,WAS,W 27-21,,,,,,,,
23,2002,2002-12-15,14,27.297,NYG,,DAL,W 37-7,,,,,,,,
24,2002,2002-12-22,15,27.304,NYG,@,IND,W 44-27,,,,,,,,
