ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-10-11,5,24.037,OAK,@,NYG,L 7-44,,,,,,,0.0%,,,,,,,,,,,
2,2009,2009-10-18,6,24.044,OAK,,PHI,W 13-9,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
3,2009,2009-10-25,7,24.051,OAK,,NYJ,L 0-38,,0,,,,,0.0%,,,,,,,,,,,
4,2009,2009-11-01,8,24.058,OAK,@,SDG,L 16-24,*,2,2,7,3.50,0,100.0%,3.50,0,0,,0,,0,0,0.0,0,1
5,2009,2009-11-15,9,24.072,OAK,,KAN,L 10-16,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
6,2009,2009-11-22,10,24.079,OAK,,CIN,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
7,2009,2009-11-26,11,24.083,OAK,@,DAL,L 7-24,,,,,,,0.0%,,,,,,,,,,,
8,2009,2009-12-06,12,24.093,OAK,@,PIT,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
9,2009,2009-12-13,13,24.100,OAK,,WAS,L 13-34,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,,0,0,0.0,0,0
10,2009,2009-12-20,14,24.107,OAK,@,DEN,W 20-19,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0
11,2009,2010-01-03,16,24.121,OAK,,BAL,L 13-21,,0,,,,,0.0%,,,,,,,,,,,
12,2010,2010-09-12,1,25.008,OAK,@,TEN,L 13-38,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,0,0
13,2010,2010-09-19,2,25.015,OAK,,STL,W 16-14,,1,0,0,,0,0.0%,0.00,1,0,0.00,0,,0,0,0.0,0,0
14,2010,2010-09-26,3,25.022,OAK,@,ARI,L 23-24,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0
15,2010,2010-10-03,4,25.029,OAK,,HOU,L 24-31,,0,,,,,0.0%,,,,,,,,,,,
16,2010,2010-10-10,5,25.036,OAK,,SDG,W 35-27,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,,0,0,0.0,0,0
17,2010,2010-10-17,6,25.043,OAK,@,SFO,L 9-17,*,,,,,,0.0%,,,,,,,,,,,
18,2010,2010-10-31,8,25.057,OAK,,SEA,W 33-3,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
19,2010,2010-11-07,9,25.064,OAK,,KAN,W 23-20,*,4,3,20,6.67,0,75.0%,5.00,0,0,,0,,0,0,0.0,0,0
20,2010,2010-11-21,10,25.078,OAK,@,PIT,L 3-35,,5,3,28,9.33,0,60.0%,5.60,0,0,,0,,0,0,0.0,0,0
21,2010,2010-11-28,11,25.085,OAK,,MIA,L 17-33,,,,,,,0.0%,,,,,,,,,,,
22,2010,2010-12-05,12,25.092,OAK,@,SDG,W 28-13,,,,,,,0.0%,,,,,,,,,,,
23,2010,2010-12-12,13,25.099,OAK,@,JAX,L 31-38,*,1,1,0,0.00,0,100.0%,0.00,0,0,,0,,0,0,0.0,0,0
24,2010,2010-12-19,14,25.106,OAK,,DEN,W 39-23,,,,,,,0.0%,,,,,,,,,,,
25,2010,2010-12-26,15,25.113,OAK,,IND,L 26-31,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0
26,2010,2011-01-02,16,25.120,OAK,@,KAN,W 31-10,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0
27,2011,2011-09-12,1,26.008,OAK,@,DEN,W 23-20,*,5,2,10,5.00,0,40.0%,2.00,0,0,,0,,0,0,0.0,0,0
28,2011,2011-09-18,2,26.014,OAK,@,BUF,L 35-38,*,3,2,16,8.00,0,66.7%,5.33,0,0,,0,,0,0,0.0,0,0
29,2011,2011-09-25,3,26.021,OAK,,NYJ,W 34-24,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
30,2011,2011-10-02,4,26.028,OAK,,NWE,L 19-31,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
31,2011,2011-10-09,5,26.035,OAK,@,HOU,W 25-20,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
32,2011,2011-10-16,6,26.042,OAK,,CLE,W 24-17,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,0,0,0.0,0,0
33,2011,2011-10-23,7,26.049,OAK,,KAN,L 0-28,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0
34,2011,2011-11-06,8,26.063,OAK,,DEN,L 24-38,*,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,0,0
35,2011,2011-11-10,9,26.067,OAK,@,SDG,W 24-17,,3,2,11,5.50,0,66.7%,3.67,0,0,,0,,0,0,0.0,0,0
36,2011,2011-11-20,10,26.077,OAK,@,MIN,W 27-21,*,3,2,23,11.50,0,66.7%,7.67,0,0,,0,,0,0,0.0,0,0
37,2011,2011-11-27,11,26.084,OAK,,CHI,W 25-20,,1,1,24,24.00,0,100.0%,24.00,0,0,,0,,0,0,0.0,0,0
38,2011,2011-12-04,12,26.091,OAK,@,MIA,L 14-34,,6,3,33,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,0,1
39,2011,2011-12-11,13,26.098,OAK,@,GNB,L 16-46,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
40,2011,2011-12-18,14,26.105,OAK,,DET,L 27-28,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
41,2011,2011-12-24,15,26.111,OAK,@,KAN,W 16-13,,0,,,,,0.0%,,,,,,,,,,,
42,2011,2012-01-01,16,26.119,OAK,,SDG,L 26-38,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,0,0
43,2012,2012-09-10,1,27.006,OAK,,SDG,L 14-22,*,5,5,65,13.00,0,100.0%,13.00,0,0,,0,,0,0,0.0,0,0
44,2012,2012-09-16,2,27.012,OAK,@,MIA,L 13-35,*,6,6,86,14.33,0,100.0%,14.33,0,0,,0,,0,0,0.0,0,0
45,2012,2012-09-23,3,27.019,OAK,,PIT,W 34-31,*,4,4,55,13.75,0,100.0%,13.75,0,0,,0,,0,0,0.0,0,0
