ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1969,1969-10-05,4,22.090,BUF,@,HOU,L 14-28,1,19,19.00,0,0,0,,0,0,0,0
2,1969,1969-11-30,12,22.146,BUF,,CIN,W 16-13,0,0,,0,1,2,2.00,0,0,0,0
3,1970,1970-09-20,1,23.075,BUF,,DEN,L 10-25,,,,,,,,,,,
4,1970,1970-09-27,2,23.082,BUF,,RAM,L 0-19,,,,,,,,,,,
5,1970,1970-10-04,3,23.089,BUF,,NYJ,W 34-31,,,,,,,,,,,
6,1970,1970-10-11,4,23.096,BUF,@,PIT,L 10-23,,,,,,,,,,,
7,1970,1970-10-18,5,23.103,BUF,,MIA,L 14-33,,,,,,,,,,,
8,1970,1970-10-25,6,23.110,BUF,@,NYJ,W 10-6,,,,,,,,,,,
9,1970,1970-11-01,7,23.117,BUF,@,BOS,W 45-10,,,,,,,,,,,
10,1970,1970-11-08,8,23.124,BUF,,CIN,L 14-43,,,,,,,,,,,
11,1970,1970-11-15,9,23.131,BUF,@,BAL,T 17-17,,,,,,,,,,,
12,1970,1970-11-22,10,23.138,BUF,@,CHI,L 13-31,,,,,,,,,,,
13,1970,1970-11-29,11,23.145,BUF,,BOS,L 10-14,,,,,,,,,,,
14,1970,1970-12-06,12,23.152,BUF,@,NYG,L 6-20,,,,,,,,,,,
15,1970,1970-12-13,13,23.159,BUF,,BAL,L 14-20,,,,,,,,,,,
16,1970,1970-12-20,14,23.166,BUF,@,MIA,L 7-45,,,,,,,,,,,
17,1971,1971-09-19,1,24.074,BUF,,DAL,L 37-49,,,,,,,,,,,
18,1971,1971-09-26,2,24.081,BUF,,MIA,L 14-29,,,,,,,,,,,
19,1971,1971-10-03,3,24.088,BUF,@,MIN,L 0-19,,,,,,,,,,,
20,1971,1971-10-10,4,24.095,BUF,,BAL,L 0-43,0,0,,0,0,0,,0,1,0,0
21,1971,1971-10-17,5,24.102,BUF,@,NYJ,L 17-28,,,,,,,,,,,
