ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2002,2002-10-27,7,24.087,WAS,,IND,W 26-21,,7,3,49,16.33,1,42.9%,7.00,0,0,,0,1,6
2,2002,2002-11-03,8,24.094,WAS,@,SEA,W 14-3,,4,1,11,11.00,1,25.0%,2.75,0,0,,0,1,6
3,2002,2002-11-10,9,24.101,WAS,@,JAX,L 7-26,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0
4,2002,2002-11-24,11,24.115,WAS,,STL,W 20-17,,,,,,,0.0%,,,,,,,
5,2002,2002-11-28,12,24.119,WAS,@,DAL,L 20-27,,2,,,,,0.0%,,,,,,,
6,2002,2002-12-08,13,24.129,WAS,,NYG,L 21-27,,5,3,41,13.67,0,60.0%,8.20,1,9,9.00,0,0,0
7,2002,2002-12-15,14,24.136,WAS,@,PHI,L 21-34,*,5,4,39,9.75,0,80.0%,7.80,0,0,,0,0,0
8,2002,2002-12-22,15,24.143,WAS,,HOU,W 26-10,,7,3,50,16.67,0,42.9%,7.14,0,0,,0,0,0
9,2002,2002-12-29,16,24.150,WAS,,DAL,W 20-14,,8,6,60,10.00,0,75.0%,7.50,0,0,,0,0,0
10,2003,2003-09-04,1,25.034,WAS,,NYJ,W 16-13,,2,1,4,4.00,1,50.0%,2.00,0,0,,0,1,6
11,2003,2003-09-14,2,25.044,WAS,@,ATL,W 33-31,,3,1,21,21.00,0,33.3%,7.00,0,0,,0,0,0
12,2003,2003-09-21,3,25.051,WAS,,NYG,L 21-24,,6,4,67,16.75,1,66.7%,11.17,0,0,,0,1,6
13,2003,2003-09-28,4,25.058,WAS,,NWE,W 20-17,,2,,,,,0.0%,,,,,,,
14,2003,2003-10-05,5,25.065,WAS,@,PHI,L 25-27,,5,4,79,19.75,1,80.0%,15.80,0,0,,0,1,6
15,2003,2003-10-12,6,25.072,WAS,,TAM,L 13-35,,8,4,52,13.00,1,50.0%,6.50,0,0,,0,1,6
16,2003,2003-10-19,7,25.079,WAS,@,BUF,L 7-24,,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0
17,2003,2003-11-02,8,25.093,WAS,@,DAL,L 14-21,*,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0
18,2003,2003-11-09,9,25.100,WAS,,SEA,W 27-20,,1,,,,,0.0%,,,,,,,
19,2003,2003-11-16,10,25.107,WAS,@,CAR,L 17-20,,4,3,25,8.33,1,75.0%,6.25,0,0,,0,1,6
20,2003,2003-11-23,11,25.114,WAS,@,MIA,L 23-24,,4,1,7,7.00,0,25.0%,1.75,0,0,,0,0,0
21,2003,2003-12-07,13,25.128,WAS,@,NYG,W 20-7,,2,2,28,14.00,1,100.0%,14.00,0,0,,0,1,6
22,2003,2003-12-14,14,25.135,WAS,,DAL,L 0-27,,5,1,5,5.00,0,20.0%,1.00,0,0,,0,0,0
23,2003,2003-12-21,15,25.142,WAS,@,CHI,L 24-27,,4,2,40,20.00,0,50.0%,10.00,0,0,,0,0,0
24,2003,2003-12-27,16,25.148,WAS,,PHI,L 7-31,,4,1,14,14.00,0,25.0%,3.50,0,0,,0,0,0
25,2004,2004-11-14,9,26.105,WAS,,CIN,L 10-17,,3,2,46,23.00,0,66.7%,15.33,0,0,,0,0,0
26,2004,2004-11-21,10,26.112,WAS,@,PHI,L 6-28,,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0
27,2004,2004-11-28,11,26.119,WAS,@,PIT,L 7-16,,1,,,,,0.0%,,,,,,,
28,2004,2004-12-05,12,26.126,WAS,,NYG,W 31-7,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0
29,2004,2004-12-12,13,26.133,WAS,,PHI,L 14-17,*,0,,,,,0.0%,,,,,,,
30,2005,2005-09-12,1,27.042,PHI,@,ATL,L 10-14,,,0,0,,0,0.0%,,0,0,,0,0,0
31,2005,2005-09-18,2,27.048,PHI,,SFO,W 42-3,,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0
32,2005,2005-09-25,3,27.055,PHI,,OAK,W 23-20,,,0,0,,0,0.0%,,0,0,,0,0,0
33,2005,2005-11-06,8,27.097,PHI,@,WAS,L 10-17,,,0,0,,0,0.0%,,0,0,,0,0,0
34,2005,2005-11-14,9,27.105,PHI,,DAL,L 20-21,,,0,0,,0,0.0%,,0,0,,0,0,0
35,2005,2005-11-20,10,27.111,PHI,@,NYG,L 17-27,,0,0,0,,0,0.0%,,0,0,,0,0,0
36,2005,2005-11-27,11,27.118,PHI,,GNB,W 19-14,,,0,0,,0,0.0%,,0,0,,0,0,0
37,2005,2005-12-05,12,27.126,PHI,,SEA,L 0-42,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0
38,2005,2005-12-11,13,27.132,PHI,,NYG,L 23-26,,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0
39,2005,2005-12-18,14,27.139,PHI,@,STL,W 17-16,,0,0,0,,0,0.0%,,0,0,,0,0,0
40,2005,2005-12-24,15,27.145,PHI,@,ARI,L 21-27,,3,2,39,19.50,0,66.7%,13.00,0,0,,0,0,0
41,2005,2006-01-01,16,27.153,PHI,,WAS,L 20-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
