ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1986,1986-09-07,1,25.175,MIN,,DET,L 10-13,1,5,5.00,1,0,0,,0,1,6
2,1986,1986-09-14,2,25.182,MIN,@,TAM,W 23-10,0,0,,0,,,,,,
3,1986,1986-09-21,3,25.189,MIN,,PIT,W 31-7,1,9,9.00,1,0,0,,0,1,6
4,1986,1986-09-28,4,25.196,MIN,,GNB,W 42-7,0,0,,0,,,,,,
5,1986,1986-10-05,5,25.203,MIN,@,CHI,L 0-23,0,0,,0,,,,,,
6,1986,1986-10-12,6,25.210,MIN,@,SFO,W 27-24,0,0,,0,,,,,,
7,1986,1986-10-19,7,25.217,MIN,,CHI,W 23-7,0,0,,0,,,,,,
8,1986,1986-10-26,8,25.224,MIN,,CLE,L 20-23,1,18,18.00,0,0,0,,0,0,0
9,1986,1986-11-02,9,25.231,MIN,@,WAS,L 38-44,0,0,,0,,,,,,
10,1986,1986-11-09,10,25.238,MIN,@,DET,W 24-10,0,0,,0,,,,,,
11,1986,1986-11-23,12,25.252,MIN,@,CIN,L 20-24,0,0,,0,,,,,,
12,1986,1986-11-30,13,25.259,MIN,,TAM,W 45-13,1,18,18.00,0,0,0,,0,0,0
13,1986,1986-12-07,14,25.266,MIN,@,GNB,W 32-6,1,11,11.00,0,0,0,,0,0,0
14,1986,1986-12-21,16,25.280,MIN,,NOR,W 33-17,0,0,,0,,,,,,
15,1987,1987-09-13,1,26.181,MIN,,DET,W 34-19,0,0,,0,0,0,,0,0,
16,1987,1987-09-20,2,26.188,MIN,@,RAM,W 21-16,0,0,,0,0,0,,0,0,
17,1987,1987-10-26,6,26.224,MIN,,DEN,W 34-27,0,0,,0,0,0,,0,0,
18,1987,1987-11-01,7,26.230,MIN,@,SEA,L 17-28,0,0,,0,0,0,,0,0,
19,1987,1987-11-08,8,26.237,MIN,,RAI,W 31-20,0,0,,0,0,0,,0,0,
20,1987,1987-11-15,9,26.244,MIN,,TAM,W 23-17,0,0,,0,0,0,,0,0,
21,1987,1987-11-22,10,26.251,MIN,,ATL,W 24-13,0,0,,0,0,0,,0,0,
