ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
1,2015,2015-09-13,1,22.208,BAL,@,DEN,L 13-19,,0,0,0,,0,0.0%,,1,10,10.00,0,,0,0
2,2015,2015-09-20,2,22.215,BAL,@,OAK,L 33-37,,0,0,0,,0,0.0%,,0,0,,0,,0,0
3,2015,2015-09-27,3,22.222,BAL,,CIN,L 24-28,,2,2,19,9.50,0,100.0%,9.50,0,0,,0,,0,0
4,2015,2015-10-01,4,22.226,BAL,@,PIT,W 23-20,*,4,3,12,4.00,0,75.0%,3.00,0,0,,0,,0,0
5,2015,2015-10-11,5,22.236,BAL,,CLE,L 30-33,,3,3,27,9.00,0,100.0%,9.00,0,0,,0,,0,0
6,2015,2015-10-18,6,22.243,BAL,@,SFO,L 20-25,,0,0,0,,0,0.0%,,0,0,,0,,0,0
7,2015,2015-10-26,7,22.251,BAL,@,ARI,L 18-26,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,1,0,2
8,2015,2015-11-01,8,22.257,BAL,,SDG,W 29-26,,2,1,15,15.00,0,50.0%,7.50,0,0,,0,,0,0
9,2015,2015-11-15,9,22.271,BAL,,JAX,L 20-22,*,3,3,35,11.67,0,100.0%,11.67,0,0,,0,,0,0
10,2015,2015-11-30,11,22.286,BAL,@,CLE,W 33-27,,3,1,10,10.00,0,33.3%,3.33,0,0,,0,,0,0
11,2015,2015-12-06,12,22.292,BAL,@,MIA,L 13-15,,4,3,15,5.00,0,75.0%,3.75,0,0,,0,,0,0
12,2016,2016-11-27,11,23.284,BAL,,CIN,W 19-14,,0,0,0,,0,0.0%,,0,0,,0,,0,0
13,2016,2016-12-04,12,23.291,BAL,,MIA,W 38-6,,2,2,24,12.00,0,100.0%,12.00,0,0,,0,,0,0
14,2016,2016-12-12,13,23.299,BAL,@,NWE,L 23-30,,3,3,15,5.00,0,100.0%,5.00,0,0,,0,,0,0
15,2016,2016-12-18,14,23.305,BAL,,PHI,W 27-26,,0,0,0,,0,0.0%,,0,0,,0,,0,0
16,2016,2016-12-25,15,23.312,BAL,@,PIT,L 27-31,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0
17,2016,2017-01-01,16,23.319,BAL,@,CIN,L 10-27,,0,0,0,,0,0.0%,,1,0,0.00,0,,0,0
18,2017,2017-09-10,1,24.205,BAL,@,CIN,W 20-0,*,1,1,14,14.00,0,100.0%,14.00,0,0,,0,,0,0
19,2017,2017-09-17,2,24.212,BAL,,CLE,W 24-10,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0
20,2017,2017-09-24,3,24.219,BAL,@,JAX,L 7-44,*,2,2,14,7.00,0,100.0%,7.00,0,0,,0,,0,0
21,2017,2017-10-01,4,24.226,BAL,,PIT,L 9-26,*,5,5,36,7.20,0,100.0%,7.20,0,0,,0,,0,0
22,2017,2017-10-08,5,24.233,BAL,@,OAK,W 30-17,*,2,1,9,9.00,0,50.0%,4.50,0,0,,0,,0,0
23,2017,2017-10-15,6,24.240,BAL,,CHI,L 24-27,*,3,2,15,7.50,0,66.7%,5.00,0,0,,0,1,0,2
24,2017,2017-10-22,7,24.247,BAL,@,MIN,L 16-24,*,3,2,12,6.00,0,66.7%,4.00,0,0,,0,,0,0
25,2017,2017-10-26,8,24.251,BAL,,MIA,W 40-0,*,4,4,29,7.25,0,100.0%,7.25,0,0,,0,,0,0
26,2017,2017-11-19,10,24.275,BAL,@,GNB,W 23-0,*,2,1,2,2.00,0,50.0%,1.00,0,0,,0,,0,0
27,2017,2017-11-27,11,24.283,BAL,,HOU,W 23-16,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0
28,2017,2017-12-03,12,24.289,BAL,,DET,W 44-20,*,3,1,11,11.00,0,33.3%,3.67,0,0,,0,,0,0
29,2017,2017-12-10,13,24.296,BAL,@,PIT,L 38-39,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,0,0
30,2017,2017-12-17,14,24.303,BAL,@,CLE,W 27-10,*,2,1,9,9.00,0,50.0%,4.50,0,0,,0,,0,0
31,2017,2017-12-23,15,24.309,BAL,,IND,W 23-16,,4,3,9,3.00,0,75.0%,2.25,0,0,,0,,0,0
32,2017,2017-12-31,16,24.317,BAL,,CIN,L 27-31,*,3,2,24,12.00,0,66.7%,8.00,0,0,,0,,0,0
33,2018,2018-09-09,1,25.204,BAL,,BUF,W 47-3,*,6,3,40,13.33,0,50.0%,6.67,0,0,,0,,0,0
34,2018,2018-09-13,2,25.208,BAL,@,CIN,L 23-34,,4,2,26,13.00,0,50.0%,6.50,0,0,,0,,0,0
35,2018,2018-09-23,3,25.218,BAL,,DEN,W 27-14,*,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,0,0
