ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2012,2012-12-02,12,26.243,TEN,,HOU,L 10-24,,,,,,,0.0%,,,,,,,,
2,2012,2012-12-30,16,26.271,TEN,,JAX,W 38-20,,0,0,0,,0,0.0%,,5,19,3.80,0,0.0,0,0
3,2013,2013-09-08,1,27.158,TEN,@,PIT,W 16-9,*,,,,,,0.0%,,,,,,,,
4,2013,2013-09-15,2,27.165,TEN,@,HOU,L 24-30,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0.0,0,0
5,2013,2013-09-22,3,27.172,TEN,,SDG,W 20-17,,,,,,,0.0%,,,,,,,,
6,2013,2013-09-29,4,27.179,TEN,,NYJ,W 38-13,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0.0,0,0
7,2013,2013-10-06,5,27.186,TEN,,KAN,L 17-26,,,,,,,0.0%,,,,,,,,
8,2013,2013-10-13,6,27.193,TEN,@,SEA,L 13-20,,,,,,,0.0%,,,,,,,,
9,2013,2013-10-20,7,27.200,TEN,,SFO,L 17-31,,,,,,,0.0%,,,,,,,,
10,2013,2013-11-03,8,27.214,TEN,@,STL,W 28-21,*,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0.0,0,0
11,2013,2013-11-10,9,27.221,TEN,,JAX,L 27-29,,,,,,,0.0%,,,,,,,,
12,2013,2013-11-14,10,27.225,TEN,,IND,L 27-30,,,,,,,0.0%,,,,,,,,
13,2013,2013-11-24,11,27.235,TEN,@,OAK,W 23-19,,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0.0,2,1
14,2013,2013-12-01,12,27.242,TEN,@,IND,L 14-22,,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,0.0,0,0
