ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1972,1972-09-17,1,22.020,CLE,,GNB,L 10-26,0,0,,0,1,2,2.00,0,0,0,0,0,0
2,1972,1972-09-24,2,22.027,CLE,@,PHI,W 27-17,0,0,,0,3,11,3.67,0,0,0,0,0,0
3,1972,1972-10-01,3,22.034,CLE,,CIN,W 27-6,0,0,,0,2,14,7.00,0,0,0,0,0,0
4,1972,1972-10-08,4,22.041,CLE,,KAN,L 7-31,0,0,,0,2,38,19.00,0,0,0,0,0,0
5,1972,1972-10-15,5,22.048,CLE,,CHI,L 0-17,0,0,,0,1,0,0.00,0,0,0,0,0,0
6,1972,1972-10-22,6,22.055,CLE,@,HOU,W 23-17,0,0,,0,2,7,3.50,0,0,0,0,0,0
7,1972,1972-10-29,7,22.062,CLE,@,DEN,W 27-20,0,0,,0,1,1,1.00,0,0,0,1,8,0
8,1972,1972-11-05,8,22.069,CLE,,HOU,W 20-0,0,0,,0,1,-1,-1.00,0,0,0,0,0,0
9,1972,1972-11-13,9,22.077,CLE,@,SDG,W 21-17,,,,,,,,,,,0,20,0
10,1972,1972-11-19,10,22.083,CLE,,PIT,W 26-24,0,0,,0,2,-11,-5.50,0,0,0,1,20,0
11,1972,1972-11-26,11,22.090,CLE,,BUF,W 27-10,,,,,,,,,,,,,
12,1972,1972-12-03,12,22.097,CLE,@,PIT,L 0-30,,,,,,,,,,,,,
13,1972,1972-12-09,13,22.103,CLE,@,CIN,W 27-24,0,0,,0,0,0,,0,0,0,1,16,0
14,1972,1972-12-17,14,22.111,CLE,@,NYJ,W 26-10,,,,,,,,,,,,,
15,1973,1973-09-16,1,23.019,CLE,,BAL,W 24-14,,,,,,,,,,,,,
16,1973,1973-09-23,2,23.026,CLE,@,PIT,L 6-33,,,,,,,,,,,,,
17,1973,1973-09-30,3,23.033,CLE,,NYG,W 12-10,0,0,,0,5,35,7.00,0,0,0,1,36,0
18,1973,1973-10-07,4,23.040,CLE,,CIN,W 17-10,0,0,,0,1,5,5.00,0,0,0,0,0,0
19,1973,1973-10-15,5,23.048,CLE,,MIA,L 9-17,,,,,,,,,,,,,
20,1973,1973-10-21,6,23.054,CLE,,HOU,W 42-13,0,0,,0,1,1,1.00,0,0,0,0,0,0
21,1973,1973-10-28,7,23.061,CLE,,SDG,T 16-16,0,0,,0,2,10,5.00,0,0,0,0,0,0
22,1973,1973-11-04,8,23.068,CLE,@,MIN,L 3-26,,,,,,,,,,,,,
23,1973,1973-11-11,9,23.075,CLE,@,HOU,W 23-13,,,,,,,,,,,,,
24,1973,1973-12-09,13,23.103,CLE,@,CIN,L 17-34,,,,,,,,,,,,,
25,1973,1973-12-16,14,23.110,CLE,@,RAM,L 17-30,,,,,,,,,,,,,
26,1974,1974-09-15,1,24.018,CLE,@,CIN,L 7-33,,,,,,,,,,,,,
27,1974,1974-09-22,2,24.025,CLE,,HOU,W 20-7,0,0,,0,1,3,3.00,0,0,0,1,20,0
28,1974,1974-09-29,3,24.032,CLE,@,STL,L 7-29,0,0,,0,1,0,0.00,0,0,0,0,0,0
29,1974,1974-10-06,4,24.039,CLE,,OAK,L 24-40,0,0,,0,1,12,12.00,0,0,0,2,7,0
30,1974,1974-10-13,5,24.046,CLE,,CIN,L 24-34,0,0,,0,2,23,11.50,0,0,0,0,0,0
31,1974,1974-10-20,6,24.053,CLE,@,PIT,L 16-20,0,0,,0,2,14,7.00,0,0,0,0,0,0
32,1974,1974-10-27,7,24.060,CLE,,DEN,W 23-21,0,0,,0,3,52,17.33,0,0,0,0,0,0
33,1974,1974-11-03,8,24.067,CLE,@,SDG,L 35-36,0,0,,0,2,10,5.00,0,0,0,1,26,0
34,1974,1974-11-10,9,24.074,CLE,@,NWE,W 21-14,0,0,,0,3,14,4.67,0,0,0,2,14,0
35,1974,1974-11-17,10,24.081,CLE,,PIT,L 16-26,0,0,,0,1,3,3.00,0,0,0,0,0,0
36,1974,1974-11-24,11,24.088,CLE,,BUF,L 10-15,0,0,,0,1,13,13.00,0,0,0,0,0,0
37,1974,1974-12-01,12,24.095,CLE,,SFO,W 7-0,0,0,,0,1,14,14.00,0,0,0,1,31,0
38,1974,1974-12-07,13,24.101,CLE,@,DAL,L 17-41,0,0,,0,1,7,7.00,0,0,0,1,7,0
39,1974,1974-12-15,14,24.109,CLE,@,HOU,L 24-28,0,0,,0,2,8,4.00,0,0,0,0,0,0
40,1976,1976-09-12,1,26.015,CLE,,NYJ,W 38-17,0,0,,0,0,0,,0,0,0,2,30,0
41,1976,1976-09-19,2,26.022,CLE,@,PIT,L 14-31,,,,,,,,,,,,,
42,1976,1976-09-26,3,26.029,CLE,@,DEN,L 13-44,0,0,,0,0,0,,0,0,0,1,15,0
43,1976,1976-10-03,4,26.036,CLE,,CIN,L 24-45,,,,,,,,,,,,,
44,1976,1976-10-10,5,26.043,CLE,,PIT,W 18-16,0,0,,0,0,0,,0,0,0,1,7,0
45,1976,1976-10-17,6,26.050,CLE,@,ATL,W 20-17,0,0,,0,0,0,,0,0,0,1,13,0
46,1976,1976-10-24,7,26.057,CLE,,SDG,W 21-17,,,,,,,,,,,,,
47,1976,1976-10-31,8,26.064,CLE,@,CIN,L 6-21,,,,,,,,,,,,,
48,1976,1976-11-07,9,26.071,CLE,@,HOU,W 21-7,,,,,,,,,,,,,
49,1976,1976-11-14,10,26.078,CLE,,PHI,W 24-3,0,0,,0,0,0,,0,0,0,1,8,0
50,1976,1976-11-21,11,26.085,CLE,@,TAM,W 24-7,,,,,,,,,,,,,
51,1976,1976-11-28,12,26.092,CLE,,MIA,W 17-13,,,,,,,,,,,,,
52,1976,1976-12-05,13,26.099,CLE,,HOU,W 13-10,0,0,,0,0,0,,0,0,0,1,0,0
53,1976,1976-12-12,14,26.106,CLE,@,KAN,L 14-39,,,,,,,,,,,,,
54,1977,1977-09-18,1,27.021,CLE,@,CIN,W 13-3,,,,,,,,,,,,,
55,1977,1977-09-26,2,27.029,CLE,,NWE,W 30-27,,,,,,,,,,,,,
56,1977,1977-10-02,3,27.035,CLE,,PIT,L 14-28,,,,,,,,,,,,,
57,1977,1977-10-09,4,27.042,CLE,,OAK,L 10-26,0,0,,0,0,0,,0,0,0,1,5,0
58,1977,1977-10-16,5,27.049,CLE,@,HOU,W 24-23,,,,,,,,,,,,,
59,1977,1977-10-23,6,27.056,CLE,@,BUF,W 27-16,0,0,,0,0,0,,0,0,0,2,56,0
60,1977,1977-10-30,7,27.063,CLE,,KAN,W 44-7,0,0,,0,0,0,,0,1,6,1,18,1
61,1977,1977-11-06,8,27.070,CLE,,CIN,L 7-10,0,0,,0,0,0,,0,0,0,1,27,0
62,1977,1977-11-13,9,27.077,CLE,@,PIT,L 31-35,,,,,,,,,,,,,
63,1977,1977-11-20,10,27.084,CLE,@,NYG,W 21-7,,,,,,,,,,,,,
64,1977,1977-11-27,11,27.091,CLE,,RAM,L 0-9,,,,,,,,,,,,,
65,1977,1977-12-04,12,27.098,CLE,@,SDG,L 14-37,,,,,,,,,,,,,
66,1977,1977-12-11,13,27.105,CLE,,HOU,L 15-19,,,,,,,,,,,,,
67,1977,1977-12-18,14,27.112,CLE,@,SEA,L 19-20,0,0,,0,0,0,,0,0,0,1,1,0
68,1978,1978-09-03,1,28.006,CLE,,SFO,W 24-7,0,0,,0,0,0,,0,0,0,1,42,0
69,1978,1978-09-10,2,28.013,CLE,,CIN,W 13-10,,,,,,,,,,,,,
70,1978,1978-09-17,3,28.020,CLE,@,ATL,W 24-16,0,0,,0,0,0,,0,0,0,2,46,0
71,1978,1978-09-24,4,28.027,CLE,@,PIT,L 9-15,0,0,,0,0,0,,0,0,0,2,31,0
72,1978,1978-10-01,5,28.034,CLE,,HOU,L 13-16,,,,,,,,,,,,,
73,1978,1978-10-08,6,28.041,CLE,@,NOR,W 24-16,,,,,,,,,,,,,
74,1978,1978-10-15,7,28.048,CLE,,PIT,L 14-34,,,,,,,,,,,,,
75,1978,1978-10-22,8,28.055,CLE,@,KAN,L 3-17,,,,,,,,,,,,,
76,1978,1978-10-29,9,28.062,CLE,,BUF,W 41-20,0,0,,0,0,0,,0,0,0,2,32,0
77,1978,1978-11-05,10,28.069,CLE,@,HOU,L 10-14,,,,,,,,,,,,,
78,1978,1978-11-12,11,28.076,CLE,,DEN,L 7-19,,,,,,,,,,,,,
79,1978,1978-11-19,12,28.083,CLE,@,BAL,W 45-24,,,,,,,,,,,,,
80,1978,1978-11-26,13,28.090,CLE,,RAM,W 30-19,0,0,,0,0,0,,0,0,0,1,21,0
81,1978,1978-12-03,14,28.097,CLE,@,SEA,L 24-47,0,0,,0,0,0,,0,0,0,1,14,0
82,1978,1978-12-10,15,28.104,CLE,,NYJ,W 37-34,0,0,,0,0,0,,0,0,0,1,14,0
