ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-10-02,2,22.199,BAL,,CHI,W 42-7,1,5,5.00,0,0,0,,0,0,0,0,0,0
2,1960,1960-10-23,5,22.220,BAL,@,DET,L 17-30,0,0,,0,1,15,15.00,0,0,0,0,0,0
3,1960,1960-10-30,6,22.227,BAL,@,DAL,W 45-7,3,18,6.00,0,0,0,,0,0,0,0,0,0
4,1960,1960-11-13,8,22.241,BAL,@,CHI,W 24-20,0,0,,0,1,18,18.00,0,0,0,0,0,0
5,1960,1960-11-27,9,22.255,BAL,,SFO,L 22-30,0,0,,0,1,28,28.00,0,0,0,0,0,0
6,1960,1960-12-04,10,22.262,BAL,,DET,L 15-20,1,0,0.00,0,1,19,19.00,0,0,0,0,0,0
7,1961,1961-10-01,3,23.198,BAL,,MIN,W 34-33,0,0,,0,1,18,18.00,0,0,0,0,0,0
8,1961,1961-10-08,4,23.205,BAL,@,GNB,L 7-45,0,0,,0,1,50,50.00,0,0,0,0,0,0
9,1961,1961-12-09,13,23.267,BAL,@,RAM,L 17-34,1,60,60.00,1,2,51,25.50,0,1,6,0,0,0
10,1961,1961-12-16,14,23.274,BAL,@,SFO,W 27-24,0,0,,0,1,27,27.00,0,0,0,0,0,0
11,1962,1962-11-04,8,24.232,BAL,@,SFO,W 22-3,0,0,,0,0,0,,0,0,0,1,30,0
12,1963,1963-09-29,3,25.196,BAL,@,GNB,L 20-31,0,0,,0,0,0,,0,0,0,1,7,0
13,1963,1963-10-06,4,25.203,BAL,@,CHI,L 3-10,0,0,,0,0,0,,0,0,0,1,12,0
14,1963,1963-10-13,5,25.210,BAL,,SFO,W 20-3,0,0,,0,0,0,,0,0,0,1,15,0
15,1963,1963-10-27,7,25.224,BAL,,GNB,L 20-34,0,0,,0,0,0,,0,0,0,1,15,0
16,1967,1967-09-17,1,29.184,BAL,,ATL,W 38-31,2,6,3.00,0,0,0,,0,0,0,0,0,0
17,1968,1968-09-22,2,30.189,DET,,CHI,W 42-0,2,16,8.00,0,0,0,,0,0,0,0,0,0
18,1968,1968-10-13,5,30.210,DET,@,CHI,W 28-10,1,-2,-2.00,0,0,0,,0,0,0,0,0,0
