ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1974,1974-09-15,1,22.198,CHI,,DET,W 17-9,,,,,,,,,,,,,,,,,,,
2,1974,1974-09-22,2,22.205,CHI,,NYJ,L 21-23,,,,,,,,,,,,,,,,,,,
3,1974,1974-09-29,3,22.212,CHI,@,MIN,L 7-11,,,,,,,,,,,,,,,,,,,
4,1974,1974-10-06,4,22.219,CHI,,NOR,W 24-10,,,,,,,,,,,,,,,,,,,
5,1974,1974-10-13,5,22.226,CHI,@,ATL,L 10-13,,,,,,,,,,,,,,,,,,,
6,1974,1974-10-21,6,22.234,CHI,,GNB,W 10-9,,,,,,,,,,,,,,,,,,,
7,1974,1974-10-27,7,22.240,CHI,@,BUF,L 6-16,,,,,,,,,,,,,,,,,,,
8,1974,1974-11-03,8,22.247,CHI,,MIN,L 0-17,,,,,,,,,,,,,,,,,,,
9,1974,1974-11-10,9,22.254,CHI,@,GNB,L 3-20,,,,,,,,,,,,,,,,,,,
10,1974,1974-11-17,10,22.261,CHI,,SFO,L 0-34,1,3,3.00,0,0,0,,0,0,0,,0,0,,,1,8,8.00,0
11,1974,1974-11-24,11,22.268,CHI,@,DET,L 17-34,,,,,,,,,,,,,,,,,,,
12,1974,1974-12-01,12,22.275,CHI,,NYG,W 16-13,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,0,0.00,0
13,1974,1974-12-08,13,22.282,CHI,@,SDG,L 21-28,,,,,,,,,,,,,,,,,,,
14,1974,1974-12-15,14,22.289,CHI,@,WAS,L 0-42,,,,,,,,,,,,,,,,,,,
