ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1994,1994-09-04,1,22.237,NYG,,PHI,W 28-23,1,1,8,8.00,0,100.0%,8.00,1,22,22.00,0,0,0,,0,0,0
2,1994,1994-09-11,2,22.244,NYG,@,ARI,W 20-17,0,0,0,,0,0.0%,,4,81,20.25,0,0,0,,0,0,0
3,1994,1994-09-18,3,22.251,NYG,,WAS,W 31-23,0,0,0,,0,0.0%,,2,35,17.50,0,1,4,4.00,0,0,0
4,1994,1994-10-02,4,22.265,NYG,@,NOR,L 22-27,0,0,0,,0,0.0%,,4,86,21.50,0,4,60,15.00,0,0,0
5,1994,1994-10-10,5,22.273,NYG,,MIN,L 10-27,4,2,33,16.50,0,50.0%,8.25,5,108,21.60,0,0,0,,0,0,0
6,1994,1994-10-16,6,22.279,NYG,@,RAM,L 10-17,3,1,5,5.00,0,33.3%,1.67,2,26,13.00,0,0,0,,0,0,0
7,1994,1994-10-23,7,22.286,NYG,,PIT,L 6-10,3,0,0,,0,0.0%,0.00,1,3,3.00,0,0,0,,0,0,0
8,1994,1994-10-30,8,22.293,NYG,,DET,L 25-28,0,0,0,,0,0.0%,,5,90,18.00,0,0,0,,0,0,0
9,1994,1994-11-07,9,22.301,NYG,@,DAL,L 10-38,0,0,0,,0,0.0%,,2,58,29.00,0,0,0,,0,0,0
10,1995,1995-09-04,1,23.237,NYG,,DAL,L 0-35,3,1,3,3.00,0,33.3%,1.00,2,30,15.00,0,0,0,,0,0,0
11,1995,1995-11-12,10,23.306,NYG,,OAK,L 13-17,0,0,0,,0,0.0%,,0,0,,0,1,6,6.00,0,0,0
12,1995,1995-11-19,11,23.313,NYG,@,PHI,L 19-28,12,7,126,18.00,1,58.3%,10.50,0,0,,0,3,40,13.33,0,1,6
13,1995,1995-11-26,12,23.320,NYG,,CHI,L 24-27,8,3,77,25.67,0,37.5%,9.63,0,0,,0,1,0,0.00,0,0,0
14,1995,1995-11-30,13,23.324,NYG,@,ARI,W 10-6,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0
15,1995,1995-12-10,14,23.334,NYG,,WAS,W 20-13,0,0,0,,0,0.0%,,2,105,52.50,1,1,0,0.00,0,1,6
16,1995,1995-12-17,15,23.341,NYG,@,DAL,L 20-21,0,0,0,,0,0.0%,,2,49,24.50,0,0,0,,0,0,0
17,1995,1995-12-23,16,23.347,NYG,,SDG,L 17-27,2,0,0,,0,0.0%,0.00,3,73,24.33,0,0,0,,0,0,0
18,1996,1996-09-01,1,24.235,NYG,,BUF,L 20-23,6,3,45,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0
19,1996,1996-09-15,3,24.249,NYG,,WAS,L 10-31,6,4,57,14.25,0,66.7%,9.50,2,45,22.50,0,0,0,,0,0,0
20,1996,1996-09-22,4,24.256,NYG,@,NYJ,W 13-6,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,
21,1996,1996-09-29,5,24.263,NYG,,MIN,W 15-10,6,5,44,8.80,0,83.3%,7.33,1,47,47.00,0,0,0,,0,0,0
22,1996,1996-10-13,6,24.277,NYG,,PHI,L 10-19,7,3,32,10.67,0,42.9%,4.57,0,0,,0,0,0,,0,0,0
23,1996,1996-10-20,7,24.284,NYG,@,WAS,L 21-31,15,9,125,13.89,1,60.0%,8.33,0,0,,0,0,0,,0,1,6
24,1996,1996-10-27,8,24.291,NYG,@,DET,W 35-7,12,5,76,15.20,1,41.7%,6.33,1,15,15.00,0,2,9,4.50,0,1,6
25,1996,1996-11-03,9,24.298,NYG,,ARI,W 16-8,11,7,77,11.00,1,63.6%,7.00,0,0,,0,3,9,3.00,0,1,6
26,1996,1996-11-10,10,24.305,NYG,@,CAR,L 17-27,9,4,76,19.00,1,44.4%,8.44,0,0,,0,3,12,4.00,0,1,6
27,1996,1996-11-17,11,24.312,NYG,@,ARI,L 23-31,5,3,35,11.67,0,60.0%,7.00,0,0,,0,2,6,3.00,0,0,0
28,1996,1996-12-08,14,24.333,NYG,@,MIA,W 17-7,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,0
29,1996,1996-12-15,15,24.340,NYG,,NOR,L 3-17,10,3,26,8.67,0,30.0%,2.60,0,0,,0,0,0,,0,0,0
30,1996,1996-12-21,16,24.346,NYG,,NWE,L 22-23,8,5,84,16.80,0,62.5%,10.50,0,0,,0,0,0,,0,0,0
31,1997,1997-08-31,1,25.233,NYG,,PHI,W 31-17,4,1,34,34.00,0,25.0%,8.50,4,134,33.50,0,0,0,,0,0,0
32,1997,1997-09-07,2,25.240,NYG,@,JAX,L 13-40,6,1,7,7.00,0,16.7%,1.17,4,101,25.25,0,0,0,,0,0,0
33,1997,1997-09-14,3,25.247,NYG,,BAL,L 23-24,8,3,43,14.33,0,37.5%,5.38,3,61,20.33,0,0,0,,0,0,0
34,1997,1997-09-21,4,25.254,NYG,@,STL,L 3-13,2,0,0,,0,0.0%,0.00,3,68,22.67,0,0,0,,0,0,0
