ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1990,1990-09-09,1,24.061,WAS,,PHO,W 31-0,,,,,,,,,,
2,1990,1990-09-16,2,24.068,WAS,@,SFO,L 13-26,,,,,,,,,,
3,1990,1990-09-30,4,24.082,WAS,@,PHO,W 38-10,,,,,,,,,,
4,1990,1990-10-14,5,24.096,WAS,,NYG,L 20-24,,,,,,,,,,
5,1990,1990-10-21,6,24.103,WAS,,PHI,W 13-7,,,,,,,,,,
6,1990,1990-10-28,7,24.110,WAS,@,NYG,L 10-21,,,,,,,,,,
7,1990,1990-11-04,8,24.117,WAS,@,DET,W 41-38,,,,,,,,,,
8,1990,1990-11-12,9,24.125,WAS,@,PHI,L 14-28,,,,,,,,,,
9,1990,1990-11-18,10,24.131,WAS,,NOR,W 31-17,,,,,,,,,,
10,1990,1990-11-22,11,24.135,WAS,@,DAL,L 17-27,,,,,,,,,,
11,1990,1990-12-02,12,24.145,WAS,,MIA,W 42-20,,,,,,,,,,
12,1990,1990-12-09,13,24.152,WAS,,CHI,W 10-9,,,,,,,,,,
13,1990,1990-12-15,14,24.158,WAS,@,NWE,W 25-10,,,,,,,,,,
14,1990,1990-12-22,15,24.165,WAS,@,IND,L 28-35,,,,,,,,,,
15,1990,1990-12-30,16,24.173,WAS,,BUF,W 29-14,,,,,,,,,,
16,1991,1991-09-01,1,25.053,WAS,,DET,W 45-0,,,,,,,,,,
17,1991,1991-09-09,2,25.061,WAS,@,DAL,W 33-31,,,,,,,,,,
18,1991,1991-09-15,3,25.067,WAS,,PHO,W 34-0,,,,,,,,,,
19,1991,1991-09-22,4,25.074,WAS,@,CIN,W 34-27,,,,,,,,,,
20,1991,1991-09-30,5,25.082,WAS,,PHI,W 23-0,,,,,,,,,,
21,1991,1991-10-13,7,25.095,WAS,,CLE,W 42-17,,,,,,,,,,
22,1991,1991-10-27,8,25.109,WAS,@,NYG,W 17-13,,,,,,,,,,
23,1991,1991-11-03,9,25.116,WAS,,HOU,W 16-13,,,,,,,,,,
24,1991,1991-11-10,10,25.123,WAS,,ATL,W 56-17,0,0,,0,0,0,0.0,1,0,0
25,1991,1991-11-17,11,25.130,WAS,@,PIT,W 41-14,,,,,,,,,,
26,1991,1991-11-24,12,25.137,WAS,,DAL,L 21-24,,,,,,,,,,
27,1991,1991-12-01,13,25.144,WAS,@,RAM,W 27-6,,,,,,,,,,
28,1991,1991-12-08,14,25.151,WAS,@,PHO,W 20-14,,,,,,,,,,
29,1992,1992-09-07,1,26.059,WAS,@,DAL,L 10-23,,,,,,,,,,
30,1992,1992-09-13,2,26.065,WAS,,ATL,W 24-17,,,,,,,,,,
31,1992,1992-09-20,3,26.072,WAS,,DET,W 13-10,,,,,,,,,,
32,1992,1992-10-04,4,26.086,WAS,@,PHO,L 24-27,,,,,,,,,,
33,1992,1992-10-12,5,26.094,WAS,,DEN,W 34-3,,,,,,,,,,
34,1992,1992-10-18,6,26.100,WAS,,PHI,W 16-12,0,0,,0,0,0,0.0,1,13,0
35,1992,1992-10-25,7,26.107,WAS,@,MIN,W 15-13,,,,,,,,,,
36,1992,1992-11-01,8,26.114,WAS,,NYG,L 7-24,,,,,,,,,,
37,1992,1992-11-08,9,26.121,WAS,@,SEA,W 16-3,0,0,,0,0,0,1.0,0,0,0
38,1992,1992-11-15,10,26.128,WAS,@,KAN,L 16-35,,,,,,,,,,
39,1992,1992-11-23,11,26.136,WAS,@,NOR,L 3-20,,,,,,,,,,
40,1992,1992-11-29,12,26.142,WAS,,PHO,W 41-3,0,0,,0,0,0,0.0,1,5,0
41,1992,1992-12-06,13,26.149,WAS,@,NYG,W 28-10,,,,,,,,,,
42,1992,1992-12-13,14,26.156,WAS,,DAL,W 20-17,,,,,,,,,,
43,1992,1992-12-20,15,26.163,WAS,@,PHI,L 13-17,,,,,,,,,,
44,1992,1992-12-26,16,26.169,WAS,,RAI,L 20-21,,,,,,,,,,
45,1993,1993-09-06,1,27.058,WAS,,DAL,W 35-16,0,0,,0,,,,,,
46,1993,1993-09-12,2,27.064,WAS,,PHO,L 10-17,0,0,,0,,,,,,
47,1993,1993-09-19,3,27.071,WAS,@,PHI,L 31-34,0,0,,0,,,,,,
