ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-12-30,16,22.276,SFO,,ARI,W 27-13,,,,,,,,,,,
2,2013,2013-09-08,1,23.163,SFO,,GNB,W 34-28,,0,0,,0,0.0,0,1,0,0,0
3,2013,2013-09-22,3,23.177,SFO,,IND,L 7-27,,0,0,,0,0.0,2,1,0,0,0
4,2013,2013-09-26,4,23.181,SFO,@,STL,W 35-11,,0,0,,0,0.0,1,0,0,0,0
5,2013,2013-10-06,5,23.191,SFO,,HOU,W 34-3,,0,0,,0,0.0,1,0,1,6,0
6,2013,2013-10-13,6,23.198,SFO,,ARI,W 32-20,,0,0,,0,0.0,1,0,0,0,0
7,2013,2013-10-20,7,23.205,SFO,@,TEN,W 31-17,,,,,,,,,,,
8,2013,2013-10-27,8,23.212,SFO,@,JAX,W 42-10,,0,0,,0,0.0,1,0,0,0,0
9,2013,2013-11-10,9,23.226,SFO,,CAR,L 9-10,,0,0,,0,0.0,3,1,0,0,0
10,2013,2013-11-17,10,23.233,SFO,@,NOR,L 20-23,*,0,0,,0,0.0,1,1,0,0,0
11,2013,2013-11-25,11,23.241,SFO,@,WAS,W 27-6,*,0,0,,0,0.0,3,2,0,0,0
12,2013,2013-12-01,12,23.247,SFO,,STL,W 23-13,,0,0,,0,0.0,2,0,0,0,0
13,2013,2013-12-08,13,23.254,SFO,,SEA,W 19-17,,0,0,,0,0.0,1,0,0,0,0
14,2013,2013-12-15,14,23.261,SFO,@,TAM,W 33-14,,0,0,,0,0.0,1,1,0,0,0
15,2013,2013-12-23,15,23.269,SFO,,ATL,W 34-24,,0,0,,0,0.0,2,0,0,0,0
16,2013,2013-12-29,16,23.275,SFO,@,ARI,W 23-20,,0,0,,0,0.0,2,0,0,0,0
17,2014,2014-09-07,1,24.162,SFO,@,DAL,W 28-17,,0,0,,0,0.0,0,1,0,0,0
18,2014,2014-09-14,2,24.169,SFO,,CHI,L 20-28,,0,0,,0,0.0,1,0,0,0,0
19,2014,2014-09-21,3,24.176,SFO,@,ARI,L 14-23,,,,,,,,,,,
20,2014,2014-09-28,4,24.183,SFO,,PHI,W 26-21,,,,,,,,,,,
21,2014,2014-10-05,5,24.190,SFO,,KAN,W 22-17,,0,0,,0,0.0,1,0,0,0,0
22,2014,2014-10-13,6,24.198,SFO,@,STL,W 31-17,,0,0,,0,0.0,1,0,0,0,0
23,2014,2014-10-19,7,24.204,SFO,@,DEN,L 17-42,,,,,,,,,,,
24,2014,2014-11-02,8,24.218,SFO,,STL,L 10-13,,,,,,,,,,,
25,2014,2014-11-09,9,24.225,SFO,@,NOR,W 27-24,,0,0,,0,0.0,0,2,0,0,0
26,2014,2014-11-16,10,24.232,SFO,@,NYG,W 16-10,,0,0,,0,0.0,1,1,0,0,0
27,2014,2014-11-23,11,24.239,SFO,,WAS,W 17-13,,0,0,,0,0.0,1,1,0,0,0
28,2014,2014-11-27,12,24.243,SFO,,SEA,L 3-19,,0,0,,0,0.0,1,1,0,0,0
29,2014,2014-12-07,13,24.253,SFO,@,OAK,L 13-24,,0,0,,0,0.0,2,0,0,0,0
30,2014,2014-12-14,14,24.260,SFO,@,SEA,L 7-17,,0,0,,0,0.0,1,0,0,0,0
31,2014,2014-12-20,15,24.266,SFO,,SDG,L 35-38,*,0,0,,0,0.0,2,1,0,0,0
32,2014,2014-12-28,16,24.274,SFO,,ARI,W 20-17,*,1,18,18.00,0,0.0,1,1,0,0,0
33,2015,2015-09-14,1,25.169,SFO,,MIN,W 20-3,,0,0,,0,0.0,0,0,0,0,0
34,2015,2015-09-20,2,25.175,SFO,@,PIT,L 18-43,,1,11,11.00,0,0.0,0,0,0,0,0
35,2015,2015-09-27,3,25.182,SFO,@,ARI,L 7-47,,0,0,,0,0.0,1,1,0,0,0
