ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-10-19,6,23.058,IND,@,GNB,L 14-34,,2,1,0.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
2,2008,2008-10-27,7,23.066,IND,@,TEN,L 21-31,,4,23,5.75,0,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,0.0,0,0
3,2008,2008-11-02,8,23.072,IND,,NWE,W 18-15,,,,,,,,,,,0.0%,,,,,,,,,,
4,2008,2008-11-09,9,23.079,IND,@,PIT,W 24-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
5,2008,2008-11-16,10,23.086,IND,,HOU,W 33-27,,0,0,,0,0,0,0,,0,0.0%,,5,130,26.00,0,0,0,0.0,0,0
6,2008,2008-11-23,11,23.093,IND,@,SDG,W 23-20,,0,0,,0,0,0,0,,0,0.0%,,4,96,24.00,0,0,0,0.0,0,0
7,2008,2008-11-30,12,23.100,IND,@,CLE,W 10-6,,0,0,,0,0,0,0,,0,0.0%,,2,62,31.00,0,0,0,0.0,0,0
8,2008,2008-12-07,13,23.107,IND,,CIN,W 35-3,,0,0,,0,0,0,0,,0,0.0%,,2,28,14.00,0,0,0,0.0,0,0
9,2008,2008-12-14,14,23.114,IND,,DET,W 31-21,,7,17,2.43,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,1,6,0.0,0,0
10,2008,2008-12-18,15,23.118,IND,@,JAX,W 31-24,,2,4,2.00,0,0,0,0,,0,0.0%,,2,28,14.00,0,0,0,0.0,0,0
11,2008,2008-12-28,16,23.128,IND,,TEN,W 23-0,,,,,,,,,,,0.0%,,,,,,,,,,
12,2009,2009-09-13,1,24.022,IND,,JAX,W 14-12,,0,0,,0,0,0,0,,0,0.0%,,3,82,27.33,0,0,0,0.0,0,0
13,2009,2009-09-21,2,24.030,IND,@,MIA,W 27-23,,0,0,,0,0,0,0,,0,0.0%,,5,90,18.00,0,0,0,0.0,0,0
14,2009,2009-09-27,3,24.036,IND,@,ARI,W 31-10,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
15,2009,2009-10-11,5,24.050,IND,@,TEN,W 31-9,,3,9,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
16,2009,2009-10-25,6,24.064,IND,@,STL,W 42-6,,3,35,11.67,1,1,1,2,2.00,0,100.0%,2.00,3,77,25.67,0,1,6,0.0,0,0
17,2009,2009-11-01,7,24.071,IND,,SFO,W 18-14,,1,-1,-1.00,0,0,0,0,,0,0.0%,,3,64,21.33,0,0,0,0.0,0,0
18,2009,2009-11-08,8,24.078,IND,,HOU,W 20-17,,2,3,1.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
19,2009,2009-11-15,9,24.085,IND,,NWE,W 35-34,,4,36,9.00,0,0,0,0,,0,0.0%,,4,90,22.50,0,0,0,0.0,0,0
20,2009,2009-11-22,10,24.092,IND,@,BAL,W 17-15,,0,0,,0,0,0,0,,0,0.0%,,4,82,20.50,0,0,0,0.0,0,0
21,2009,2009-11-29,11,24.099,IND,@,HOU,W 35-27,,2,20,10.00,1,0,0,0,,0,0.0%,,4,68,17.00,0,1,6,0.0,0,0
22,2009,2009-12-06,12,24.106,IND,,TEN,W 27-17,,0,0,,0,2,2,-1,-0.50,0,100.0%,-0.50,2,58,29.00,0,0,0,0.0,0,0
23,2009,2009-12-13,13,24.113,IND,,DEN,W 28-16,,0,0,,0,0,0,0,,0,0.0%,,2,37,18.50,0,0,0,0.0,0,1
24,2009,2009-12-17,14,24.117,IND,@,JAX,W 35-31,,0,0,,0,0,0,0,,0,0.0%,,3,127,42.33,1,1,6,0.0,0,0
25,2009,2009-12-27,15,24.127,IND,,NYJ,L 15-29,,0,0,,0,0,0,0,,0,0.0%,,5,123,24.60,0,0,0,0.0,0,0
26,2010,2010-10-03,4,25.042,WAS,@,PHI,W 17-12,,,,,,,,,,,0.0%,,,,,,,,,,
27,2010,2010-10-10,5,25.049,WAS,,GNB,W 16-13,,0,0,,0,0,0,0,,0,0.0%,,1,27,27.00,0,0,0,0.0,0,0
28,2010,2010-10-17,6,25.056,WAS,,IND,L 24-27,,0,0,,0,0,0,0,,0,0.0%,,1,32,32.00,0,0,0,0.0,0,0
