ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2012,2012-09-30,4,22.199,HOU,,TEN,W 38-14,,,,,,,0.0%,,,,,
2,2012,2012-10-08,5,22.207,HOU,@,NYJ,W 23-17,,0,0,0,,0,0.0%,,1,-3,-3.00,0
3,2012,2012-10-14,6,22.213,HOU,,GNB,L 24-42,,1,0,0,,0,0.0%,0.00,0,0,,0
4,2012,2012-10-21,7,22.220,HOU,,BAL,W 43-13,,,,,,,0.0%,,,,,
5,2012,2012-11-11,9,22.241,HOU,@,CHI,W 13-6,,,,,,,0.0%,,,,,
6,2012,2012-11-18,10,22.248,HOU,,JAX,W 43-37,,0,0,0,,0,0.0%,,0,0,,0
7,2012,2012-12-02,12,22.262,HOU,@,TEN,W 24-10,,0,0,0,,0,0.0%,,0,0,,0
8,2012,2012-12-10,13,22.270,HOU,@,NWE,L 14-42,,2,1,19,19.00,0,50.0%,9.50,0,0,,0
9,2012,2012-12-16,14,22.276,HOU,,IND,W 29-17,,3,3,46,15.33,0,100.0%,15.33,0,0,,0
10,2012,2012-12-23,15,22.283,HOU,,MIN,L 6-23,,6,1,6,6.00,0,16.7%,1.00,0,0,,0
11,2012,2012-12-30,16,22.290,HOU,@,IND,L 16-28,,2,1,16,16.00,0,50.0%,8.00,0,0,,0
12,2013,2013-09-09,1,23.178,HOU,@,SDG,W 31-28,,,,,,,0.0%,,,,,
13,2013,2013-09-15,2,23.184,HOU,,TEN,W 30-24,,,,,,,0.0%,,,,,
14,2013,2013-09-22,3,23.191,HOU,@,BAL,L 9-30,,4,3,29,9.67,0,75.0%,7.25,0,0,,0
15,2013,2013-09-29,4,23.198,HOU,,SEA,L 20-23,,,,,,,0.0%,,,,,
16,2013,2013-10-06,5,23.205,HOU,@,SFO,L 3-34,,2,1,5,5.00,0,50.0%,2.50,0,0,,0
17,2013,2013-10-13,6,23.212,HOU,,STL,L 13-38,,1,1,3,3.00,0,100.0%,3.00,0,0,,0
18,2013,2013-10-20,7,23.219,HOU,@,KAN,L 16-17,,2,1,42,42.00,0,50.0%,21.00,0,0,,0
19,2013,2013-11-03,8,23.233,HOU,,IND,L 24-27,,4,3,23,7.67,0,75.0%,5.75,0,0,,0
20,2013,2013-11-10,9,23.240,HOU,@,ARI,L 24-27,,6,3,34,11.33,0,50.0%,5.67,0,0,,0
21,2013,2013-11-17,10,23.247,HOU,,OAK,L 23-28,,4,1,5,5.00,0,25.0%,1.25,0,0,,0
22,2013,2013-11-24,11,23.254,HOU,,JAX,L 6-13,,1,1,5,5.00,0,100.0%,5.00,0,0,,0
23,2013,2013-12-01,12,23.261,HOU,,NWE,L 31-34,,,,,,,0.0%,,,,,
24,2013,2013-12-05,13,23.265,HOU,@,JAX,L 20-27,,1,1,9,9.00,0,100.0%,9.00,0,0,,0
25,2013,2013-12-15,14,23.275,HOU,@,IND,L 3-25,,,,,,,0.0%,,,,,
26,2014,2014-12-14,14,24.274,HOU,@,IND,L 10-17,*,1,1,30,30.00,0,100.0%,30.00,0,0,,0
