ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1969,1969-10-19,6,23.002,BUF,@,OAK,L 21-50,1,0,0.00,0,1,0,0
2,1969,1969-11-09,9,23.023,BUF,@,NYJ,L 6-16,0,0,,0,1,17,0
3,1970,1970-09-20,1,23.338,BUF,,DEN,L 10-25,,,,,,,
4,1970,1970-09-27,2,23.345,BUF,,RAM,L 0-19,0,0,,0,1,4,0
5,1970,1970-10-18,5,24.001,BUF,,MIA,L 14-33,,,,,,,
6,1970,1970-10-25,6,24.008,BUF,@,NYJ,W 10-6,0,0,,0,1,22,0
7,1970,1970-11-01,7,24.015,BUF,@,BOS,W 45-10,,,,,,,
8,1970,1970-11-08,8,24.022,BUF,,CIN,L 14-43,,,,,,,
9,1970,1970-11-15,9,24.029,BUF,@,BAL,T 17-17,0,0,,0,1,20,0
10,1970,1970-11-22,10,24.036,BUF,@,CHI,L 13-31,,,,,,,
11,1970,1970-11-29,11,24.043,BUF,,BOS,L 10-14,0,0,,0,2,0,0
12,1970,1970-12-06,12,24.050,BUF,@,NYG,L 6-20,,,,,,,
13,1970,1970-12-13,13,24.057,BUF,,BAL,L 14-20,,,,,,,
14,1970,1970-12-20,14,24.064,BUF,@,MIA,L 7-45,,,,,,,
15,1971,1971-09-19,1,24.337,BUF,,DAL,L 37-49,,,,,,,
16,1971,1971-09-26,2,24.344,BUF,,MIA,L 14-29,,,,,,,
17,1971,1971-10-03,3,24.351,BUF,@,MIN,L 0-19,,,,,,,
18,1971,1971-10-10,4,24.358,BUF,,BAL,L 0-43,,,,,,,
19,1971,1971-10-17,5,25.000,BUF,@,NYJ,L 17-28,,,,,,,
20,1971,1971-10-23,6,25.006,BUF,@,SDG,L 3-20,,,,,,,
21,1971,1971-10-31,7,25.014,BUF,,STL,L 23-28,,,,,,,
22,1971,1971-11-07,8,25.021,BUF,@,MIA,L 0-34,,,,,,,
23,1971,1971-11-14,9,25.028,BUF,@,NWE,L 33-38,0,0,,0,1,0,0
24,1971,1971-11-21,10,25.035,BUF,,NYJ,L 7-20,,,,,,,
25,1971,1971-11-28,11,25.042,BUF,,NWE,W 27-20,,,,,,,
26,1971,1971-12-05,12,25.049,BUF,@,BAL,L 0-24,,,,,,,
27,1971,1971-12-12,13,25.056,BUF,,HOU,L 14-20,,,,,,,
