ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,1999,1999-09-12,1,21.082,WAS,,DAL,L 35-41,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,4,0
2,1999,1999-09-19,2,21.089,WAS,@,NYG,W 50-21,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
3,1999,1999-09-26,3,21.096,WAS,@,NYJ,W 27-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
4,1999,1999-10-03,4,21.103,WAS,,CAR,W 38-36,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
5,1999,1999-10-17,5,21.117,WAS,@,ARI,W 24-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,,,3,51,1
6,1999,1999-10-24,6,21.124,WAS,@,DAL,L 20-38,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
7,1999,1999-10-31,7,21.131,WAS,,CHI,W 48-22,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
8,1999,1999-11-07,8,21.138,WAS,,BUF,L 17-34,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
9,1999,1999-11-14,9,21.145,WAS,@,PHI,L 28-35,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,,,0,0,0
10,1999,1999-11-21,10,21.152,WAS,,NYG,W 23-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
11,1999,1999-11-28,11,21.159,WAS,,PHI,W 20-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
12,1999,1999-12-05,12,21.166,WAS,@,DET,L 17-33,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
13,1999,1999-12-12,13,21.173,WAS,,ARI,W 28-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
14,1999,1999-12-19,14,21.180,WAS,@,IND,L 21-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
15,1999,1999-12-26,15,21.187,WAS,@,SFO,W 26-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
16,1999,2000-01-02,16,21.194,WAS,,MIA,W 21-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
17,2000,2000-09-03,1,22.073,WAS,,CAR,W 20-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
18,2000,2000-09-10,2,22.080,WAS,@,DET,L 10-15,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,2,0,0
