ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
1,2014,2014-09-07,1,21.332,DEN,,IND,W 31-24,,,,,,,0.0%,,,,,,,,,,,,
2,2014,2014-10-23,7,22.013,DEN,,SDG,W 35-21,,,,,,,0.0%,,,,,,,,,,,,
3,2014,2014-11-02,8,22.023,DEN,@,NWE,L 21-43,,0,0,0,,0,0.0%,,0,0,,0,1,8,8.00,0,,0,0
4,2014,2014-11-09,9,22.030,DEN,@,OAK,W 41-17,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0
5,2014,2014-11-23,11,22.044,DEN,,MIA,W 39-36,,,,,,,0.0%,,,,,,,,,,,,
6,2014,2014-11-30,12,22.051,DEN,@,KAN,W 29-16,,1,0,0,,0,0.0%,0.00,0,0,,0,1,14,14.00,0,,0,0
7,2014,2014-12-22,15,22.073,DEN,@,CIN,L 28-37,,,,,,,0.0%,,,,,,,,,,,,
8,2014,2014-12-28,16,22.079,DEN,,OAK,W 47-14,,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,,0,0
9,2015,2015-09-13,1,22.338,DEN,,BAL,W 19-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
10,2015,2015-09-17,2,22.342,DEN,@,KAN,W 31-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
11,2015,2015-09-27,3,22.352,DEN,@,DET,W 24-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
12,2015,2015-10-04,4,22.359,DEN,,MIN,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
13,2015,2015-10-18,6,23.008,DEN,@,CLE,W 26-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
14,2015,2015-11-01,7,23.022,DEN,,GNB,W 29-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
15,2015,2015-11-08,8,23.029,DEN,@,IND,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
16,2015,2015-11-15,9,23.036,DEN,,KAN,L 13-29,,5,3,30,10.00,0,60.0%,6.00,0,0,,0,0,0,,0,,0,0
17,2015,2015-11-22,10,23.043,DEN,@,CHI,W 17-15,*,3,2,22,11.00,1,66.7%,7.33,1,5,5.00,0,0,0,,0,,1,6
18,2015,2015-11-29,11,23.050,DEN,,NWE,W 30-24,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,0,0
19,2015,2015-12-06,12,23.057,DEN,@,SDG,W 17-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
20,2015,2015-12-13,13,23.064,DEN,,OAK,L 12-15,,0,0,0,,0,0.0%,,1,-4,-4.00,0,0,0,,0,,0,0
21,2015,2015-12-20,14,23.071,DEN,@,PIT,L 27-34,,0,0,0,,0,0.0%,,0,0,,0,0,27,,0,,0,0
22,2015,2016-01-03,16,23.085,DEN,,SDG,W 27-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
23,2016,2016-09-08,1,23.334,DEN,,CAR,W 21-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
24,2016,2016-09-18,2,23.344,DEN,,IND,W 34-20,*,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,0,0
25,2016,2016-09-25,3,23.351,DEN,@,CIN,W 29-17,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,3,83,27.67,0,,0,0
26,2016,2016-10-02,4,23.358,DEN,@,TAM,W 27-7,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
27,2016,2016-10-09,5,23.365,DEN,,ATL,L 16-23,,0,0,0,,0,0.0%,,0,0,,0,3,65,21.67,0,,0,0
28,2016,2016-10-13,6,24.003,DEN,@,SDG,L 13-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
29,2016,2016-11-13,10,24.034,DEN,@,NOR,W 25-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
30,2016,2016-12-04,12,24.055,DEN,@,JAX,W 20-10,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,0,0
31,2016,2016-12-11,13,24.062,DEN,@,TEN,L 10-13,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,,0,0
32,2016,2016-12-18,14,24.069,DEN,,NWE,L 3-16,,0,0,0,,0,0.0%,,0,0,,0,2,52,26.00,0,,0,0
33,2016,2016-12-25,15,24.076,DEN,@,KAN,L 10-33,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
34,2016,2017-01-01,16,24.083,DEN,,OAK,W 24-6,,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,,0,0
35,2017,2017-09-11,1,24.336,DEN,,LAC,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,1,36,36.00,0,,0,0
36,2017,2017-09-17,2,24.342,DEN,,DAL,W 42-17,,2,2,22,11.00,0,100.0%,11.00,0,0,,0,1,25,25.00,0,,0,0
37,2017,2017-09-24,3,24.349,DEN,@,BUF,L 16-26,,1,0,0,,0,0.0%,0.00,0,0,,0,3,81,27.00,0,,0,0
38,2017,2017-10-30,7,25.020,DEN,@,KAN,L 19-29,,3,2,15,7.50,0,66.7%,5.00,0,0,,0,3,48,16.00,0,,0,0
39,2017,2017-11-05,8,25.026,DEN,@,PHI,L 23-51,,3,2,51,25.50,0,66.7%,17.00,0,0,,0,0,0,,0,,0,0
40,2017,2017-11-12,9,25.033,DEN,,NWE,L 16-41,,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,,0,0
41,2017,2017-11-19,10,25.040,DEN,,CIN,L 17-20,,3,1,21,21.00,0,33.3%,7.00,0,0,,0,0,0,,0,,0,0
42,2017,2017-11-26,11,25.047,DEN,@,OAK,L 14-21,,4,3,48,16.00,1,75.0%,12.00,0,0,,0,0,0,,0,,1,6
43,2017,2017-12-03,12,25.054,DEN,@,MIA,L 9-35,*,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,,0,0
44,2017,2017-12-10,13,25.061,DEN,,NYJ,W 23-0,,3,2,37,18.50,0,66.7%,12.33,0,0,,0,0,0,,0,,0,0
45,2017,2017-12-14,14,25.065,DEN,@,IND,W 25-13,,4,3,60,20.00,1,75.0%,15.00,0,0,,0,0,0,,0,1,1,8
46,2018,2018-09-09,1,25.334,NYG,,JAX,L 15-20,,0,0,0,,0,0.0%,,0,0,,0,1,15,15.00,0,,0,0
47,2018,2018-09-16,2,25.341,NYG,@,DAL,L 13-20,,3,2,41,20.50,0,66.7%,13.67,0,0,,0,2,56,28.00,0,,0,0
48,2018,2018-09-23,3,25.348,NYG,@,HOU,W 27-22,,2,1,15,15.00,0,50.0%,7.50,0,0,,0,1,18,18.00,0,,0,0
