ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1962,1962-10-13,6,28.185,SDG,@,BUF,L 10-35,2,11,5.50,1,0,0,,0,0,0,,0,1,6
2,1962,1962-10-19,7,28.191,SDG,@,BOS,L 20-24,2,3,1.50,0,0,0,,0,0,0,,0,0,0
3,1962,1962-10-28,8,28.200,SDG,@,NYT,L 3-23,4,-8,-2.00,0,1,10,10.00,0,1,0,0.00,0,0,0
4,1962,1962-11-04,9,28.207,SDG,,DEN,L 20-23,5,11,2.20,0,2,5,2.50,0,0,0,,0,0,0
5,1962,1962-11-11,10,28.214,SDG,,BUF,L 20-40,4,18,4.50,0,1,2,2.00,0,0,0,,0,0,0
