ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,24.044,MIA,@,HOU,L 10-30,*,20,36,55.56,219,0,3,39.0,2,20,6.08,2.33,3,-4,-1.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
2,2012,2012-09-16,2,24.051,MIA,,OAK,W 35-13,*,18,30,60.00,200,1,0,91.0,1,11,6.67,7.33,3,14,4.67,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
3,2012,2012-09-23,3,24.058,MIA,,NYJ,L 20-23,*,16,36,44.44,196,0,1,50.2,0,0,5.44,4.19,3,3,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
4,2012,2012-09-30,4,24.065,MIA,@,ARI,L 21-24,*,26,41,63.41,431,1,2,86.5,4,37,10.51,8.80,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
5,2012,2012-10-07,5,24.072,MIA,@,CIN,W 17-13,*,17,26,65.38,223,0,0,92.3,2,12,8.58,8.58,4,-4,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
6,2012,2012-10-14,6,24.079,MIA,,STL,W 17-14,*,21,29,72.41,185,2,0,112.0,3,29,6.38,7.76,4,16,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
7,2012,2012-10-28,7,24.093,MIA,@,NYJ,W 30-9,*,2,5,40.00,18,0,0,50.4,1,9,3.60,3.60,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
8,2012,2012-11-04,8,24.100,MIA,@,IND,L 20-23,*,22,38,57.89,290,1,0,90.9,2,9,7.63,8.16,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
9,2012,2012-11-11,9,24.107,MIA,,TEN,L 3-37,*,23,39,58.97,217,0,3,42.4,1,8,5.56,2.10,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
10,2012,2012-11-15,10,24.111,MIA,@,BUF,L 14-19,*,14,28,50.00,141,1,2,46.9,3,17,5.04,2.54,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
11,2012,2012-11-25,11,24.121,MIA,,SEA,W 24-21,*,18,26,69.23,253,1,1,97.1,1,7,9.73,8.77,4,33,8.25,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
12,2012,2012-12-02,12,24.128,MIA,,NWE,L 16-23,*,13,29,44.83,186,0,0,66.2,3,10,6.41,6.41,5,19,3.80,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
13,2012,2012-12-09,13,24.135,MIA,@,SFO,L 13-27,*,17,33,51.52,150,1,0,74.1,2,17,4.55,5.15,3,25,8.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
14,2012,2012-12-16,14,24.142,MIA,,JAX,W 24-3,*,22,28,78.57,220,2,0,123.2,1,11,7.86,9.29,8,52,6.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
15,2012,2012-12-23,15,24.149,MIA,,BUF,W 24-10,*,13,25,52.00,130,2,0,93.7,2,11,5.20,6.80,6,44,7.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
