ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1991,1991-09-15,3,23.187,SFO,@,MIN,L 14-17,,,,,,,,,,,
2,1991,1991-09-22,4,23.194,SFO,,RAM,W 27-10,,,,,,,,,,,
3,1991,1991-09-29,5,23.201,SFO,@,RAI,L 6-12,,,,,,,,,,,
4,1991,1991-10-13,6,23.215,SFO,,ATL,L 34-39,,,,,,,,,,,
5,1991,1991-10-20,7,23.222,SFO,,DET,W 35-3,,,,,,,,,,,
6,1991,1991-10-27,8,23.229,SFO,@,PHI,W 23-7,,,,,,,,,,,
7,1991,1991-11-03,9,23.236,SFO,@,ATL,L 14-17,,,,,,,,,,,
8,1991,1991-11-10,10,23.243,SFO,@,NOR,L 3-10,,,,,,,,,,,
9,1991,1991-11-17,11,23.250,SFO,,PHO,W 14-10,,,,,,,,,,,
10,1991,1991-11-25,12,23.258,SFO,@,RAM,W 33-10,,,,,,,,,,,
11,1991,1991-12-01,13,23.264,SFO,,NOR,W 38-24,,,,,,,,,,,
12,1991,1991-12-14,15,23.277,SFO,,KAN,W 28-14,,,,,,,,,,,
13,1991,1991-12-23,16,23.286,SFO,,CHI,W 52-14,,,,,,,,,,,
14,1992,1992-09-06,1,24.178,SFO,@,NYG,W 31-14,,0,0,,0,,,,,,
15,1992,1992-09-13,2,24.185,SFO,,BUF,L 31-34,,0,0,,0,0,0,0.0,1,1,0
16,1992,1992-09-20,3,24.192,SFO,@,NYJ,W 31-14,,0,0,,0,,,,,,
17,1992,1992-09-27,4,24.199,SFO,@,NOR,W 16-10,,0,0,,0,,,,,,
18,1992,1992-10-04,5,24.206,SFO,,RAM,W 27-24,,0,0,,0,,,,,,
19,1992,1992-10-11,6,24.213,SFO,@,NWE,W 24-12,,0,0,,0,,,,,,
20,1992,1992-10-18,7,24.220,SFO,,ATL,W 56-17,,0,0,,0,,,,,,
21,1992,1992-11-01,8,24.234,SFO,@,PHO,L 14-24,,0,0,,0,,,,,,
22,1992,1992-11-09,9,24.242,SFO,@,ATL,W 41-3,,1,48,48.00,1,1,6,0.0,1,4,0
23,1992,1992-11-15,10,24.248,SFO,,NOR,W 21-20,,0,0,,0,,,,,,
24,1992,1992-11-22,11,24.255,SFO,@,RAM,W 27-10,,0,0,,0,,,,,,
25,1992,1992-11-29,12,24.262,SFO,,PHI,W 20-14,,0,0,,0,,,,,,
26,1992,1992-12-06,13,24.269,SFO,,MIA,W 27-3,,0,0,,0,,,,,,
27,1992,1992-12-13,14,24.276,SFO,@,MIN,W 20-17,,0,0,,0,,,,,,
28,1992,1992-12-19,15,24.282,SFO,,TAM,W 21-14,,0,0,,0,,,,,,
29,1992,1992-12-28,16,24.291,SFO,,DET,W 24-6,,0,0,,0,,,,,,
30,1993,1993-09-05,1,25.177,SFO,@,PIT,W 24-13,,,,,,,,,,,
31,1993,1993-09-13,2,25.185,SFO,@,CLE,L 13-23,,,,,,,,,,,
32,1993,1993-09-19,3,25.191,SFO,,ATL,W 37-30,,,,,,,,,,,
33,1993,1993-09-26,4,25.198,SFO,@,NOR,L 13-16,,,,,,,,,,,
34,1993,1993-10-03,5,25.205,SFO,,MIN,W 38-19,,,,,,,,,,,
35,1993,1993-10-17,6,25.219,SFO,@,DAL,L 17-26,,,,,,,,,,,
36,1993,1993-10-24,7,25.226,SFO,,PHO,W 28-14,,0,0,,0,0,0,0.0,1,10,0
37,1993,1993-10-31,8,25.233,SFO,,RAM,W 40-17,,,,,,,,,,,
38,1993,1993-11-14,9,25.247,SFO,@,TAM,W 45-21,,,,,,,,,,,
39,1993,1993-11-22,10,25.255,SFO,,NOR,W 42-7,,0,0,,0,1,6,0.0,2,94,1
40,1993,1993-11-28,11,25.261,SFO,@,RAM,W 35-10,,,,,,,,,,,
41,1993,1993-12-05,12,25.268,SFO,,CIN,W 21-8,,,,,,,,,,,
42,1993,1993-12-11,13,25.274,SFO,@,ATL,L 24-27,,,,,,,,,,,
43,1993,1993-12-19,14,25.282,SFO,@,DET,W 55-17,,,,,,,,,,,
44,1993,1993-12-25,15,25.288,SFO,,HOU,L 7-10,,,,,,,,,,,
45,1993,1994-01-03,16,25.297,SFO,,PHI,L 34-37,,,,,,,,,,,
46,1994,1994-09-05,1,26.177,SFO,,RAI,W 44-14,,,,,,,,,,,
47,1994,1994-09-11,2,26.183,SFO,@,KAN,L 17-24,,,,,,,,,,,
48,1994,1994-09-18,3,26.190,SFO,@,RAM,W 34-19,,,,,,,,,,,
49,1994,1994-09-25,4,26.197,SFO,,NOR,W 24-13,,0,0,,0,0,0,0.0,1,0,0
50,1994,1994-10-02,5,26.204,SFO,,PHI,L 8-40,,,,,,,,,,,
51,1994,1994-10-09,6,26.211,SFO,@,DET,W 27-21,,0,0,,0,0,0,0.0,1,38,0
52,1994,1994-10-16,7,26.218,SFO,@,ATL,W 42-3,,0,0,,0,0,0,0.0,1,22,0
53,1994,1994-10-23,8,26.225,SFO,,TAM,W 41-16,,,,,,,,,,,
54,1994,1994-11-06,9,26.239,SFO,@,WAS,W 37-22,,,,,,,,,,,
55,1994,1994-11-13,10,26.246,SFO,,DAL,W 21-14,,0,0,,0,0,0,0.0,2,19,0
56,1994,1994-11-20,11,26.253,SFO,,RAM,W 31-27,,,,,,,,,,,
57,1994,1994-11-28,12,26.261,SFO,@,NOR,W 35-14,,,,,,,,,,,
58,1994,1994-12-04,13,26.267,SFO,,ATL,W 50-14,,0,0,,0,0,0,0.5,2,14,0
59,1994,1994-12-11,14,26.274,SFO,@,SDG,W 38-15,,,,,,,,,,,
60,1994,1994-12-17,15,26.280,SFO,,DEN,W 42-19,,,,,,,,,,,
61,1994,1994-12-26,16,26.289,SFO,@,MIN,L 14-21,,,,,,,,,,,
62,1995,1995-09-03,1,27.175,SFO,@,NOR,W 24-22,,0,0,,0,,,,,,
63,1995,1995-09-10,2,27.182,SFO,,ATL,W 41-10,,0,0,,0,,,,,,
64,1995,1995-09-17,3,27.189,SFO,,NWE,W 28-3,,0,0,,0,0,0,0.0,2,8,0
65,1995,1995-09-25,4,27.197,SFO,@,DET,L 24-27,,0,0,,0,,,,,,
66,1995,1995-10-01,5,27.203,SFO,,NYG,W 20-6,,0,0,,0,,,,,,
67,1995,1995-10-15,6,27.217,SFO,@,IND,L 17-18,,0,0,,0,0,0,0.0,1,23,0
68,1995,1995-10-22,7,27.224,SFO,@,STL,W 44-10,,0,0,,0,,,,,,
69,1995,1995-10-29,8,27.231,SFO,,NOR,L 7-11,,0,0,,0,,,,,,
