ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2016,2016-09-11,1,23.225,HOU,,CHI,W 23-14,,3,3,25,8.33,0,100.0%,8.33,0,0
2,2016,2016-09-18,2,23.232,HOU,,KAN,W 19-12,,3,2,15,7.50,0,66.7%,5.00,0,0
3,2016,2016-09-22,3,23.236,HOU,@,NWE,L 0-27,,1,0,0,,0,0.0%,0.00,0,0
4,2016,2016-10-24,7,23.268,HOU,@,DEN,L 9-27,,0,0,0,,0,0.0%,,0,0
5,2016,2016-10-30,8,23.274,HOU,,DET,W 20-13,,2,2,17,8.50,0,100.0%,8.50,0,0
6,2016,2016-11-13,9,23.288,HOU,@,JAX,W 24-21,,1,1,7,7.00,1,100.0%,7.00,1,6
7,2016,2016-11-21,10,23.296,HOU,@,OAK,L 20-27,,1,1,14,14.00,0,100.0%,14.00,0,0
8,2016,2016-11-27,11,23.302,HOU,,SDG,L 13-21,,1,1,8,8.00,0,100.0%,8.00,0,0
9,2016,2016-12-04,12,23.309,HOU,@,GNB,L 13-21,,0,0,0,,0,0.0%,,0,0
10,2016,2016-12-11,13,23.316,HOU,@,IND,W 22-17,,0,0,0,,0,0.0%,,0,0
11,2016,2016-12-18,14,23.323,HOU,,JAX,W 21-20,,3,1,7,7.00,0,33.3%,2.33,0,0
12,2016,2016-12-24,15,23.329,HOU,,CIN,W 12-10,,0,0,0,,0,0.0%,,0,0
13,2016,2017-01-01,16,23.337,HOU,@,TEN,L 17-24,,1,0,0,,0,0.0%,0.00,0,0
14,2017,2017-09-10,1,24.223,HOU,,JAX,L 7-29,*,5,2,14,7.00,0,40.0%,2.80,0,0
15,2017,2017-09-24,3,24.237,HOU,@,NWE,L 33-36,,3,1,14,14.00,0,33.3%,4.67,0,0
16,2017,2017-10-01,4,24.244,HOU,,TEN,W 57-14,,2,2,28,14.00,0,100.0%,14.00,0,0
17,2017,2017-10-08,5,24.251,HOU,,KAN,L 34-42,,2,2,63,31.50,0,100.0%,31.50,0,0
18,2017,2017-10-15,6,24.258,HOU,,CLE,W 33-17,*,2,2,17,8.50,0,100.0%,8.50,0,0
19,2017,2017-10-29,7,24.272,HOU,@,SEA,L 38-41,,2,1,11,11.00,0,50.0%,5.50,0,0
20,2017,2017-11-05,8,24.279,HOU,,IND,L 14-20,,6,4,44,11.00,0,66.7%,7.33,0,0
21,2017,2017-11-12,9,24.286,HOU,@,LAR,L 7-33,,3,2,30,15.00,0,66.7%,10.00,0,0
22,2017,2017-11-19,10,24.293,HOU,,ARI,W 31-21,,3,1,22,22.00,0,33.3%,7.33,0,0
23,2017,2017-11-27,11,24.301,HOU,@,BAL,L 16-23,,0,0,0,,0,0.0%,,0,0
24,2017,2017-12-03,12,24.307,HOU,@,TEN,L 13-24,*,12,5,79,15.80,1,41.7%,6.58,1,6
25,2017,2017-12-10,13,24.314,HOU,,SFO,L 16-26,,6,2,16,8.00,0,33.3%,2.67,0,0
26,2017,2017-12-17,14,24.321,HOU,@,JAX,L 7-45,*,3,0,0,,0,0.0%,0.00,0,0
27,2017,2017-12-25,15,24.329,HOU,,PIT,L 6-34,*,1,0,0,,0,0.0%,0.00,0,0
28,2017,2017-12-31,16,24.335,HOU,@,IND,L 13-22,,2,1,4,4.00,0,50.0%,2.00,0,0
