ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1986,1986-09-07,1,21.358,HOU,@,GNB,W 31-3,,,,
2,1986,1986-09-14,2,22.000,HOU,,CLE,L 20-23,,,,
3,1986,1986-09-21,3,22.007,HOU,@,KAN,L 13-27,,,,
4,1986,1986-09-28,4,22.014,HOU,,PIT,L 16-22,,,,
5,1986,1986-10-05,5,22.021,HOU,@,DET,L 13-24,,,,
6,1987,1987-11-15,9,23.062,HOU,@,PIT,W 23-3,,,,
7,1987,1987-11-22,10,23.069,HOU,,CLE,L 7-40,,,,
8,1987,1987-11-29,11,23.076,HOU,@,IND,L 27-51,,,,
9,1987,1987-12-06,12,23.083,HOU,,SDG,W 33-18,,,,
10,1987,1987-12-13,13,23.090,HOU,@,NOR,L 10-24,,,,
11,1987,1987-12-20,14,23.097,HOU,,PIT,W 24-16,,,,
12,1987,1987-12-27,15,23.104,HOU,,CIN,W 21-17,,,,
13,1988,1988-12-04,14,24.081,TAM,,BUF,W 10-5,1,22,22.00,0
14,1988,1988-12-11,15,24.088,TAM,@,NWE,L 7-10,0,0,,0
15,1988,1988-12-18,16,24.095,TAM,,DET,W 21-10,0,0,,0
