ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,22.191,MIA,,NWE,W 33-20,,,,,,,,,,,0.0%,,,,,,,
2,2014,2014-09-14,2,22.198,MIA,@,BUF,L 10-29,,0,0,,0,3,3,31,10.33,0,100.0%,10.33,,0,0,0.0,0,0
3,2014,2014-09-21,3,22.205,MIA,,KAN,L 15-34,,,,,,,,,,,0.0%,,,,,,,
4,2014,2014-09-28,4,22.212,MIA,@,OAK,W 38-14,,4,2,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
5,2014,2014-11-16,10,22.261,NYG,,SFO,L 10-16,,,,,,,,,,,0.0%,,,,,,,
6,2014,2014-11-23,11,22.268,NYG,,DAL,L 28-31,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0
7,2014,2014-11-30,12,22.275,NYG,@,JAX,L 24-25,,0,0,,0,,0,0,,0,0.0%,,,0,0,0.0,0,1
8,2014,2014-12-07,13,22.282,NYG,@,TEN,W 36-7,,1,0,0.00,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,1,0
9,2014,2014-12-14,14,22.289,NYG,,WAS,W 24-13,,0,0,,0,,0,0,,0,0.0%,,,0,0,0.0,0,1
10,2014,2014-12-21,15,22.296,NYG,@,STL,W 37-27,,4,21,5.25,1,2,2,17,8.50,0,100.0%,8.50,,1,6,0.0,2,0
11,2014,2014-12-28,16,22.303,NYG,,PHI,L 26-34,,0,0,,0,,0,0,,0,0.0%,,,0,0,0.0,0,1
12,2015,2015-09-13,1,23.197,NYG,@,DAL,L 26-27,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
13,2015,2015-09-20,2,23.204,NYG,,ATL,L 20-24,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
14,2015,2015-09-24,3,23.208,NYG,,WAS,W 32-21,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
15,2015,2015-10-04,4,23.218,NYG,@,BUF,W 24-10,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
16,2015,2015-10-11,5,23.225,NYG,,SFO,W 30-27,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
