ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1997,1997-08-31,1,22.053,PIT,,DAL,L 7-37,,4,0,0,,0,0.0%,0.00,0,0,,0,4,92,23.00,0,3,20,6.67,0,0,0
2,1997,1997-09-07,2,22.060,PIT,,WAS,W 14-13,,1,1,4,4.00,0,100.0%,4.00,1,11,11.00,0,4,100,25.00,0,0,0,,0,0,0
3,1997,1997-09-22,3,22.075,PIT,@,JAX,L 21-30,,0,0,0,,0,0.0%,,0,0,,0,4,151,37.75,0,0,0,,0,0,0
4,1997,1997-09-28,4,22.081,PIT,,TEN,W 37-24,,4,3,68,22.67,0,75.0%,17.00,0,0,,0,1,15,15.00,0,2,23,11.50,0,0,0
5,1997,1997-10-05,5,22.088,PIT,@,BAL,W 42-34,,1,0,0,,0,0.0%,0.00,0,0,,0,3,129,43.00,1,4,11,2.75,0,1,6
6,1997,1997-10-12,6,22.095,PIT,,IND,W 24-22,,0,0,0,,0,0.0%,,0,0,,0,1,20,20.00,0,0,0,,0,0,0
7,1997,1997-11-03,9,22.117,PIT,@,KAN,L 10-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,
8,1997,1997-11-09,10,22.123,PIT,,BAL,W 37-0,,2,1,20,20.00,0,50.0%,10.00,0,0,,0,1,28,28.00,0,4,22,5.50,0,0,0
9,1997,1997-11-16,11,22.130,PIT,,CIN,W 20-3,,4,0,0,,0,0.0%,0.00,0,0,,0,2,42,21.00,0,1,4,4.00,0,0,0
10,1997,1997-11-23,12,22.137,PIT,@,PHI,L 20-23,,5,4,58,14.50,1,80.0%,11.60,0,0,,0,5,84,16.80,0,1,2,2.00,0,1,6
11,1997,1997-11-30,13,22.144,PIT,@,ARI,W 26-20,,2,2,5,2.50,0,100.0%,2.50,0,0,,0,2,46,23.00,0,3,25,8.33,0,0,0
12,1997,1997-12-07,14,22.151,PIT,,DEN,W 35-24,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,3,41,13.67,0,1,15,15.00,0,0,0
13,1997,1997-12-13,15,22.157,PIT,@,NWE,W 24-21,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,4,27,6.75,0,0,0
14,1997,1997-12-21,16,22.165,PIT,@,TEN,L 6-16,,3,0,0,,0,0.0%,0.00,1,3,3.00,0,2,43,21.50,0,0,0,,0,0,0
15,1998,1998-09-06,1,23.059,PIT,@,BAL,W 20-13,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,2,8,4.00,0,0,0,,0,0,0
