ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1996,1996-09-08,2,22.363,SEA,,DEN,L 20-30,,,,,,,,,
2,1996,1996-09-15,3,23.004,SEA,,KAN,L 17-35,,,,,,,,,
3,1996,1996-09-22,4,23.011,SEA,@,TAM,W 17-13,,,,,,,,,
4,1996,1996-09-29,5,23.018,SEA,,GNB,L 10-31,,,,,,,,,
5,1996,1996-10-06,6,23.025,SEA,@,MIA,W 22-15,,,,,,,,,
6,1996,1996-10-17,7,23.036,SEA,@,KAN,L 16-34,,,,,,,,,
7,1996,1996-10-27,8,23.046,SEA,,SDG,W 32-13,,,,,,,,,
8,1996,1996-11-03,9,23.053,SEA,,HOU,W 23-16,,,,,,,,,
9,1996,1996-11-10,10,23.060,SEA,,MIN,W 42-23,,,,,,,,,
10,1996,1996-11-17,11,23.067,SEA,@,DET,L 16-17,,,,,,,,,
11,1996,1996-11-24,12,23.074,SEA,,OAK,L 21-27,,,,,,,,,
12,1996,1996-12-01,13,23.081,SEA,@,DEN,L 7-34,,,,,,,,,
13,1996,1996-12-08,14,23.088,SEA,,BUF,W 26-18,,,,,,,,,
14,1996,1996-12-15,15,23.095,SEA,@,JAX,L 13-20,,,,,,,,,
15,1996,1996-12-22,16,23.102,SEA,@,OAK,W 28-21,,,,,,,,,
16,1997,1997-08-31,1,23.354,SEA,,NYJ,L 3-41,,,,,,,,,
17,1997,1997-09-07,2,23.361,SEA,,DEN,L 14-35,,,,,,,,,
18,1997,1997-09-14,3,24.003,SEA,@,IND,W 31-3,,,,,,,,,
19,1997,1997-09-21,4,24.010,SEA,,SDG,W 26-22,,,,,,,,,
20,1997,1997-09-28,5,24.017,SEA,@,KAN,L 17-20,,,,,,,,,
21,1997,1997-10-05,6,24.024,SEA,,TEN,W 16-13,,,,,,,,,
22,1997,1997-10-19,7,24.038,SEA,@,STL,W 17-9,,,,,,,,,
23,1997,1997-10-26,8,24.045,SEA,,OAK,W 45-34,,,,,,,,,
24,1997,1997-11-02,9,24.052,SEA,@,DEN,L 27-30,,,,,,,,,
25,1997,1997-11-09,10,24.059,SEA,@,SDG,W 37-31,,,,,,,,,
26,1997,1997-11-16,11,24.066,SEA,@,NOR,L 17-20,,,,,,,,,
27,1997,1997-11-23,12,24.073,SEA,,KAN,L 14-19,,,,,,,,,
28,1997,1997-11-30,13,24.080,SEA,,ATL,L 17-24,,,,,,,,,
29,1997,1997-12-07,14,24.087,NYJ,,IND,L 14-22,,,,,,,,,
30,1997,1997-12-14,15,24.094,SEA,@,OAK,W 22-21,,,,,,,,,
31,1997,1997-12-21,16,24.101,SEA,,SFO,W 38-9,,,,,,,,,
32,1998,1998-09-06,1,24.360,SEA,@,PHI,W 38-0,,,,,,,,,
33,1998,1998-09-13,2,25.002,SEA,,ARI,W 33-14,,,,,,,,,
