ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1999,1999-10-03,4,22.160,SEA,,OAK,W 22-21,,,,,,,0.0%,,,
2,1999,1999-10-24,6,22.181,SEA,,BUF,W 26-16,,,,,,,0.0%,,,
3,2000,2000-09-17,3,23.144,SEA,,NOR,W 20-10,,1,1,7,7.00,0,100.0%,7.00,0,0
4,2000,2000-09-24,4,23.151,SEA,@,SDG,W 20-12,,3,1,10,10.00,0,33.3%,3.33,0,0
5,2000,2000-10-15,7,23.172,SEA,,IND,L 24-37,,4,2,11,5.50,1,50.0%,2.75,1,6
6,2000,2000-10-22,8,23.179,SEA,@,OAK,L 3-31,,,,,,,0.0%,,,
7,2000,2000-10-29,9,23.186,SEA,,KAN,L 19-24,,2,,,,,0.0%,,,
8,2000,2000-11-05,10,23.193,SEA,,SDG,W 17-15,,,,,,,0.0%,,,
9,2000,2000-11-26,12,23.214,SEA,,DEN,L 31-38,,2,,,,,0.0%,,,
10,2000,2000-12-10,14,23.228,SEA,@,DEN,L 24-31,,,,,,,0.0%,,,
11,2000,2000-12-23,16,23.241,SEA,,BUF,L 23-42,,2,2,34,17.00,0,100.0%,17.00,0,0
12,2002,2002-09-08,1,25.135,GNB,,ATL,W 37-34,,,,,,,0.0%,,,
13,2002,2002-09-15,2,25.142,GNB,@,NOR,L 20-35,,0,,,,,0.0%,,,
14,2002,2002-09-22,3,25.149,GNB,@,DET,W 37-31,,3,1,10,10.00,0,33.3%,3.33,0,0
15,2002,2002-09-29,4,25.156,GNB,,CAR,W 17-14,,3,2,16,8.00,0,66.7%,5.33,0,0
16,2002,2002-10-13,6,25.170,GNB,@,NWE,W 28-10,,,,,,,0.0%,,,
17,2002,2002-10-20,7,25.177,GNB,,WAS,W 30-9,,,,,,,0.0%,,,
18,2002,2002-12-08,13,25.226,GNB,,MIN,W 26-22,,0,,,,,0.0%,,,
19,2003,2003-09-07,1,26.134,GNB,,MIN,L 25-30,,2,,,,,0.0%,,,
