ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,21.125,PHI,@,CAR,W 38-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2009,2009-09-20,2,21.132,PHI,,NOR,L 22-48,*,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,0,0,,,,,,1,7,7.00,0,0,0,,0,0,0,0.0,0,0
3,2009,2009-09-27,3,21.139,PHI,,KAN,W 34-14,*,6,4,33,8.25,0,66.7%,5.50,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,-3,-3.00,0,0,0,0.0,0,0
4,2009,2009-10-11,4,21.153,PHI,,TAM,W 33-14,*,8,6,142,23.67,2,75.0%,17.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0.0,0,0
5,2009,2009-10-18,5,21.160,PHI,@,OAK,L 9-13,*,6,1,6,6.00,0,16.7%,1.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2009,2009-10-26,6,21.168,PHI,@,WAS,W 27-17,*,8,5,53,10.60,0,62.5%,6.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,1,1.00,0,0,0,0.0,0,0
7,2009,2009-11-01,7,21.174,PHI,,NYG,W 40-17,*,4,4,47,11.75,1,100.0%,11.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,0,0
8,2009,2009-11-08,8,21.181,PHI,,DAL,L 16-20,*,9,3,44,14.67,0,33.3%,4.89,0,0,,0,0,0,,0,0,0,,,,,,1,28,28.00,0,0,0,,0,0,0,0.0,2,0
9,2009,2009-11-15,9,21.188,PHI,@,SDG,L 23-31,*,8,6,76,12.67,1,75.0%,9.50,1,-6,-6.00,0,0,0,,0,0,0,,,,,,4,72,18.00,0,0,0,,0,1,6,0.0,0,0
10,2009,2009-11-22,10,21.195,PHI,@,CHI,W 24-20,*,9,6,64,10.67,0,66.7%,7.11,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
