ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1988,1988-09-04,1,22.019,PHI,@,TAM,W 41-14,0,0,,0
2,1988,1988-09-11,2,22.026,PHI,,CIN,L 24-28,1,27,27.00,0
3,1988,1988-09-18,3,22.033,PHI,@,WAS,L 10-17,2,40,20.00,0
4,1988,1988-09-25,4,22.040,PHI,@,MIN,L 21-23,4,75,18.75,0
5,1988,1988-10-02,5,22.047,PHI,,HOU,W 32-23,1,10,10.00,0
6,1988,1988-10-10,6,22.055,PHI,,NYG,W 24-13,4,93,23.25,0
7,1988,1988-10-16,7,22.061,PHI,@,CLE,L 3-19,3,29,9.67,0
8,1988,1988-10-23,8,22.068,PHI,,DAL,W 24-23,5,97,19.40,0
9,1988,1988-10-30,9,22.075,PHI,,ATL,L 24-27,3,54,18.00,0
10,1988,1988-11-06,10,22.082,PHI,,RAM,W 30-24,1,25,25.00,0
11,1988,1988-11-13,11,22.089,PHI,@,PIT,W 27-26,5,94,18.80,0
12,1988,1988-11-20,12,22.096,PHI,@,NYG,W 23-17,2,27,13.50,0
13,1988,1988-11-27,13,22.103,PHI,,PHO,W 31-21,3,54,18.00,0
