ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1989,1989-09-17,2,21.131,GNB,,NOR,W 35-34,0,0,,0,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
2,1989,1989-09-24,3,21.138,GNB,@,RAM,L 38-41,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,46,46.00,0,0,0,,0,0,0
3,1989,1989-10-01,4,21.145,GNB,,ATL,W 23-21,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,14,14.00,0,0,0,,0,0,0
4,1989,1989-10-08,5,21.152,GNB,,DAL,W 31-13,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,2,38,19.00,0,0,0,,0,0,0
5,1989,1989-10-15,6,21.159,GNB,@,MIN,L 14-26,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,5,83,16.60,0,0,0,,0,0,0
6,1989,1989-10-22,7,21.166,GNB,@,MIA,L 20-23,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,4,60,15.00,0,0,0,,0,0,0
7,1989,1989-10-29,8,21.173,GNB,,DET,W 23-20,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,4,57,14.25,0,0,0,,0,0,0
8,1989,1989-11-05,9,21.180,GNB,,CHI,W 14-13,1,3,3.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,2,27,13.50,0,0,0,,0,0,0
9,1989,1989-11-12,10,21.187,GNB,@,DET,L 22-31,3,5,1.67,1,,0,0,,0,,,0,0,,0,0,0,,,,,,3,34,11.33,0,0,0,,0,1,6
10,1989,1989-11-19,11,21.194,GNB,@,SFO,W 21-17,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,14,14.00,0,0,0,,0,0,0
11,1989,1989-11-26,12,21.201,GNB,,MIN,W 20-19,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,30,30.00,0,0,0,,0,0,0
12,1989,1989-12-03,13,21.208,GNB,@,TAM,W 17-16,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,4,64,16.00,0,0,0,,0,0,0
