ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1954,1954-09-26,1,21.284,CRD,,NYG,L 10-41,*,7,17,41.18,60,0,1,26.6,0,0,3.53,0.88,0,0,,0,0,0,,0,0,,,,,
2,1954,1954-10-03,2,21.291,CRD,,PHI,L 16-35,*,4,15,26.67,33,0,1,11.8,0,0,2.20,-0.80,6,-7,-1.17,1,0,0,,0,1,,,,,
3,1954,1954-10-10,3,21.298,CRD,@,CLE,L 7-31,*,13,27,48.15,183,0,2,39.6,0,0,6.78,3.44,4,10,2.50,0,0,0,,0,0,,,,,
4,1954,1954-10-17,4,21.305,CRD,@,NYG,L 17-31,*,8,27,29.63,145,1,2,30.9,0,0,5.37,2.78,0,0,,0,0,0,,0,0,,,,,
5,1954,1954-10-24,5,21.312,CRD,,CLE,L 3-35,*,6,17,35.29,126,0,1,37.9,0,0,7.41,4.76,5,28,5.60,0,0,0,,0,0,,,,,
6,1954,1954-10-31,6,21.319,CRD,,PIT,W 17-14,*,9,18,50.00,155,1,0,98.1,0,0,8.61,9.72,3,11,3.67,0,0,0,,0,0,,,,,
7,1954,1954-11-07,7,21.326,CRD,@,PHI,L 14-30,*,10,28,35.71,89,0,1,30.2,0,0,3.18,1.57,3,9,3.00,0,0,0,,0,0,,,,,
8,1954,1954-11-14,8,21.333,CRD,@,RAM,L 17-28,*,7,15,46.67,75,0,2,22.2,0,0,5.00,-1.00,2,10,5.00,0,0,0,,0,0,,,,,
9,1954,1954-11-21,9,21.340,CRD,,WAS,W 38-16,,7,14,50.00,95,1,1,66.1,0,0,6.79,5.00,2,0,0.00,0,0,0,,0,0,,,,,
10,1954,1954-11-28,10,21.347,CRD,@,PIT,L 17-20,*,11,18,61.11,233,2,3,102.5,0,0,12.94,7.67,2,8,4.00,0,0,0,,0,0,,,,,
