ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2011,2011-10-09,5,27.223,OAK,@,HOU,W 25-20,*,,,,,,0.0%,,,,,,,,
2,2011,2011-10-16,6,27.230,OAK,,CLE,W 24-17,*,1,0,0,,0,0.0%,0.00,1,12,12.00,0,0.0,0,0
3,2011,2011-10-23,7,27.237,OAK,,KAN,L 0-28,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0.0,0,0
4,2011,2011-11-06,8,27.251,OAK,,DEN,L 24-38,,,,,,,0.0%,,,,,,,,
5,2011,2011-11-10,9,27.255,OAK,@,SDG,W 24-17,,,,,,,0.0%,,,,,,,,
6,2011,2011-11-27,11,27.272,OAK,,CHI,W 25-20,,,,,,,0.0%,,,,,,,,
7,2011,2011-12-04,12,27.279,OAK,@,MIA,L 14-34,,,,,,,0.0%,,,,,,,,
8,2011,2011-12-11,13,27.286,OAK,@,GNB,L 16-46,,,,,,,0.0%,,,,,,,,
9,2011,2011-12-18,14,27.293,OAK,,DET,L 27-28,,,0,0,,0,0.0%,,0,0,,0,0.0,1,0
10,2011,2011-12-24,15,27.299,OAK,@,KAN,W 16-13,,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0.0,0,0
11,2011,2012-01-01,16,27.307,OAK,,SDG,L 26-38,,,,,,,0.0%,,,,,,,,
