ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1959,1959-09-27,1,24.353,WAS,@,CRD,L 21-49,1,4,4.00,0,0,0,,0,,,,,,,,
2,1959,1959-10-25,5,25.016,BAL,,GNB,W 38-21,1,-1,-1.00,0,0,0,,0,,,,,,,,
3,1959,1959-11-01,6,25.023,BAL,,CLE,L 31-38,2,6,3.00,0,1,25,25.00,0,,,,,,,,
4,1959,1959-11-08,7,25.030,BAL,@,WAS,L 24-27,5,18,3.60,0,0,0,,0,,,,,,,,
5,1959,1959-11-15,8,25.037,BAL,@,GNB,W 28-24,6,20,3.33,0,2,66,33.00,0,,,,,,,,
6,1959,1959-11-22,9,25.044,BAL,,SFO,W 45-14,13,62,4.77,0,1,8,8.00,0,,,,,,,,
7,1959,1959-11-29,10,25.051,BAL,,RAM,W 35-21,16,29,1.81,1,2,4,2.00,0,,,,,,,,
8,1959,1959-12-05,11,25.057,BAL,@,SFO,W 34-14,9,30,3.33,0,0,0,,0,,,,,,,,
9,1959,1959-12-12,12,25.064,BAL,@,RAM,W 45-26,9,63,7.00,1,1,8,8.00,0,,,,,,,,
10,1960,1960-12-18,12,26.070,BAL,@,SFO,L 10-34,0,0,,0,0,0,,0,1,10,10.00,0,0,0,,0
11,1961,1961-09-17,1,26.343,BAL,,RAM,W 27-24,2,-2,-1.00,0,0,0,,0,0,0,,0,0,0,,0
12,1961,1961-10-01,3,26.357,BAL,,MIN,W 34-33,4,12,3.00,0,1,31,31.00,0,0,0,,0,0,0,,0
13,1961,1961-10-29,7,27.020,WAS,,PHI,L 24-27,2,0,0.00,0,0,0,,0,0,0,,0,1,13,13.00,0
14,1961,1961-11-05,8,27.027,WAS,@,NYG,L 0-53,3,-9,-3.00,0,0,0,,0,4,98,24.50,0,1,13,13.00,0
15,1963,1963-09-07,1,28.333,OAK,@,HOU,W 24-13,0,0,,0,0,0,,0,1,18,18.00,0,1,10,10.00,0
16,1963,1963-09-15,2,28.341,OAK,,BUF,W 35-17,1,13,13.00,0,1,24,24.00,0,1,20,20.00,0,1,2,2.00,0
17,1963,1963-09-22,3,28.348,OAK,,BOS,L 14-20,4,8,2.00,0,0,0,,0,2,45,22.50,0,1,25,25.00,0
18,1963,1963-09-28,4,28.354,OAK,@,NYJ,L 7-10,0,0,,0,0,0,,0,1,19,19.00,0,1,7,7.00,0
