ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,sacks,def_int,def_int_yds,def_int_td
1,1994,1994-09-04,1,23.069,MIA,,NWE,W 39-35,,,,,,,,,,,,,,,,,,,,
2,1994,1994-09-11,2,23.076,MIA,@,GNB,W 24-14,,,,,,,,,,,,,,,,,,,,
3,1994,1994-09-18,3,23.083,MIA,,NYJ,W 28-14,,,,,,,,,,,,,,,,,,,,
4,1994,1994-10-09,6,23.104,MIA,@,BUF,L 11-21,,,,,,,,,,,,,,,,,,,,
5,1994,1994-10-16,7,23.111,MIA,,RAI,W 20-17,,,,,,,,,,,,,,,,,,,,
6,1994,1994-10-30,8,23.125,MIA,@,NWE,W 23-3,,,,,,,,,,,,,,,,,,,,
7,1994,1994-11-06,9,23.132,MIA,,IND,W 22-21,,,,,,,,,,,,,,,,,,,,
8,1994,1994-11-13,10,23.139,MIA,,CHI,L 14-17,,,,,,,,,,,,,,,,,,,,
9,1994,1994-11-20,11,23.146,MIA,@,PIT,L 13-16,,,,,,,,,,,,,,,,,,,,
10,1994,1994-11-27,12,23.153,MIA,@,NYJ,W 28-24,,,,,,,,,,,,,,,,,,,,
11,1994,1994-12-04,13,23.160,MIA,,BUF,L 31-42,,,,,,,,,,,,,,,,,,,,
12,1994,1994-12-12,14,23.168,MIA,,KAN,W 45-28,,,,,,,,,,,,,,,,,,,,
13,1994,1994-12-18,15,23.174,MIA,@,IND,L 6-10,,,,,,,,,,,,,,,,,,,,
14,1994,1994-12-25,16,23.181,MIA,,DET,W 27-20,,,,,,,,,,,,,,,,,,,,
15,1995,1995-12-17,15,24.173,JAX,@,DET,L 0-44,,,,,,,,,,,,,,,,,,,,
16,1995,1995-12-24,16,24.180,JAX,,CLE,W 24-21,,,,,,,,,,,,,,,,,,,,
17,1996,1996-09-29,5,25.094,JAX,,CAR,W 24-14,,,,,,,,,,,,,,,,,,,,
18,1996,1996-10-06,6,25.101,JAX,@,NOR,L 13-17,,,,,,,,,,,,,,,,,,,,
19,1996,1996-10-13,7,25.108,JAX,,NYJ,W 21-17,,,,,,,,,,,,,,,,,,,,
20,1996,1996-10-20,8,25.115,JAX,@,STL,L 14-17,,,,,,,,,,,,,,,,,,,,
21,1996,1996-10-27,9,25.122,JAX,@,CIN,L 21-28,,,,,,,,,,,,,,,,,,,,
22,1996,1996-11-10,10,25.136,MIA,,IND,W 37-13,,,,,,,,,,,,,,,,,,,,
23,1996,1996-11-17,11,25.143,JAX,@,PIT,L 3-28,,,,,,,,,,,,,,,,,,,,
24,1996,1996-11-24,12,25.150,NWE,,IND,W 27-13,,,,,,,,,,,,,,,,,,,,
25,1996,1996-12-01,13,25.157,JAX,,CIN,W 30-27,,,,,,,,,,,,,,,,,,,,
26,1996,1996-12-08,14,25.164,JAX,@,HOU,W 23-17,,,,,,,,,,,,,,,,,,,,
27,1996,1996-12-15,15,25.171,JAX,,SEA,W 20-13,,,,,,,,,,,,,,,,,,,,
28,1996,1996-12-22,16,25.178,JAX,,ATL,W 19-17,,,,,,,,,,,,,,,,,,,,
29,1997,1997-08-31,1,26.065,MIA,,IND,W 16-10,,,,,,,,,,,,,,,,,,,,
30,1997,1997-09-07,2,26.072,JAX,,NYG,W 40-13,,,,,,,,,,,,,,,,,,,,
31,1997,1997-09-22,3,26.087,JAX,,PIT,W 30-21,,0,0,,0,0,0,,0,0,0,,0,0,,,1.0,0,0,0
32,1997,1997-09-28,4,26.093,JAX,@,WAS,L 12-24,,,,,,,,,,,,,,,,,,,,
33,1997,1997-10-05,5,26.100,JAX,,CIN,W 21-13,,,,,,,,,,,,,,,,,,,,
34,1997,1997-10-12,6,26.107,JAX,,PHI,W 38-21,,,,,,,,,,,,,,,,,,,,
35,1997,1997-10-19,7,26.114,JAX,@,DAL,L 22-26,,,,,,,,,,,,,,,,,,,,
36,1997,1997-10-26,8,26.121,JAX,@,PIT,L 17-23,,,,,,,,,,,,,,,,,,,,
37,1997,1997-11-02,9,26.128,JAX,@,TEN,W 30-24,,,,,,,,,,,,,,,,,,,,
38,1997,1997-11-09,10,26.135,JAX,,KAN,W 24-10,,,,,,,,,,,,,,,,,,,,
39,1997,1997-11-16,11,26.142,JAX,,TEN,W 17-9,,,,,,,,,,,,,,,,,,,,
40,1997,1997-11-23,12,26.149,JAX,@,CIN,L 26-31,,,,,,,,,,,,,,,,,,,,
41,1997,1997-11-30,13,26.156,NWE,,IND,W 20-17,,,,,,,,,,,,,,,,,,,,
42,1997,1997-12-07,14,26.163,JAX,,NWE,L 20-26,,,,,,,,,,,,,,,,,,,,
43,1997,1997-12-14,15,26.170,JAX,@,BUF,W 20-14,,0,0,,0,0,0,,0,0,0,,0,0,,,0.5,0,0,0
44,1997,1997-12-21,16,26.177,JAX,@,OAK,W 20-9,,,,,,,,,,,,,,,,,,,,
45,1998,1998-09-06,1,27.071,JAX,@,CHI,W 24-23,,,,,,,,,,,,,,,,,,,,
46,1998,1998-09-13,2,27.078,JAX,,KAN,W 21-16,,0,0,,0,0,0,,0,0,0,,0,0,,,1.0,0,0,0
47,1998,1998-09-27,4,27.092,JAX,@,TEN,W 27-22,,,,,,,,,,,,,,,,,,,,
48,1998,1998-10-12,5,27.107,JAX,,MIA,W 28-21,,,,,,,,,,,,,,,,,,,,
49,1998,1998-10-18,6,27.113,JAX,@,BUF,L 16-17,,,,,,,,,,,,,,,,,,,,
50,1998,1998-10-25,7,27.120,JAX,@,DEN,L 24-37,,,,,,,,,,,,,,,,,,,,
51,1998,1998-11-08,9,27.134,JAX,,CIN,W 24-11,,,,,,,,,,,,,,,,,,,,
52,1998,1998-11-15,10,27.141,JAX,,TAM,W 29-24,,,,,,,,,,,,,,,,,,,,
53,1998,1998-11-22,11,27.148,JAX,@,PIT,L 15-30,,,,,,,,,,,,,,,,,,,,
54,1999,1999-09-12,1,28.077,JAX,,SFO,W 41-3,,,,,,,,,,,,,,,,,,,,
55,1999,1999-09-19,2,28.084,JAX,@,CAR,W 22-20,,,,,,,,,,,,,,,,,,,,
56,1999,1999-09-26,3,28.091,JAX,,TEN,L 19-20,,,,,,,,,,,,,,,,,,,,
57,1999,1999-10-03,4,28.098,JAX,@,PIT,W 17-3,,,,,,,,,,,,,,,,,,,,
58,1999,1999-10-11,5,28.106,JAX,@,NYJ,W 16-6,,,,,,,,,,,,,,,,,,,,
59,1999,1999-10-17,6,28.112,JAX,,CLE,W 24-7,,,,,,,,,,,,,,,,,,,,
60,1999,1999-10-31,7,28.126,JAX,@,CIN,W 41-10,,,,,,,,,,,,,,,,,,,,
61,1999,1999-11-07,8,28.133,JAX,@,ATL,W 30-7,,0,0,,0,0,0,,0,0,0,,0,0,,,2.0,0,0,0
62,1999,1999-11-14,9,28.140,JAX,,BAL,W 6-3,,,,,,,,,,,,,,,,,,,,
63,1999,1999-11-21,10,28.147,JAX,,NOR,W 41-23,,0,0,,0,0,0,,0,0,0,,0,0,,,1.0,0,0,0
64,1999,1999-11-28,11,28.154,JAX,@,BAL,W 30-23,,,,,,,,,,,,,,,,,,,,
65,1999,1999-12-02,12,28.158,JAX,,PIT,W 20-6,,,,,,,,,,,,,,,,,,,,
66,1999,1999-12-13,13,28.169,JAX,,DEN,W 27-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,5,0
67,1999,1999-12-19,14,28.175,JAX,@,CLE,W 24-14,,0,0,,0,0,0,,0,0,0,,0,0,,,1.0,0,0,0
