ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1990,1990-10-28,7,23.212,BUF,@,NWE,W 27-10,1,0,0
2,1990,1990-11-18,10,23.233,BUF,,NWE,W 14-0,1,0,0
3,1991,1991-09-15,3,24.169,BUF,@,NYJ,W 23-20,1,0,0
4,1992,1992-09-20,3,25.174,BUF,,IND,W 38-0,1,0,0
5,1992,1992-10-04,5,25.188,BUF,,MIA,L 10-37,1,15,0
6,1993,1993-09-05,1,26.159,BUF,,NWE,W 38-14,1,6,0
7,1993,1993-11-01,7,26.216,BUF,,WAS,W 24-10,1,5,0
8,1994,1994-09-04,1,27.158,ARI,@,RAM,L 12-14,1,0,0
9,1994,1994-10-16,6,27.200,ARI,@,WAS,W 19-16,2,19,0
10,1994,1994-12-04,13,27.249,ARI,@,HOU,W 30-12,1,29,0
