ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2015,2015-10-12,5,24.210,PIT,@,SDG,W 24-20,,3,3,100.0,1,1,100.0,0,6
2,2015,2015-10-18,6,24.216,PIT,,ARI,W 25-13,,1,1,100.0,4,4,100.0,0,13
3,2015,2015-10-25,7,24.223,PIT,@,KAN,L 13-23,,1,1,100.0,2,2,100.0,0,7
4,2015,2015-11-01,8,24.230,PIT,,CIN,L 10-16,,1,1,100.0,1,1,100.0,0,4
5,2015,2015-11-08,9,24.237,PIT,,OAK,W 38-35,,3,3,100.0,3,4,75.0,0,12
6,2015,2015-11-15,10,24.244,PIT,,CLE,W 30-9,,1,2,50.0,3,3,100.0,0,10
7,2015,2015-11-29,11,24.258,PIT,@,SEA,L 30-39,,1,1,100.0,3,3,100.0,0,10
8,2015,2015-12-06,12,24.265,PIT,,IND,W 45-10,,4,4,100.0,3,4,75.0,0,13
9,2015,2015-12-13,13,24.272,PIT,@,CIN,W 33-20,,3,3,100.0,4,4,100.0,0,15
10,2015,2015-12-20,14,24.279,PIT,,DEN,W 34-27,,4,4,100.0,2,2,100.0,0,10
11,2015,2015-12-27,15,24.286,PIT,@,BAL,L 17-20,,2,2,100.0,1,1,100.0,0,5
12,2015,2016-01-03,16,24.293,PIT,@,CLE,W 28-12,,2,2,100.0,2,3,66.7,0,8
13,2016,2016-09-12,1,25.180,PIT,@,WAS,W 38-16,,5,5,100.0,1,1,100.0,0,8
14,2016,2016-09-18,2,25.186,PIT,,CIN,W 24-16,,3,3,100.0,1,1,100.0,0,6
15,2016,2016-09-25,3,25.193,PIT,@,PHI,L 3-34,,,,,1,2,50.0,0,3
16,2016,2016-10-02,4,25.200,PIT,,KAN,W 43-14,,5,5,100.0,,,,0,5
17,2016,2016-10-09,5,25.207,PIT,,NYJ,W 31-13,,4,4,100.0,1,1,100.0,0,7
18,2016,2016-10-16,6,25.214,PIT,@,MIA,L 15-30,,1,1,100.0,,,,0,1
19,2016,2016-10-23,7,25.221,PIT,,NWE,L 16-27,,1,1,100.0,3,5,60.0,0,10
20,2016,2016-11-06,8,25.235,PIT,@,BAL,L 14-21,,2,2,100.0,,,,0,2
21,2016,2016-11-13,9,25.242,PIT,,DAL,L 30-35,,,,,2,3,66.7,0,6
22,2016,2016-11-20,10,25.249,PIT,@,CLE,W 24-9,,1,1,100.0,3,3,100.0,0,10
23,2016,2016-11-24,11,25.253,PIT,@,IND,W 28-7,,4,4,100.0,,,,0,4
24,2016,2016-12-11,13,25.270,PIT,@,BUF,W 27-20,,3,3,100.0,2,2,100.0,0,9
25,2016,2016-12-18,14,25.277,PIT,@,CIN,W 24-20,,,,,6,6,100.0,0,18
26,2016,2016-12-25,15,25.284,PIT,,BAL,W 31-27,,4,4,100.0,1,1,100.0,0,7
27,2016,2017-01-01,16,25.291,PIT,,CLE,W 27-24,,3,3,100.0,,,,0,3
28,2017,2017-09-10,1,26.178,PIT,@,CLE,W 21-18,,3,3,100.0,,,,0,3
29,2017,2017-09-17,2,26.185,PIT,,MIN,W 26-9,,2,2,100.0,4,4,100.0,0,14
30,2017,2017-09-24,3,26.192,PIT,@,CHI,L 17-23,,2,2,100.0,1,2,50.0,0,5
31,2017,2017-10-01,4,26.199,PIT,@,BAL,W 26-9,,2,2,100.0,2,3,66.7,0,8
32,2017,2017-10-08,5,26.206,PIT,,JAX,L 9-30,,,,,3,3,100.0,0,9
33,2017,2017-10-15,6,26.213,PIT,@,KAN,W 19-13,,2,2,100.0,1,1,100.0,0,5
34,2017,2017-10-22,7,26.220,PIT,,CIN,W 29-14,,2,2,100.0,5,5,100.0,0,17
35,2017,2017-10-29,8,26.227,PIT,@,DET,W 20-15,,2,2,100.0,2,2,100.0,0,8
36,2017,2017-11-12,9,26.241,PIT,@,IND,W 20-17,,,1,0.0,2,3,66.7,0,6
37,2017,2017-11-16,10,26.245,PIT,,TEN,W 40-17,,4,4,100.0,4,4,100.0,0,16
38,2017,2017-11-26,11,26.255,PIT,,GNB,W 31-28,,2,3,66.7,1,1,100.0,0,5
39,2017,2017-12-04,12,26.263,PIT,@,CIN,W 23-20,,2,2,100.0,3,3,100.0,0,11
40,2017,2017-12-10,13,26.269,PIT,,BAL,W 39-38,,3,3,100.0,4,4,100.0,0,15
41,2017,2017-12-17,14,26.276,PIT,,NWE,L 24-27,,3,3,100.0,1,1,100.0,0,6
42,2017,2017-12-25,15,26.284,PIT,@,HOU,W 34-6,,4,4,100.0,2,2,100.0,0,10
43,2017,2017-12-31,16,26.290,PIT,,CLE,W 28-24,,4,4,100.0,,,,0,4
44,2018,2018-09-09,1,27.177,PIT,@,CLE,T 21-21,,3,3,100.0,,1,0.0,0,3
45,2018,2018-09-16,2,27.184,PIT,,KAN,L 37-42,,3,4,75.0,,1,0.0,0,3
46,2018,2018-09-24,3,27.192,PIT,@,TAM,W 30-27,,3,4,75.0,1,2,50.0,0,6
