ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1994,1994-09-04,1,23.342,ARI,@,RAM,L 12-14,,,,,,0.0%,,,,,,,,,
2,1994,1994-09-11,2,23.349,ARI,,NYG,L 17-20,,,,,,0.0%,,,,,,,,,
3,1994,1994-09-18,3,23.356,ARI,@,CLE,L 0-32,,,,,,0.0%,,,,,,,,,
4,1994,1994-10-02,4,24.005,ARI,,MIN,W 17-7,,,,,,0.0%,,,,,,,,,
5,1994,1994-10-09,5,24.012,ARI,@,DAL,L 3-38,,,,,,0.0%,,,,,,,,,
6,1994,1994-10-16,6,24.019,ARI,@,WAS,W 19-16,,,,,,0.0%,,,,,,,,,
7,1994,1994-10-23,7,24.026,ARI,,DAL,L 21-28,,,,,,0.0%,,,,,,,,,
8,1994,1994-10-30,8,24.033,ARI,,PIT,W 20-17,,,,,,0.0%,,,,,,,,,
9,1994,1994-11-06,9,24.040,ARI,@,PHI,L 7-17,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0
10,1994,1994-11-13,10,24.047,ARI,@,NYG,W 10-9,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0
11,1994,1994-11-20,11,24.054,ARI,,PHI,W 12-6,,,,,,0.0%,,,,,,,,,
12,1994,1994-11-27,12,24.061,ARI,,CHI,L 16-19,,,,,,0.0%,,,,,,,,,
13,1994,1994-12-04,13,24.068,ARI,@,HOU,W 30-12,2,1,2,2.00,0,50.0%,1.00,0,0,,0,1,6,6.00,0
14,1994,1994-12-11,14,24.075,ARI,,WAS,W 17-15,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0
15,1994,1994-12-18,15,24.082,ARI,,CIN,W 28-7,3,2,13,6.50,0,66.7%,4.33,1,1,1.00,0,0,0,,0
16,1994,1994-12-24,16,24.088,ARI,@,ATL,L 6-10,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0
17,1995,1995-09-03,1,24.341,ARI,@,WAS,L 7-27,,,,,,0.0%,,,,,,,,,
18,1995,1995-09-17,3,24.355,ARI,@,DET,W 20-17,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0
19,1995,1995-09-24,4,24.362,ARI,@,DAL,L 20-34,,,,,,0.0%,,,,,,,,,
20,1995,1995-10-01,5,25.004,ARI,,KAN,L 3-24,,,,,,0.0%,,,,,,,,,
