ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1974,1974-09-15,1,21.289,MIN,@,GNB,W 32-17,0,0,,0,1,27,27.00,0,2,13,6.50,0,0,0
2,1974,1974-09-22,2,21.296,MIN,@,DET,W 7-6,0,0,,0,0,0,,0,1,2,2.00,0,0,0
3,1974,1974-10-13,5,21.317,MIN,,HOU,W 51-10,1,20,20.00,1,1,23,23.00,0,0,0,,0,1,6
4,1974,1974-10-20,6,21.324,MIN,,DET,L 16-20,,,,,,,,,,,,,,
5,1974,1974-10-27,7,21.331,MIN,,NWE,L 14-17,0,0,,0,0,0,,0,1,2,2.00,0,0,0
6,1974,1974-11-03,8,21.338,MIN,@,CHI,W 17-0,0,0,,0,0,0,,0,3,21,7.00,0,0,0
7,1974,1974-11-11,9,21.346,MIN,@,STL,W 28-24,,,,,,,,,,,,,,
8,1974,1974-11-17,10,21.352,MIN,,GNB,L 7-19,0,0,,0,3,61,20.33,0,0,0,,0,0,0
9,1974,1974-11-24,11,21.359,MIN,@,RAM,L 17-20,0,0,,0,1,21,21.00,0,1,7,7.00,0,0,0
10,1974,1974-12-01,12,22.001,MIN,,NOR,W 29-9,0,0,,0,2,43,21.50,0,2,16,8.00,0,0,0
11,1974,1974-12-07,13,22.007,MIN,,ATL,W 23-10,0,0,,0,2,62,31.00,0,1,12,12.00,0,0,0
12,1974,1974-12-14,14,22.014,MIN,@,KAN,W 35-15,6,118,19.67,2,2,63,31.50,0,1,12,12.00,0,2,12
13,1975,1975-10-12,4,22.316,MIN,,NYJ,W 29-21,0,0,,0,2,77,38.50,0,0,0,,0,0,0
14,1975,1975-10-19,5,22.323,MIN,,DET,W 25-19,1,5,5.00,0,3,82,27.33,0,2,15,7.50,0,0,0
15,1975,1975-10-27,6,22.331,MIN,@,CHI,W 13-9,,,,,,,,,,,,,,
16,1975,1975-11-02,7,22.337,MIN,@,GNB,W 28-17,0,0,,0,1,19,19.00,0,1,1,1.00,0,0,0
17,1975,1975-11-09,8,22.344,MIN,,ATL,W 38-0,0,0,,0,1,10,10.00,0,1,0,0.00,0,0,0
18,1975,1975-11-30,11,23.000,MIN,@,WAS,L 30-31,0,0,,0,0,0,,0,3,12,4.00,0,0,0
19,1975,1975-12-07,12,23.007,MIN,,GNB,W 24-3,0,0,,0,1,16,16.00,0,3,-12,-4.00,0,0,0
20,1975,1975-12-14,13,23.014,MIN,@,DET,L 10-17,1,20,20.00,0,1,17,17.00,0,1,3,3.00,0,0,0
21,1975,1975-12-20,14,23.020,MIN,@,BUF,W 35-13,0,0,,0,0,0,,0,1,3,3.00,0,0,0
22,1976,1976-09-12,1,23.287,SEA,,STL,L 24-30,4,112,28.00,2,0,0,,0,0,0,,0,2,12
23,1976,1976-09-19,2,23.294,SEA,@,WAS,L 7-31,2,24,12.00,0,0,0,,0,0,0,,0,0,0
24,1976,1976-09-26,3,23.301,SEA,,SFO,L 21-37,1,12,12.00,0,0,0,,0,0,0,,0,0,0
25,1976,1976-10-03,4,23.308,SEA,,DAL,L 13-28,1,19,19.00,0,0,0,,0,0,0,,0,0,0
26,1976,1976-10-10,5,23.315,SEA,@,GNB,L 20-27,3,29,9.67,0,0,0,,0,0,0,,0,0,0
27,1976,1976-10-17,6,23.322,SEA,@,TAM,W 13-10,5,64,12.80,1,0,0,,0,0,0,,0,1,6
28,1976,1976-10-24,7,23.329,SEA,,DET,L 14-41,,,,,,,,,,,,,,
29,1976,1976-10-31,8,23.336,SEA,@,RAM,L 6-45,3,70,23.33,0,0,0,,0,0,0,,0,0,0
30,1976,1976-11-07,9,23.343,SEA,,ATL,W 30-13,2,27,13.50,0,0,0,,0,0,0,,0,0,0
31,1976,1976-11-14,10,23.350,SEA,@,MIN,L 21-27,3,69,23.00,1,0,0,,0,0,0,,0,1,6
32,1976,1976-11-21,11,23.357,SEA,,NOR,L 27-51,1,1,1.00,0,0,0,,0,0,0,,0,0,0
33,1976,1976-11-28,12,23.364,SEA,@,NYG,L 16-28,2,36,18.00,0,0,0,,0,0,0,,0,0,0
34,1976,1976-12-05,13,24.005,SEA,,CHI,L 7-34,2,32,16.00,0,0,0,,0,0,0,,0,0,0
35,1976,1976-12-12,14,24.012,SEA,@,PHI,L 10-27,3,11,3.67,0,0,0,,0,0,0,,0,0,0
36,1977,1977-09-18,1,24.292,SEA,,BAL,L 14-29,2,32,16.00,0,0,0,,0,0,0,,0,0,0
37,1977,1977-09-25,2,24.299,SEA,@,CIN,L 20-42,,,,,,,,,,,,,,
38,1977,1977-10-02,3,24.306,SEA,,DEN,L 13-24,1,8,8.00,0,0,0,,0,0,0,,0,0,0
39,1977,1977-10-16,5,24.320,SEA,,TAM,W 30-23,,,,,,,,,,,,,,
40,1977,1977-10-23,6,24.327,SEA,@,MIA,L 13-31,,,,,,,,,,,,,,
41,1977,1977-10-30,7,24.334,SEA,,BUF,W 56-17,,,,,,,,,,,,,,
42,1977,1977-11-06,8,24.341,SEA,@,OAK,L 7-44,,,,,,,,,,,,,,
43,1977,1977-11-13,9,24.348,SEA,@,NYJ,W 17-0,,,,,,,,,,,,,,
44,1977,1977-11-20,10,24.355,SEA,,HOU,L 10-22,,,,,,,,,,,,,,
45,1977,1977-11-27,11,24.362,SEA,,SDG,L 28-30,3,59,19.67,0,0,0,,0,0,0,,0,0,0
46,1977,1977-12-04,12,25.004,SEA,@,PIT,L 20-30,1,65,65.00,1,0,0,,0,0,0,,0,1,6
47,1977,1977-12-11,13,25.011,SEA,@,KAN,W 34-31,,,,,,,,,,,,,,
48,1977,1977-12-18,14,25.018,SEA,,CLE,W 20-19,2,34,17.00,0,0,0,,0,0,0,,0,0,0
49,1978,1978-09-03,1,25.277,SEA,,SDG,L 20-24,1,8,8.00,0,0,0,,0,0,0,,0,0,0
50,1978,1978-09-10,2,25.284,SEA,@,PIT,L 10-21,,,,,,,,,,,,,,
51,1978,1978-09-17,3,25.291,SEA,@,NYJ,W 24-17,5,58,11.60,0,0,0,,0,0,0,,0,0,0
52,1978,1978-09-24,4,25.298,SEA,,DET,W 28-16,2,30,15.00,1,0,0,,0,0,0,,0,1,6
