ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1977,1977-09-18,1,23.045,MIA,@,BUF,W 13-0,,,,,,,,,,,,,,,,
2,1977,1977-09-25,2,23.052,MIA,@,SFO,W 19-15,0,0,,0,,1,0.0,,,,0,0,,,,
3,1977,1977-10-02,3,23.059,MIA,,HOU,W 27-7,,,,,,,,,,,,,,,,
4,1977,1977-10-09,4,23.066,MIA,@,BAL,L 28-45,,,,,,,,,,,,,,,,
5,1977,1977-10-16,5,23.073,MIA,,NYJ,W 21-17,0,0,,0,,,,,,,0,0,4,151,37.75,0
6,1977,1977-10-23,6,23.080,MIA,,SEA,W 31-13,0,0,,0,,,,,,,0,0,3,130,43.33,0
7,1977,1977-10-30,7,23.087,MIA,,SDG,L 13-14,0,0,,0,,,,,,,0,0,4,166,41.50,0
8,1977,1977-11-06,8,23.094,MIA,@,NYJ,W 14-10,0,0,,0,,,,,,,0,0,5,203,40.60,0
9,1977,1977-11-13,9,23.101,MIA,,NWE,W 17-5,1,-2,-2.00,0,,,,,,,0,0,4,193,48.25,0
10,1977,1977-11-20,10,23.108,MIA,@,CIN,L 17-23,0,0,,0,,,,,,,0,0,4,127,31.75,0
11,1977,1977-11-24,11,23.112,MIA,@,STL,W 55-14,0,0,,0,,,,,,,0,0,2,74,37.00,0
12,1977,1977-12-05,12,23.123,MIA,,BAL,W 17-6,0,0,,0,,,,,,,0,0,4,126,31.50,0
13,1977,1977-12-11,13,23.129,MIA,@,NWE,L 10-14,0,0,,0,,,,,,,0,0,2,64,32.00,0
14,1977,1977-12-17,14,23.135,MIA,,BUF,W 31-14,0,0,,0,,,,,,,0,0,3,104,34.67,0
15,1978,1978-10-15,7,24.072,PHI,,WAS,W 17-10,1,0,0.00,0,,,,,,,,,4,100,25.00,0
16,1978,1978-10-22,8,24.079,PHI,@,DAL,L 7-14,,,,,,,,,,,,,,,,
17,1978,1978-10-29,9,24.086,PHI,,STL,L 10-16,,,,,,,,,,,,,,,,
18,1978,1978-11-05,10,24.093,PHI,,GNB,W 10-3,,,,,,,,,,,,,,,,
19,1978,1978-11-12,11,24.100,PHI,,NYJ,W 17-9,,,,,,,,,,,,,,,,
20,1978,1978-11-19,12,24.107,PHI,@,NYG,W 19-17,0,0,,0,1,1,100.0,,,,0,1,3,75,25.00,0
21,1978,1978-11-26,13,24.114,PHI,@,STL,W 14-10,0,0,,0,2,2,100.0,,,,0,2,8,302,37.75,0
22,1978,1978-12-03,14,24.121,PHI,@,MIN,L 27-28,0,0,,0,3,4,75.0,,,,0,3,8,282,35.25,0
23,1978,1978-12-10,15,24.128,PHI,,DAL,L 13-31,0,0,,0,1,2,50.0,,,,0,1,7,269,38.43,0
24,1978,1978-12-17,16,24.135,PHI,,NYG,W 20-3,0,0,,0,2,3,66.7,,,,0,2,5,178,35.60,0
