ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2003,2003-09-28,4,24.152,ATL,@,CAR,L 3-23,,,,,,,0.0%,,,,,
2,2003,2003-10-05,5,24.159,ATL,,MIN,L 26-39,,,,,,,0.0%,,,,,
3,2003,2003-11-23,11,24.208,ATL,,TEN,L 31-38,,1,0,0,,0,0.0%,0.00,1,2,2.00,0
4,2003,2003-11-30,12,24.215,ATL,@,HOU,L 13-17,,2,1,10,10.00,0,50.0%,5.00,0,0,,0
5,2003,2003-12-07,13,24.222,ATL,,CAR,W 20-14,,1,,,,,0.0%,,,,,
6,2003,2003-12-14,14,24.229,ATL,@,IND,L 7-38,,1,,,,,0.0%,,,,,
