ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2016,2016-11-06,8,22.190,PHI,@,NYG,L 23-28,,4,2,69,34.50,0,50.0%,17.25,0,0,,0,0,0,,0
2,2016,2016-11-13,9,22.197,PHI,,ATL,W 24-15,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
3,2016,2016-11-20,10,22.204,PHI,@,SEA,L 15-26,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
4,2016,2016-11-28,11,22.212,PHI,,GNB,L 13-27,,3,1,11,11.00,0,33.3%,3.67,1,3,3.00,0,0,0,,0
5,2016,2016-12-04,12,22.218,PHI,@,CIN,L 14-32,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
6,2016,2016-12-11,13,22.225,PHI,,WAS,L 22-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
7,2016,2016-12-18,14,22.232,PHI,@,BAL,L 26-27,,0,0,0,,0,0.0%,,1,4,4.00,0,0,0,,0
8,2016,2016-12-22,15,22.236,PHI,,NYG,W 24-19,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
9,2016,2017-01-01,16,22.246,PHI,,DAL,W 27-13,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
10,2017,2017-10-08,5,23.161,CLE,,NYJ,L 14-17,,6,2,28,14.00,0,33.3%,4.67,0,0,,0,0,0,,0
11,2017,2017-10-15,6,23.168,CLE,@,HOU,L 17-33,,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0,,0
12,2017,2017-10-22,7,23.175,CLE,,TEN,L 9-12,,2,1,19,19.00,0,50.0%,9.50,1,6,6.00,0,3,13,4.33,0
13,2017,2017-10-29,8,23.182,CLE,,MIN,L 16-33,*,3,1,12,12.00,0,33.3%,4.00,0,0,,0,2,11,5.50,0
14,2017,2017-11-12,9,23.196,CLE,@,DET,L 24-38,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
15,2017,2017-11-26,11,23.210,CLE,@,CIN,L 16-30,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
