ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2008,2008-09-07,1,24.088,IND,,CHI,L 13-29,,,,,,,,,,,
2,2008,2008-09-14,2,24.095,IND,@,MIN,W 18-15,,,,,,,,,,,
3,2008,2008-09-21,3,24.102,IND,,JAX,L 21-23,,,,,,,,,,,
4,2008,2008-10-05,4,24.116,IND,@,HOU,W 31-27,,0,0,,0,0.0,0,1,0,0,0
5,2008,2008-10-12,5,24.123,IND,,BAL,W 31-3,,0,0,,0,0.0,1,1,0,0,0
6,2008,2008-10-19,6,24.130,IND,@,GNB,L 14-34,,,,,,,,,,,
7,2008,2008-10-27,7,24.138,IND,@,TEN,L 21-31,,,,,,,,,,,
8,2008,2008-11-02,8,24.144,IND,,NWE,W 18-15,,0,0,,0,0.0,0,0,0,0,0
9,2008,2008-11-16,10,24.158,IND,,HOU,W 33-27,,,,,,,,,,,
10,2008,2008-11-23,11,24.165,IND,@,SDG,W 23-20,,0,0,,0,0.0,0,0,0,0,0
11,2008,2008-11-30,12,24.172,IND,@,CLE,W 10-6,,0,0,,0,0.0,1,0,0,0,0
12,2008,2008-12-07,13,24.179,IND,,CIN,W 35-3,,0,0,,0,0.0,3,1,0,0,0
13,2008,2008-12-14,14,24.186,IND,,DET,W 31-21,,0,0,,0,0.0,0,0,0,0,0
14,2008,2008-12-18,15,24.190,IND,@,JAX,W 31-24,,0,0,,0,0.0,0,0,0,0,0
15,2008,2008-12-28,16,24.200,IND,,TEN,W 23-0,,0,0,,0,0.0,1,1,0,0,0
16,2009,2009-09-27,3,25.108,IND,@,ARI,W 31-10,,0,0,,0,0.0,4,2,0,0,0
17,2009,2009-10-04,4,25.115,IND,,SEA,W 34-17,,0,0,,0,0.0,0,1,0,0,0
18,2009,2009-11-29,11,25.171,CAR,@,NYJ,L 6-17,,0,0,,0,0.0,0,0,0,0,0
19,2009,2009-12-06,12,25.178,CAR,,TAM,W 16-6,,0,0,,0,0.0,0,0,0,0,0
20,2009,2009-12-13,13,25.185,CAR,@,NWE,L 10-20,,0,0,,0,0.0,0,0,0,0,0
21,2009,2009-12-20,14,25.192,CAR,,MIN,W 26-7,,0,0,,0,0.0,0,1,0,0,0
