ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1950,1950-09-17,1,24.186,RAM,,CHI,L 20-24,*,7,15,46.67,114,0,1,44.9,0,0,7.60,4.60,1,-7,-7.00,0,,,,
2,1950,1950-09-22,2,24.191,RAM,,NYY,W 45-28,,10,18,55.56,175,3,1,105.3,0,0,9.72,10.56,2,18,9.00,0,,,,
3,1950,1950-10-01,3,24.200,RAM,@,SFO,W 35-14,,6,10,60.00,101,0,0,94.2,0,0,10.10,10.10,2,4,2.00,0,,,,
4,1950,1950-10-07,4,24.206,RAM,@,PHI,L 20-56,,19,41,46.34,268,1,3,45.6,0,0,6.54,3.73,1,1,1.00,0,,,,
5,1950,1950-10-15,5,24.214,RAM,@,DET,W 30-28,*,18,36,50.00,293,2,2,73.0,0,0,8.14,6.75,1,2,2.00,0,,,,
6,1950,1950-10-22,6,24.221,RAM,,BAL,W 70-27,*,11,14,78.57,204,2,2,118.7,0,0,14.57,11.00,0,0,,0,,,,
7,1950,1950-10-29,7,24.228,RAM,,DET,W 65-24,*,13,17,76.47,293,5,0,157.5,0,0,17.24,23.12,2,1,0.50,1,,,,
8,1950,1950-11-05,8,24.235,RAM,,SFO,W 28-21,*,3,7,42.86,89,0,2,50.3,0,0,12.71,-0.14,1,0,0.00,0,,,,
9,1950,1950-11-12,9,24.242,RAM,@,GNB,W 45-14,*,1,11,9.09,28,1,1,32.0,0,0,2.55,0.27,2,-3,-1.50,0,,,,
10,1950,1950-11-19,10,24.249,RAM,@,NYY,W 43-35,,6,10,60.00,115,0,0,100.0,0,0,11.50,11.50,0,0,,0,,,,
11,1950,1950-11-26,11,24.256,RAM,@,CHI,L 14-24,,20,34,58.82,169,1,1,69.4,0,0,4.97,4.24,2,6,3.00,0,,,,
12,1950,1950-12-03,12,24.263,RAM,,GNB,W 51-14,,13,20,65.00,212,3,1,119.2,0,0,10.60,11.35,0,0,,0,,,,
13,1951,1951-09-28,1,25.197,RAM,,NYY,W 54-14,*,27,41,65.85,554,5,2,128.3,0,0,13.51,13.76,2,-3,-1.50,1,,,,
14,1951,1951-10-07,2,25.206,RAM,,CLE,L 23-38,*,6,17,35.29,129,2,2,62.7,0,0,7.59,4.65,1,4,4.00,0,,,,
15,1951,1951-10-14,3,25.213,RAM,@,DET,W 27-21,,4,9,44.44,74,1,1,70.8,0,0,8.22,5.44,0,0,,0,,,,
16,1951,1951-10-21,4,25.220,RAM,@,GNB,W 28-0,,4,12,33.33,89,1,0,88.5,0,0,7.42,9.08,0,0,,0,,,,
17,1951,1951-10-28,5,25.227,RAM,@,SFO,L 17-44,,13,30,43.33,167,1,5,32.9,0,0,5.57,-1.27,0,0,,0,,,,
18,1951,1951-11-04,6,25.234,RAM,,SFO,W 23-16,,1,2,50.00,14,0,0,72.9,0,0,7.00,7.00,1,4,4.00,0,,,,
19,1951,1951-11-11,7,25.241,RAM,,CRD,W 45-21,,8,16,50.00,165,1,1,81.5,0,0,10.31,8.75,1,-2,-2.00,0,,,,
20,1951,1951-11-18,8,25.248,RAM,,NYY,W 48-21,,7,12,58.33,129,1,0,123.3,0,0,10.75,12.42,1,-2,-2.00,0,,,,
21,1951,1951-11-25,9,25.255,RAM,@,WAS,L 21-31,,6,13,46.15,84,0,0,67.5,0,0,6.46,6.46,0,0,,0,,,,
22,1951,1951-12-02,10,25.262,RAM,@,CHI,W 42-17,,8,12,66.67,120,1,0,127.1,0,0,10.00,11.67,1,1,1.00,1,,,,
23,1951,1951-12-09,11,25.269,RAM,,DET,L 22-24,,11,21,52.38,148,0,0,75.1,0,0,7.05,7.05,0,0,,0,,,,
24,1951,1951-12-16,12,25.276,RAM,,GNB,W 42-14,,5,9,55.56,52,0,0,72.5,0,0,5.78,5.78,0,0,,0,,,,
25,1952,1952-09-28,1,26.197,RAM,@,CLE,L 7-37,,3,17,17.65,40,0,2,0.0,0,0,2.35,-2.94,0,0,,0,,,,
26,1952,1952-10-03,2,26.202,RAM,,DET,L 14-17,,9,18,50.00,143,1,2,55.8,0,0,7.94,4.06,3,-7,-2.33,0,,,,
27,1952,1952-10-12,3,26.211,RAM,@,GNB,W 30-28,*,8,14,57.14,69,0,2,30.7,0,0,4.93,-1.50,0,0,,0,,,,
28,1952,1952-10-19,4,26.218,RAM,@,DET,L 16-24,,12,18,66.67,148,1,3,70.8,0,0,8.22,1.83,0,0,,0,,,,
29,1952,1952-10-26,5,26.225,RAM,,CHI,W 31-7,,3,5,60.00,79,1,0,143.7,0,0,15.80,19.80,0,0,,0,,,,
30,1952,1952-11-02,6,26.232,RAM,,DTX,W 42-20,*,9,12,75.00,152,1,1,109.7,0,0,12.67,10.58,0,0,,0,,,,
31,1952,1952-11-09,7,26.239,RAM,@,DTX,W 27-6,,4,11,36.36,12,1,2,35.6,0,0,1.09,-5.27,1,-7,-7.00,0,,,,
32,1952,1952-11-16,8,26.246,RAM,@,CHI,W 40-24,*,11,20,55.00,308,4,0,139.6,0,0,15.40,19.40,1,6,6.00,0,,,,
33,1952,1952-11-23,9,26.253,RAM,,SFO,W 35-9,*,16,32,50.00,259,1,1,74.9,0,0,8.09,7.31,0,0,,0,,,,
34,1952,1952-11-30,10,26.260,RAM,@,SFO,W 34-21,*,12,18,66.67,100,1,1,76.2,0,0,5.56,4.17,0,0,,0,,,,
35,1952,1952-12-07,11,26.267,RAM,,GNB,W 45-27,*,9,12,75.00,137,0,1,77.4,0,0,11.42,7.67,2,-2,-1.00,0,,,,
36,1952,1952-12-14,12,26.274,RAM,,PIT,W 28-14,,17,28,60.71,289,3,2,101.6,0,0,10.32,9.25,0,0,,0,,,,
37,1953,1953-09-27,1,27.196,RAM,,NYG,W 21-7,*,13,27,48.15,204,2,2,67.5,0,0,7.56,5.70,0,0,,0,,,,
38,1953,1953-10-04,2,27.203,RAM,@,SFO,L 30-31,*,20,34,58.82,285,2,1,93.4,0,0,8.38,8.24,1,3,3.00,0,,,,
39,1953,1953-10-11,3,27.210,RAM,@,GNB,W 38-20,*,12,23,52.17,250,1,0,105.3,0,0,10.87,11.74,0,0,,0,,,,
40,1953,1953-10-18,4,27.217,RAM,@,DET,W 31-19,*,12,27,44.44,208,2,1,80.5,0,0,7.70,7.52,0,0,,0,,,,
41,1953,1953-10-25,5,27.224,RAM,,CHI,W 38-24,*,15,26,57.69,323,2,0,127.6,0,0,12.42,13.96,1,1,1.00,0,,,,
42,1953,1953-11-01,6,27.231,RAM,,DET,W 37-24,*,10,18,55.56,153,1,2,62.7,0,0,8.50,4.61,0,0,,0,,,,
43,1953,1953-11-08,7,27.238,RAM,,SFO,L 27-31,*,9,19,47.37,52,1,1,49.7,0,0,2.74,1.42,3,9,3.00,0,,,,
44,1953,1953-11-15,8,27.245,RAM,@,CRD,T 24-24,*,10,19,52.63,72,0,3,22.1,0,0,3.79,-3.32,0,0,,0,,,,
45,1953,1953-11-22,9,27.252,RAM,@,BAL,W 21-13,*,11,17,64.71,189,1,0,121.9,0,0,11.12,12.29,1,1,1.00,0,,,,
46,1953,1953-11-29,10,27.259,RAM,@,CHI,L 21-24,*,17,31,54.84,223,2,0,99.3,0,0,7.19,8.48,0,0,,0,,,,
47,1953,1953-12-05,11,27.265,RAM,,BAL,W 45-2,*,13,19,68.42,239,3,1,128.8,0,0,12.58,13.37,0,0,,0,,,,
48,1953,1953-12-12,12,27.272,RAM,,GNB,W 33-17,*,14,26,53.85,195,2,3,64.3,0,0,7.50,3.85,2,-3,-1.50,0,,,,
49,1954,1954-09-26,1,28.195,RAM,@,BAL,W 48-0,*,15,19,78.95,293,2,0,153.8,0,0,15.42,17.53,0,0,,0,,,,
50,1954,1954-10-03,2,28.202,RAM,,SFO,T 24-24,*,12,25,48.00,234,2,2,74.4,0,0,9.36,7.36,2,-1,-0.50,0,,,,
51,1954,1954-10-10,3,28.209,RAM,@,DET,L 3-21,*,16,37,43.24,256,0,4,27.4,0,0,6.92,2.05,3,-9,-3.00,0,,,,
52,1954,1954-10-17,4,28.216,RAM,@,GNB,L 17-35,*,10,19,52.63,298,1,1,93.6,0,0,15.68,14.37,0,0,,0,,,,
53,1954,1954-10-24,5,28.223,RAM,,CHI,W 42-38,*,16,24,66.67,250,1,1,97.6,0,0,10.42,9.38,0,0,,0,,,,
54,1954,1954-10-31,6,28.230,RAM,,DET,L 24-27,*,9,21,42.86,170,0,1,51.7,0,0,8.10,5.95,0,0,,0,,,,
55,1954,1954-11-07,7,28.237,RAM,@,SFO,W 42-34,*,16,18,88.89,290,3,1,135.2,0,0,16.11,16.94,0,0,,0,,,,
56,1954,1954-11-14,8,28.244,RAM,,CRD,W 28-17,*,3,13,23.08,27,0,1,7.5,0,0,2.08,-1.38,0,0,,0,,,,
57,1954,1954-11-21,9,28.251,RAM,@,NYG,W 17-16,*,13,27,48.15,242,1,1,76.5,0,0,8.96,8.04,0,0,,0,,,,
58,1954,1954-11-28,10,28.258,RAM,@,CHI,L 13-24,*,14,26,53.85,308,1,2,77.1,0,0,11.85,9.15,0,0,,0,,,,
59,1954,1954-12-04,11,28.264,RAM,,BAL,L 21-22,,10,23,43.48,125,1,6,35.9,0,0,5.43,-5.43,1,0,0.00,0,,,,
60,1954,1954-12-12,12,28.272,RAM,,GNB,W 35-27,*,5,8,62.50,144,1,1,106.2,0,0,18.00,14.88,0,0,,0,,,,
61,1955,1955-09-25,1,29.194,RAM,@,SFO,W 23-14,*,9,16,56.25,87,1,2,52.9,0,0,5.44,1.06,0,0,,0,,,,
62,1955,1955-10-02,2,29.201,RAM,,PIT,W 27-26,*,18,27,66.67,208,2,1,99.0,0,0,7.70,7.52,1,1,1.00,0,,,,
63,1955,1955-10-09,3,29.208,RAM,@,DET,W 17-10,*,12,23,52.17,129,1,2,47.2,0,0,5.61,2.57,2,3,1.50,0,,,,
64,1955,1955-10-16,4,29.215,RAM,@,GNB,L 28-30,*,3,14,21.43,34,0,3,0.0,0,0,2.43,-7.21,1,3,3.00,0,,,,
65,1955,1955-10-23,5,29.222,RAM,,DET,W 24-13,*,17,26,65.38,265,2,1,108.7,0,0,10.19,10.00,0,0,,0,,,,
66,1955,1955-10-30,6,29.229,RAM,,CHI,L 20-31,*,12,21,57.14,180,0,2,45.8,0,0,8.57,4.29,2,12,6.00,0,,,,
67,1955,1955-11-06,7,29.236,RAM,,SFO,W 27-14,*,10,30,33.33,138,0,1,35.1,0,0,4.60,3.10,2,2,1.00,0,,,,
68,1955,1955-11-13,8,29.243,RAM,@,CHI,L 3-24,*,9,23,39.13,91,0,1,33.1,0,0,3.96,2.00,0,0,,0,,,,
69,1955,1955-11-20,9,29.250,RAM,@,BAL,T 17-17,*,12,24,50.00,222,0,0,82.3,0,0,9.25,9.25,0,0,,0,,,,
70,1955,1955-11-27,10,29.257,RAM,@,PHI,W 23-21,*,17,28,60.71,243,2,0,112.6,0,0,8.68,10.11,0,0,,0,,,,
71,1955,1955-12-04,11,29.264,RAM,,BAL,W 20-14,*,13,21,61.90,145,0,1,62.6,0,0,6.90,4.76,3,3,1.00,0,,,,
72,1955,1955-12-11,12,29.271,RAM,,GNB,W 31-17,*,12,19,63.16,148,0,1,65.2,0,0,7.79,5.42,0,0,,0,,,,
73,1956,1956-09-30,1,30.199,RAM,,PHI,W 27-7,*,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,,,,
74,1956,1956-10-07,2,30.206,RAM,@,SFO,L 30-33,,7,13,53.85,91,1,1,69.7,0,0,7.00,5.08,0,0,,0,,,,
75,1956,1956-10-14,3,30.213,RAM,@,DET,L 21-24,*,2,6,33.33,13,0,2,2.8,0,0,2.17,-12.83,0,0,,0,,,,
76,1956,1956-10-28,5,30.227,RAM,,DET,L 7-16,,7,14,50.00,113,1,2,61.6,0,0,8.07,3.07,1,1,1.00,0,,,,
77,1956,1956-11-04,6,30.234,RAM,,CHI,L 24-35,*,11,27,40.74,137,0,4,17.6,0,0,5.07,-1.59,0,0,,0,,,,
78,1956,1956-11-25,9,30.255,RAM,@,BAL,L 21-56,,17,31,54.84,226,2,2,72.8,0,0,7.29,5.68,0,0,,0,,,,
79,1956,1956-12-09,11,30.269,RAM,,BAL,W 31-7,,7,10,70.00,97,0,0,100.8,0,0,9.70,9.70,1,1,1.00,1,,,,
80,1956,1956-12-16,12,30.276,RAM,,GNB,W 49-21,*,17,22,77.27,289,3,0,158.1,0,0,13.14,15.86,2,-1,-0.50,0,,,,
81,1957,1957-09-29,1,31.198,RAM,,PHI,W 17-13,*,8,20,40.00,93,0,1,34.0,0,0,4.65,2.40,2,1,0.50,1,,,,
82,1957,1957-10-06,2,31.205,RAM,@,SFO,L 20-23,*,12,20,60.00,217,1,1,93.1,0,0,10.85,9.60,1,-12,-12.00,0,,,,
83,1957,1957-10-13,3,31.212,RAM,@,DET,L 7-10,*,5,18,27.78,74,1,6,23.1,0,0,4.11,-9.78,0,0,,0,,,,
84,1957,1957-10-20,4,31.219,RAM,@,CHI,L 26-34,*,9,14,64.29,211,1,1,101.8,0,0,15.07,13.29,1,1,1.00,1,,,,
85,1957,1957-10-27,5,31.226,RAM,,DET,W 35-17,*,10,14,71.43,103,1,1,86.3,0,0,7.36,5.57,3,4,1.33,2,,,,
86,1957,1957-11-03,6,31.233,RAM,,CHI,L 10-16,*,9,26,34.62,86,0,2,12.7,0,0,3.31,-0.15,0,0,,0,,,,
