ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-19,2,23.031,NOR,,SFO,W 30-27,,,,,,,,,,
2,2004,2004-09-26,3,23.038,NOR,@,STL,W 28-25,*,,,,,,,,,
3,2004,2004-10-03,4,23.045,NOR,@,ARI,L 10-34,,,,,,,,,,
4,2004,2004-10-24,7,23.066,NOR,@,OAK,W 31-26,,,,,,,,,,
5,2004,2004-11-07,8,23.080,NOR,@,SDG,L 17-43,,,,,,,,,,
6,2004,2004-12-19,14,23.122,CIN,,BUF,L 17-33,,,,,,,,,,
7,2004,2004-12-26,15,23.129,CIN,,NYG,W 23-22,,,,,,,,,,
8,2004,2005-01-02,16,23.136,CIN,@,PHI,W 38-10,*,,,,,,,,,
9,2005,2005-09-11,1,24.023,CIN,@,CLE,W 27-13,,,,,,,,,,
10,2005,2005-09-18,2,24.030,CIN,,MIN,W 37-8,,,,,,,,,,
11,2005,2005-09-25,3,24.037,CIN,@,CHI,W 24-7,,,,,,,,,,
12,2005,2005-10-02,4,24.044,CIN,,HOU,W 16-10,,,,,,,,,,
13,2005,2005-10-09,5,24.051,CIN,@,JAX,L 20-23,,,,,,,,,,
14,2005,2005-10-16,6,24.058,CIN,@,TEN,W 31-23,,,,,,,,,,
15,2005,2005-11-06,9,24.079,CIN,@,BAL,W 21-9,,,,,,,,,,
16,2005,2005-11-27,11,24.100,CIN,,BAL,W 42-29,*,,,,,,,,,
17,2005,2005-12-04,12,24.107,CIN,@,PIT,W 38-31,*,,,,,,,,,
18,2005,2005-12-11,13,24.114,CIN,,CLE,W 23-20,*,,,,,,,,,
19,2005,2005-12-18,14,24.121,CIN,@,DET,W 41-17,,,,,,,,,,
20,2005,2005-12-24,15,24.127,CIN,,BUF,L 27-37,*,,,,,,,,,
21,2005,2006-01-01,16,24.135,CIN,@,KAN,L 3-37,*,,,,,,,,,
22,2006,2006-09-10,1,25.022,CIN,@,KAN,W 23-10,,,,,,,,,,
23,2006,2006-09-17,2,25.029,CIN,,CLE,W 34-17,,,,,,,,,,
24,2006,2006-09-24,3,25.036,CIN,@,PIT,W 28-20,,,,,,,,,,
25,2006,2006-10-01,4,25.043,CIN,,NWE,L 13-38,,,,,,,,,,
26,2006,2006-10-15,5,25.057,CIN,@,TAM,L 13-14,,,,,,,,,,
27,2006,2006-10-22,6,25.064,CIN,,CAR,W 17-14,,,,,,,,,,
28,2006,2006-10-29,7,25.071,CIN,,ATL,L 27-29,,,,,,,,,,
29,2006,2006-11-05,8,25.078,CIN,@,BAL,L 20-26,,,,,,,,,,
30,2006,2006-11-12,9,25.085,CIN,,SDG,L 41-49,,,,,,,,,,
31,2006,2006-11-19,10,25.092,CIN,@,NOR,W 31-16,,,,,,,,,,
32,2006,2006-11-26,11,25.099,CIN,@,CLE,W 30-0,,,,,,,,,,
33,2006,2006-11-30,12,25.103,CIN,,BAL,W 13-7,,,,,,,,,,
34,2006,2006-12-10,13,25.113,CIN,,OAK,W 27-10,,,,,,,,,,
35,2007,2007-09-09,1,26.021,CLE,,PIT,L 7-34,,,,,,,,,,
36,2007,2007-09-16,2,26.028,CLE,,CIN,W 51-45,,,,,,,,,,
37,2007,2007-09-23,3,26.035,CLE,@,OAK,L 24-26,,,,,,,,,,
38,2007,2007-09-30,4,26.042,CLE,,BAL,W 27-13,*,,,,,,,,,
39,2007,2007-10-07,5,26.049,CLE,@,NWE,L 17-34,,,,,,,,,,
40,2007,2007-10-14,6,26.056,CLE,,MIA,W 41-31,*,,,,,,,,,
41,2007,2007-10-28,7,26.070,CLE,@,STL,W 27-20,*,,,,,,,,,
42,2007,2007-11-04,8,26.077,CLE,,SEA,W 33-30,*,,,,,,,,,
43,2007,2007-11-11,9,26.084,CLE,@,PIT,L 28-31,*,0,0,,0,0,0,1.0,,
44,2007,2007-11-25,11,26.098,CLE,,HOU,W 27-17,*,0,0,,0,0,0,1.0,,
45,2007,2007-12-02,12,26.105,CLE,@,ARI,L 21-27,*,,,,,,,,,
46,2007,2007-12-09,13,26.112,CLE,@,NYJ,W 24-18,*,,,,,,,,,
47,2007,2007-12-16,14,26.119,CLE,,BUF,W 8-0,*,,,,,,,,,
48,2007,2007-12-23,15,26.126,CLE,@,CIN,L 14-19,*,,,,,,,,,
49,2007,2007-12-30,16,26.133,CLE,,SFO,W 20-7,*,,,,,,,,,
50,2008,2008-09-07,1,27.019,CLE,,DAL,L 10-28,,0,0,,0,0,0,0.0,0,1
51,2008,2008-09-14,2,27.026,CLE,,PIT,L 6-10,,0,0,,0,0,0,0.0,5,0
52,2008,2008-09-21,3,27.033,CLE,@,BAL,L 10-28,*,0,0,,0,0,0,0.0,2,1
53,2008,2008-09-28,4,27.040,CLE,@,CIN,W 20-12,*,,,,,,,,,
54,2008,2008-11-02,8,27.075,CLE,,BAL,L 27-37,*,0,0,,0,0,0,0.0,1,0
55,2008,2008-11-06,9,27.079,CLE,,DEN,L 30-34,*,0,0,,0,0,0,0.0,1,0
56,2008,2008-11-17,10,27.090,CLE,@,BUF,W 29-27,*,0,0,,0,0,0,0.0,5,1
57,2008,2008-11-30,12,27.103,CLE,,IND,L 6-10,*,0,0,,0,0,0,0.0,4,0
