ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1987,1987-09-13,1,22.019,BUF,,NYJ,L 28-31,,,,,,,,,,
2,1987,1987-09-20,2,22.026,BUF,,HOU,W 34-30,,,,,,,,,,
3,1987,1987-10-25,6,22.061,BUF,@,MIA,W 34-31,,,,,,,,,,
4,1987,1987-11-01,7,22.068,BUF,,WAS,L 7-27,,,,,,,,,,
5,1987,1987-11-08,8,22.075,BUF,,DEN,W 21-14,,,,,,,,,,
6,1987,1987-11-15,9,22.082,BUF,@,CLE,L 21-27,,,,,,,,,,
7,1987,1987-11-22,10,22.089,BUF,@,NYJ,W 17-14,,,,,,,,,,
8,1987,1987-11-29,11,22.096,BUF,,MIA,W 27-0,,,,,,,,,,
9,1987,1987-12-06,12,22.103,BUF,@,RAI,L 21-34,,,,,,,,,,
10,1987,1987-12-13,13,22.110,BUF,@,IND,W 27-3,,,,,,,,,,
11,1987,1987-12-20,14,22.117,BUF,,NWE,L 7-13,,,,,,,,,,
12,1987,1987-12-27,15,22.124,BUF,@,PHI,L 7-17,,,,,,,,,,
13,1988,1988-09-04,1,23.010,BUF,,MIN,W 13-10,,,,,,,,,,
14,1988,1988-09-11,2,23.017,BUF,,MIA,W 9-6,,,,,,,,,,
15,1988,1988-09-18,3,23.024,BUF,@,NWE,W 16-14,0,0,,0,0,0,0.0,1,0,0
16,1988,1988-09-25,4,23.031,BUF,,PIT,W 36-28,,,,,,,,,,
17,1988,1988-10-02,5,23.038,BUF,@,CHI,L 3-24,,,,,,,,,,
18,1988,1988-10-09,6,23.045,BUF,,IND,W 34-23,,,,,,,,,,
19,1988,1988-10-17,7,23.053,BUF,@,NYJ,W 37-14,,,,,,,,,,
20,1988,1988-10-23,8,23.059,BUF,,NWE,W 23-20,,,,,,,,,,
21,1988,1988-10-30,9,23.066,BUF,,GNB,W 28-0,,,,,,,,,,
22,1988,1988-11-06,10,23.073,BUF,@,SEA,W 13-3,,,,,,,,,,
23,1988,1988-11-14,11,23.081,BUF,@,MIA,W 31-6,,,,,,,,,,
24,1988,1988-11-20,12,23.087,BUF,,NYJ,W 9-6,,,,,,,,,,
25,1988,1988-11-27,13,23.094,BUF,@,CIN,L 21-35,,,,,,,,,,
26,1988,1988-12-04,14,23.101,BUF,@,TAM,L 5-10,,,,,,,,,,
27,1988,1988-12-11,15,23.108,BUF,,RAI,W 37-21,,,,,,,,,,
28,1988,1988-12-18,16,23.115,BUF,@,IND,L 14-17,,,,,,,,,,
29,1989,1989-09-10,1,24.016,BUF,@,MIA,W 27-24,0,0,,0,0,0,0.0,2,7,0
30,1989,1989-09-18,2,24.024,BUF,,DEN,L 14-28,0,0,,0,0,0,0.0,1,0,0
31,1989,1989-09-24,3,24.030,BUF,@,HOU,W 47-41,,,,,,,,,,
32,1989,1989-10-01,4,24.037,BUF,,NWE,W 31-10,0,0,,0,0,0,1.0,0,0,0
33,1989,1989-10-08,5,24.044,BUF,@,IND,L 14-37,,,,,,,,,,
34,1989,1989-10-16,6,24.052,BUF,,RAM,W 23-20,,,,,,,,,,
35,1989,1989-10-22,7,24.058,BUF,,NYJ,W 34-3,,,,,,,,,,
36,1989,1989-10-29,8,24.065,BUF,,MIA,W 31-17,,,,,,,,,,
37,1989,1989-11-05,9,24.072,BUF,@,ATL,L 28-30,,,,,,,,,,
38,1989,1989-11-12,10,24.079,BUF,,IND,W 30-7,,,,,,,,,,
39,1989,1989-11-19,11,24.086,BUF,@,NWE,L 24-33,,,,,,,,,,
40,1989,1989-11-26,12,24.093,BUF,,CIN,W 24-7,,,,,,,,,,
41,1989,1989-12-04,13,24.101,BUF,@,SEA,L 16-17,0,0,,0,0,0,0.0,1,0,0
42,1989,1989-12-10,14,24.107,BUF,,NOR,L 19-22,0,0,,0,0,0,0.0,1,13,0
43,1989,1989-12-17,15,24.114,BUF,@,SFO,L 10-21,,,,,,,,,,
44,1989,1989-12-23,16,24.120,BUF,@,NYJ,W 37-0,,,,,,,,,,
45,1990,1990-09-09,1,25.015,BUF,,IND,W 26-10,0,0,,0,,,,,,
46,1990,1990-09-16,2,25.022,BUF,@,MIA,L 7-30,0,0,,0,,,,,,
47,1990,1990-09-24,3,25.030,BUF,@,NYJ,W 30-7,0,0,,0,,,,,,
48,1990,1990-09-30,4,25.036,BUF,,DEN,W 29-28,0,0,,0,,,,,,
49,1990,1990-10-07,5,25.043,BUF,,RAI,W 38-24,0,0,,0,,,,,,
50,1990,1990-10-21,6,25.057,BUF,,NYJ,W 30-27,0,0,,0,,,,,,
51,1990,1990-10-28,7,25.064,BUF,@,NWE,W 27-10,0,0,,0,0,0,0.0,1,0,0
52,1990,1990-11-04,8,25.071,BUF,@,CLE,W 42-0,1,9,9.00,0,0,0,0.0,0,0,0
53,1990,1990-11-11,9,25.078,BUF,,PHO,W 45-14,0,0,,0,,,,,,
54,1990,1990-11-18,10,25.085,BUF,,NWE,W 14-0,0,0,,0,,,,,,
55,1990,1990-11-26,11,25.093,BUF,@,HOU,L 24-27,0,0,,0,,,,,,
56,1990,1990-12-02,12,25.099,BUF,,PHI,W 30-23,0,0,,0,,,,,,
57,1990,1990-12-09,13,25.106,BUF,@,IND,W 31-7,0,0,,0,,,,,,
58,1990,1990-12-15,14,25.112,BUF,@,NYG,W 17-13,0,0,,0,,,,,,
59,1990,1990-12-23,15,25.120,BUF,,MIA,W 24-14,0,0,,0,,,,,,
60,1990,1990-12-30,16,25.127,BUF,@,WAS,L 14-29,0,0,,0,,,,,,
61,1991,1991-09-01,1,26.007,BUF,,MIA,W 35-31,0,0,,0,,,,,,
62,1991,1991-09-08,2,26.014,BUF,,PIT,W 52-34,0,0,,0,1,6,0.0,1,32,1
63,1991,1991-09-15,3,26.021,BUF,@,NYJ,W 23-20,0,0,,0,,,,,,
64,1991,1991-09-22,4,26.028,BUF,@,TAM,W 17-10,1,9,9.00,0,0,0,0.0,1,17,0
65,1991,1991-09-29,5,26.035,BUF,,CHI,W 35-20,0,0,,0,,,,,,
66,1991,1991-10-07,6,26.043,BUF,@,KAN,L 6-33,0,0,,0,,,,,,
67,1991,1991-10-13,7,26.049,BUF,,IND,W 42-6,0,0,,0,0,0,0.0,1,15,0
68,1991,1991-10-21,8,26.057,BUF,,CIN,W 35-16,0,0,,0,0,0,1.0,0,0,0
69,1991,1991-11-03,9,26.070,BUF,,NWE,W 22-17,0,0,,0,,,,,,
70,1991,1991-11-10,10,26.077,BUF,@,GNB,W 34-24,0,0,,0,,,,,,
71,1991,1991-11-18,11,26.085,BUF,@,MIA,W 41-27,0,0,,0,,,,,,
72,1991,1991-11-24,12,26.091,BUF,@,NWE,L 13-16,0,0,,0,,,,,,
73,1991,1991-12-01,13,26.098,BUF,,NYJ,W 24-13,0,0,,0,,,,,,
74,1991,1991-12-08,14,26.105,BUF,@,RAI,W 30-27,0,0,,0,0,0,0.0,1,48,0
75,1991,1991-12-15,15,26.112,BUF,@,IND,W 35-7,0,0,,0,0,0,0.0,1,8,0
76,1991,1991-12-22,16,26.119,BUF,,DET,L 14-17,0,0,,0,,,,,,
77,1992,1992-09-06,1,27.012,BUF,,RAM,W 40-7,0,0,,0,0,0,0.0,2,10,0
78,1992,1992-09-13,2,27.019,BUF,@,SFO,W 34-31,0,0,,0,0,0,0.0,1,0,0
79,1992,1992-09-20,3,27.026,BUF,,IND,W 38-0,,,,,,,,,,
80,1992,1992-09-27,4,27.033,BUF,@,NWE,W 41-7,,,,,,,,,,
81,1992,1992-10-04,5,27.040,BUF,,MIA,L 10-37,,,,,,,,,,
82,1992,1992-10-11,6,27.047,BUF,@,RAI,L 3-20,,,,,,,,,,
83,1992,1992-10-26,7,27.062,BUF,@,NYJ,W 24-20,0,0,,0,0,0,0.0,1,9,0
84,1992,1992-11-01,8,27.068,BUF,,NWE,W 16-7,,,,,,,,,,
85,1992,1992-11-08,9,27.075,BUF,,PIT,W 28-20,,,,,,,,,,
86,1992,1992-11-16,10,27.083,BUF,@,MIA,W 26-20,,,,,,,,,,
87,1992,1992-11-22,11,27.089,BUF,,ATL,W 41-14,,,,,,,,,,
88,1992,1992-11-29,12,27.096,BUF,@,IND,L 13-16,0,0,,0,0,0,1.0,0,0,0
89,1992,1992-12-06,13,27.103,BUF,,NYJ,L 17-24,,,,,,,,,,
90,1992,1992-12-12,14,27.109,BUF,,DEN,W 27-17,,,,,,,,,,
91,1992,1992-12-20,15,27.117,BUF,@,NOR,W 20-16,0,0,,0,0,0,0.0,1,0,0
92,1992,1992-12-27,16,27.124,BUF,@,HOU,L 3-27,,,,,,,,,,
93,1993,1993-09-05,1,28.011,BUF,,NWE,W 38-14,,,,,,,,,,
94,1993,1993-09-12,2,28.018,BUF,@,DAL,W 13-10,0,0,,0,0,0,0.0,1,0,0
95,1993,1993-09-26,3,28.032,BUF,,MIA,L 13-22,,,,,,,,,,
96,1993,1993-10-03,4,28.039,BUF,,NYG,W 17-14,0,0,,0,0,0,0.0,1,0,0
97,1993,1993-10-11,5,28.047,BUF,,HOU,W 35-7,0,0,,0,0,0,0.0,1,18,0
98,1993,1993-10-24,6,28.060,BUF,@,NYJ,W 19-10,,,,,,,,,,
99,1993,1993-11-01,7,28.068,BUF,,WAS,W 24-10,0,0,,0,0,0,0.0,2,3,0
100,1993,1993-11-07,8,28.074,BUF,@,NWE,W 13-10,0,0,,0,0,0,0.0,1,25,0
101,1993,1993-11-15,9,28.082,BUF,@,PIT,L 0-23,,,,,,,,,,
102,1993,1993-11-21,10,28.088,BUF,,IND,W 23-9,0,0,,0,0,0,0.0,1,0,0
103,1993,1993-11-28,11,28.095,BUF,@,KAN,L 7-23,0,0,,0,0,0,0.0,1,0,0
104,1993,1993-12-05,12,28.102,BUF,,RAI,L 24-25,,,,,,,,,,
105,1993,1993-12-12,13,28.109,BUF,@,PHI,W 10-7,,,,,,,,,,
106,1993,1993-12-19,14,28.116,BUF,@,MIA,W 47-34,0,0,,0,0,0,0.0,1,19,0
107,1993,1993-12-26,15,28.123,BUF,,NYJ,W 16-14,,,,,,,,,,
108,1993,1994-01-02,16,28.130,BUF,@,IND,W 30-10,,,,,,,,,,
109,1996,1996-11-03,9,31.070,ATL,,CAR,W 20-17,,,,,,,,,,
110,1996,1996-11-10,10,31.077,ATL,@,STL,L 16-59,,,,,,,,,,
111,1996,1996-11-17,11,31.084,ATL,,NOR,W 17-15,,,,,,,,,,
112,1996,1996-12-02,13,31.099,ATL,,SFO,L 10-34,,,,,,,,,,
113,1996,1996-12-08,14,31.105,ATL,@,NOR,W 31-15,,,,,,,,,,
114,1996,1996-12-15,15,31.112,ATL,,STL,L 27-34,,,,,,,,,,
115,1996,1996-12-22,16,31.119,ATL,@,JAX,L 17-19,,,,,,,,,,
