ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1991,1991-09-01,1,22.231,HOU,,RAI,W 47-17,,,,,,,,0,0,,0
2,1991,1991-09-08,2,22.238,HOU,@,CIN,W 30-7,,,,,,,,0,0,,0
3,1991,1991-09-16,3,22.246,HOU,,KAN,W 17-7,,,,,,,,0,0,,0
4,1991,1991-09-22,4,22.252,HOU,@,NWE,L 20-24,,,,,,,,0,0,,0
5,1991,1991-10-06,5,22.266,HOU,,DEN,W 42-14,,,,,,,,0,0,,0
6,1991,1991-10-13,6,22.273,HOU,@,NYJ,W 23-20,,,,,,,,0,0,,0
7,1991,1991-10-20,7,22.280,HOU,@,MIA,W 17-13,,,,,,,,0,0,,0
8,1991,1991-10-27,8,22.287,HOU,,CIN,W 35-3,,0,0,,0,,,1,0,0.00,0
9,1991,1991-11-03,9,22.294,HOU,@,WAS,L 13-16,,,,,,,,0,0,,0
10,1991,1991-11-10,10,22.301,HOU,,DAL,W 26-23,,,,,,,,0,0,,0
11,1991,1991-11-17,11,22.308,HOU,,CLE,W 28-24,,,,,,,,0,0,,0
12,1991,1991-11-24,12,22.315,HOU,@,PIT,L 14-26,,,,,,,,0,0,,0
13,1991,1991-12-02,13,22.323,HOU,,PHI,L 6-13,,,,,,,,0,0,,0
14,1991,1991-12-08,14,22.329,HOU,,PIT,W 31-6,,,,,,,,0,0,,0
15,1991,1991-12-15,15,22.336,HOU,@,CLE,W 17-14,,,,,,,,0,0,,0
16,1991,1991-12-21,16,22.342,HOU,@,NYG,L 20-24,,,,,,,,0,0,,0
17,1992,1992-09-06,1,23.237,HOU,,PIT,L 24-29,,,,,,0.0%,,0,0,,0
18,1992,1992-09-13,2,23.244,HOU,@,IND,W 20-10,,,,,,0.0%,,0,0,,0
19,1992,1992-09-20,3,23.251,HOU,,KAN,W 23-20,,,,,,0.0%,,0,0,,0
20,1992,1992-09-27,4,23.258,HOU,,SDG,W 27-0,,,,,,0.0%,,0,0,,0
21,1992,1992-10-11,5,23.272,HOU,@,CIN,W 38-24,,,,,,0.0%,,0,0,,0
22,1992,1992-10-18,6,23.279,HOU,@,DEN,L 21-27,,,,,,0.0%,,0,0,,0
23,1992,1992-10-25,7,23.286,HOU,,CIN,W 26-10,,,,,,0.0%,,0,0,,0
24,1992,1992-11-01,8,23.293,HOU,@,PIT,L 20-21,,,,,,0.0%,,0,0,,0
25,1992,1992-11-08,9,23.300,HOU,,CLE,L 14-24,,0,0,,0,0.0%,,1,12,12.00,0
26,1992,1992-11-22,11,23.314,HOU,@,MIA,L 16-19,,,,,,0.0%,,0,0,,0
27,1992,1992-11-26,12,23.318,HOU,@,DET,W 24-21,,,,,,0.0%,,0,0,,0
28,1992,1992-12-07,13,23.329,HOU,,CHI,W 24-7,,,,,,0.0%,,0,0,,0
29,1992,1992-12-13,14,23.335,HOU,,GNB,L 14-16,,,,,,0.0%,,0,0,,0
30,1992,1992-12-20,15,23.342,HOU,@,CLE,W 17-14,,,,,,0.0%,,0,0,,0
31,1992,1992-12-27,16,23.349,HOU,,BUF,W 27-3,,,,,,0.0%,,0,0,,0
32,1994,1994-09-04,1,25.234,HOU,@,IND,L 21-45,,,,,,0.0%,,,,,
33,1994,1994-09-11,2,25.241,HOU,@,DAL,L 17-20,,,,,,0.0%,,,,,
34,1994,1994-09-18,3,25.248,HOU,,BUF,L 7-15,,,,,,0.0%,,,,,
35,1994,1994-09-25,4,25.255,HOU,,CIN,W 20-13,,,,,,0.0%,,,,,
36,1994,1994-10-03,5,25.263,HOU,@,PIT,L 14-30,,,,,,0.0%,,,,,
37,1994,1994-10-13,6,25.273,HOU,,CLE,L 8-11,,,,,,0.0%,,,,,
38,1994,1994-10-24,7,25.284,HOU,@,PHI,L 6-21,,,,,,0.0%,,,,,
39,1994,1994-10-30,8,25.290,HOU,@,RAI,L 14-17,,,,,,0.0%,,,,,
40,1994,1994-11-06,9,25.297,HOU,,PIT,L 9-12,,,,,,0.0%,,,,,
41,1994,1994-11-13,10,25.304,HOU,@,CIN,L 31-34,,,,,,0.0%,,,,,
42,1994,1994-11-21,11,25.312,HOU,,NYG,L 10-13,,,,,,0.0%,,,,,
43,1994,1994-11-27,12,25.318,HOU,@,CLE,L 10-34,,,,,,0.0%,,,,,
44,1994,1994-12-04,13,25.325,HOU,,ARI,L 12-30,,,,,,0.0%,,,,,
45,1994,1994-12-11,14,25.332,HOU,,SEA,L 14-16,,,,,,0.0%,,,,,
46,1994,1994-12-18,15,25.339,HOU,@,KAN,L 9-31,,,,,,0.0%,,,,,
47,1994,1994-12-24,16,25.345,HOU,,NYJ,W 24-10,,,,,,0.0%,,,,,
48,1996,1996-12-22,16,27.344,DAL,@,WAS,L 10-37,,,,,,0.0%,,,,,
49,1997,1997-08-31,1,28.230,DAL,@,PIT,W 37-7,,,,,,0.0%,,,,,
50,1997,1997-09-07,2,28.237,DAL,@,ARI,L 22-25,,,,,,0.0%,,,,,
51,1997,1997-09-15,3,28.245,DAL,,PHI,W 21-20,,,,,,0.0%,,,,,
52,1997,1997-09-28,4,28.258,DAL,,CHI,W 27-3,,,,,,0.0%,,,,,
53,1997,1997-10-05,5,28.265,DAL,@,NYG,L 17-20,,,,,,0.0%,,,,,
54,1997,1997-10-13,6,28.273,DAL,@,WAS,L 16-21,,,,,,0.0%,,,,,
55,1997,1997-10-19,7,28.279,DAL,,JAX,W 26-22,,,,,,0.0%,,,,,
56,1997,1997-10-26,8,28.286,DAL,@,PHI,L 12-13,,,,,,0.0%,,,,,
57,1997,1997-11-02,9,28.293,DAL,@,SFO,L 10-17,,,,,,0.0%,,,,,
58,1997,1997-11-09,10,28.300,DAL,,ARI,W 24-6,,,,,,0.0%,,,,,
59,1997,1997-11-16,11,28.307,DAL,,WAS,W 17-14,,,,,,0.0%,,,,,
60,1997,1997-11-23,12,28.314,DAL,@,GNB,L 17-45,,,,,,0.0%,,,,,
61,1997,1997-11-27,13,28.318,DAL,,TEN,L 14-27,,,,,,0.0%,,,,,
62,1997,1997-12-08,14,28.329,DAL,,CAR,L 13-23,,,,,,0.0%,,,,,
63,1997,1997-12-14,15,28.335,DAL,@,CIN,L 24-31,,,,,,0.0%,,,,,
64,1997,1997-12-21,16,28.342,DAL,,NYG,L 7-20,,,,,,0.0%,,,,,
65,1998,1998-09-06,1,29.236,STL,,NOR,L 17-24,,,,,,0.0%,,,,,
66,1998,1998-09-13,2,29.243,STL,,MIN,L 31-38,,,,,,0.0%,,,,,
67,1998,1998-09-20,3,29.250,STL,@,BUF,W 34-33,,,,,,0.0%,,,,,
68,1998,1998-09-27,4,29.257,STL,,ARI,L 17-20,,,,,,0.0%,,,,,
69,1998,1998-10-11,5,29.271,STL,,NYJ,W 30-10,,,,,,0.0%,,,,,
70,1998,1998-10-18,6,29.278,STL,@,MIA,L 0-14,1,1,2,2.00,0,100.0%,2.00,0,0,,0
71,1998,1998-10-25,7,29.285,STL,,SFO,L 10-28,,,,,,0.0%,,,,,
72,1998,1998-11-01,8,29.292,STL,@,ATL,L 15-37,,,,,,0.0%,,,,,
73,1998,1998-11-08,9,29.299,STL,@,CHI,W 20-12,,,,,,0.0%,,,,,
74,1998,1998-11-15,10,29.306,STL,@,NOR,L 3-24,,,,,,0.0%,,,,,
75,1998,1998-11-22,11,29.313,STL,,CAR,L 20-24,,,,,,0.0%,,,,,
76,1998,1998-11-29,12,29.320,STL,,ATL,L 10-21,,,,,,0.0%,,,,,
77,1998,1998-12-03,13,29.324,STL,@,PHI,L 14-17,,,,,,0.0%,,,,,
78,1998,1998-12-13,14,29.334,STL,,NWE,W 32-18,,,,,,0.0%,,,,,
79,1998,1998-12-20,15,29.341,STL,@,CAR,L 13-20,,,,,,0.0%,,,,,
80,1998,1998-12-27,16,29.348,STL,@,SFO,L 19-38,,,,,,0.0%,,,,,
