ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1965,1965-09-19,1,21.243,DAL,,NYG,W 31-2,7,14,2.00,1,0,0,,0,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,0,0,,0,0,0,,0,,,,,,,1,6
2,1965,1965-10-04,3,21.258,DAL,@,STL,L 13-20,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
3,1965,1965-10-17,5,21.271,DAL,@,CLE,L 17-23,3,12,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
4,1965,1965-10-24,6,21.278,DAL,@,GNB,L 3-13,4,26,6.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,45,22.50,0,0,0,,0,,,,,,,0,0
5,1965,1965-10-31,7,21.285,DAL,@,PIT,L 13-22,8,28,3.50,0,2,54,27.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
6,1965,1965-11-07,8,21.292,DAL,,SFO,W 39-31,2,2,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
7,1965,1965-11-14,9,21.299,DAL,,PIT,W 24-17,6,10,1.67,1,3,73,24.33,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,,,,,,1,6
8,1965,1965-12-11,13,21.326,DAL,,STL,W 27-13,1,5,5.00,0,4,83,20.75,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
9,1965,1965-12-19,14,21.334,DAL,@,NYG,W 38-20,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
10,1966,1966-09-18,1,22.242,DAL,,NYG,W 52-7,6,38,6.33,0,6,120,20.00,3,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,18,18.00,0,1,14,14.00,0,,,,,,,3,18
11,1966,1966-09-25,2,22.249,DAL,,MIN,W 28-17,13,81,6.23,1,1,23,23.00,0,1,1,100.00,29,0,0,118.7,0,0,29.00,29.00,1,21,21.00,0,0,0,,0,,,,,,,1,6
12,1966,1966-10-02,3,22.256,DAL,@,ATL,W 47-14,10,55,5.50,1,1,11,11.00,1,0,0,,0,0,0,,0,0,,,1,17,17.00,0,1,-15,-15.00,0,,,,,,,2,12
13,1966,1966-10-09,4,22.263,DAL,,PHI,W 56-7,9,33,3.67,1,4,98,24.50,1,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0,,0,,,,,,,2,12
