ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1964,1964-09-20,2,24.224,WAS,@,DAL,L 18-24,1,18,18.00,0,0,0,,0,0,0,,0
2,1964,1964-10-25,7,24.259,WAS,,CHI,W 27-20,0,0,,0,0,0,,0,1,38,38.00,0
3,1964,1964-11-15,10,24.280,WAS,@,PIT,W 30-0,0,0,,0,0,0,,0,1,11,11.00,0
4,1964,1964-11-22,11,24.287,WAS,,DAL,W 28-16,0,0,,0,0,0,,0,1,0,0.00,0
5,1964,1964-11-29,12,24.294,WAS,,NYG,W 36-21,0,0,,0,0,0,,0,2,0,0.00,0
6,1964,1964-12-13,14,24.308,WAS,@,BAL,L 17-45,0,0,,0,1,19,19.00,0,0,0,,0
