ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2003,2003-09-21,3,23.306,KAN,@,HOU,W 42-14,,6,25,4.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,0.0,,
2,2003,2003-11-09,9,23.355,KAN,,CLE,W 41-20,,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,0.0,,
3,2003,2003-11-30,12,24.011,KAN,@,SDG,W 28-24,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,0.0,,
4,2003,2003-12-07,13,24.018,KAN,@,DEN,L 27-45,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
5,2003,2003-12-14,14,24.025,KAN,,DET,W 45-17,,4,26,6.50,0,3,1,2,2.00,0,33.3%,0.67,0,0,,0,0,0,,,,,,0,0,0.0,,
6,2003,2003-12-28,16,24.039,KAN,,CHI,W 31-3,,7,26,3.71,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,6,0.0,,
7,2004,2004-09-12,1,24.298,KAN,@,DEN,L 24-34,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
8,2004,2004-10-04,4,24.320,KAN,@,BAL,W 27-24,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
9,2004,2004-10-31,7,24.347,KAN,,IND,W 45-35,,1,19,19.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,0.0,,
10,2004,2004-11-07,8,24.354,KAN,@,TAM,L 31-34,,10,21,2.10,0,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0,,,,,,0,0,0.0,,
11,2004,2004-11-28,11,25.009,KAN,,SDG,L 31-34,,10,43,4.30,1,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,,,,,1,6,0.0,,
12,2004,2004-12-05,12,25.016,KAN,@,OAK,W 34-27,,20,118,5.90,1,4,3,56,18.67,1,75.0%,14.00,0,0,,0,0,0,,,,,,2,12,0.0,,
13,2004,2004-12-13,13,25.024,KAN,@,TEN,W 49-38,,7,104,14.86,2,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,,,,,2,12,0.0,,
