ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2001,2001-09-09,1,25.109,ATL,@,SFO,L 13-16,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,,
2,2001,2001-09-23,2,25.123,ATL,,CAR,W 24-16,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,,
3,2001,2001-09-30,3,25.130,ATL,@,ARI,W 34-14,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,2,2,100.0,0,10,0.0,,
4,2001,2001-10-07,4,25.137,ATL,,CHI,L 3-31,,0,0,,0,0,0,0,,0,0.0%,,,,,1,2,50.0,0,3,0.0,,
5,2001,2001-10-14,5,25.144,ATL,,SFO,L 31-37,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,3,3,100.0,0,11,0.0,,
6,2001,2001-10-21,6,25.151,ATL,@,NOR,W 20-13,,0,0,,0,1,1,-2,-2.00,0,100.0%,-2.00,2,2,100.0,2,2,100.0,0,8,0.0,,
7,2001,2001-11-04,7,25.165,ATL,,NWE,L 10-24,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,3,33.3,0,4,0.0,,
8,2001,2001-11-11,8,25.172,ATL,,DAL,W 20-13,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,3,66.7,0,8,0.0,,
9,2001,2001-11-18,9,25.179,ATL,@,GNB,W 23-20,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,3,3,100.0,0,11,0.0,,
10,2001,2001-11-25,10,25.186,ATL,@,CAR,W 10-7,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,1,100.0,0,4,0.0,,
11,2001,2001-12-02,11,25.193,ATL,,STL,L 6-35,,0,0,,0,0,0,0,,0,0.0%,,,,,2,4,50.0,0,6,0.0,,
12,2001,2001-12-09,12,25.200,ATL,,NOR,L 10-28,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,2,50.0,0,4,0.0,,
13,2001,2001-12-16,13,25.207,ATL,@,IND,L 27-41,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,,
14,2001,2001-12-23,14,25.214,ATL,,BUF,W 33-30,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,4,4,100.0,0,15,0.0,,
15,2001,2001-12-30,15,25.221,ATL,@,MIA,L 14-21,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,,1,0.0,0,2,0.0,,
16,2001,2002-01-06,16,25.228,ATL,@,STL,L 13-31,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,,
17,2002,2002-09-08,1,26.108,ATL,@,GNB,L 34-37,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,2,2,100.0,0,10,0.0,,
18,2002,2002-09-15,2,26.115,ATL,,CHI,L 13-14,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,4,50.0,0,7,0.0,,
19,2002,2002-09-22,3,26.122,ATL,,CIN,W 30-3,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,3,3,100.0,0,12,0.0,,
20,2002,2002-10-06,4,26.136,ATL,,TAM,L 6-20,,0,0,,0,0,0,0,,0,0.0%,,,,,2,3,66.7,0,6,0.0,,
21,2002,2002-10-13,5,26.143,ATL,@,NYG,W 17-10,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,1,100.0,0,5,0.0,,
22,2002,2002-10-20,6,26.150,ATL,,CAR,W 30-0,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,3,3,100.0,0,12,0.0,,
23,2002,2002-10-27,7,26.157,ATL,@,NOR,W 37-35,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,3,3,100.0,0,13,0.0,,
24,2002,2002-11-03,8,26.164,ATL,,BAL,W 20-17,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,2,100.0,0,8,0.0,,
25,2002,2002-11-10,9,26.171,ATL,@,PIT,T 34-34,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,2,3,66.7,0,10,0.0,,
26,2002,2002-11-17,10,26.178,ATL,,NOR,W 24-17,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,2,50.0,0,6,0.0,,
27,2002,2002-11-24,11,26.185,ATL,@,CAR,W 41-0,,0,0,,0,0,0,0,,0,0.0%,,5,6,83.3,,1,0.0,0,5,0.0,,
28,2002,2002-12-01,12,26.192,ATL,@,MIN,W 30-24,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,,
29,2002,2002-12-08,13,26.199,ATL,@,TAM,L 10-34,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,1,100.0,0,4,0.0,,
30,2002,2002-12-15,14,26.206,ATL,,SEA,L 24-30,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,2,50.0,0,6,0.0,,
31,2002,2002-12-22,15,26.213,ATL,,DET,W 36-15,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,5,5,100.0,0,18,0.0,,
32,2002,2002-12-29,16,26.220,ATL,@,CLE,L 16-24,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,3,4,75.0,0,10,0.0,,
33,2003,2003-09-07,1,27.107,ATL,@,DAL,W 27-13,,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,,
34,2003,2003-09-14,2,27.114,ATL,,WAS,L 31-33,,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,1,2,50.0,0,7,0.0,,
35,2003,2003-09-21,3,27.121,ATL,,TAM,L 10-31,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,2,50.0,0,4,0.0,,
36,2003,2003-09-28,4,27.128,ATL,@,CAR,L 3-23,,0,0,,0,0,0,0,,0,0.0%,,,,,1,2,50.0,0,3,0.0,,
37,2003,2003-10-05,5,27.135,ATL,,MIN,L 26-39,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,2,100.0,0,8,0.0,,
38,2003,2003-10-13,6,27.143,ATL,@,STL,L 0-36,,0,0,,0,0,0,0,,0,0.0%,,,,,,1,0.0,0,0,0.0,,
39,2003,2003-10-19,7,27.149,ATL,,NOR,L 17-45,,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,1,100.0,0,5,0.0,,
