ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-24,1,27.284,CRD,,PHI,L 7-45,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,6,34,5.67,0,0,0,,0
2,1950,1950-10-02,2,27.292,CRD,,BAL,W 55-13,,0,0,,0,0,,,,,,,16,80,5.00,2,1,28,28.00,0
3,1950,1950-10-15,4,27.305,CRD,@,CLE,L 24-34,,0,0,,0,0,,,,,,,9,17,1.89,0,2,28,14.00,0
4,1950,1950-10-22,5,27.312,CRD,@,WAS,W 38-28,,0,0,,0,0,,,,,,,9,71,7.89,1,0,0,,0
5,1950,1950-11-05,7,27.326,CRD,,CLE,L 7-10,,0,0,,0,0,,,,,,,3,1,0.33,0,2,27,13.50,0
6,1950,1950-11-12,8,27.333,CRD,@,NYG,L 21-51,,0,0,,0,0,,,,,,,1,-1,-1.00,0,1,18,18.00,1
7,1950,1950-11-19,9,27.340,CRD,@,PHI,W 14-10,,1,2,50.00,19,0,0,83.3,0,0,9.50,9.50,14,64,4.57,0,0,0,,0
8,1950,1950-11-23,10,27.344,CRD,,PIT,L 17-28,,0,0,,0,0,,,,,,,8,29,3.63,0,0,0,,0
9,1950,1950-12-03,11,27.354,CRD,,CHI,W 20-10,,0,0,,0,0,,,,,,,13,44,3.38,0,0,0,,0
10,1950,1950-12-10,12,27.361,CRD,@,PIT,L 7-28,,0,0,,0,0,,,,,,,5,21,4.20,0,0,0,,0
11,1951,1951-09-30,1,28.290,CRD,,PHI,L 14-17,*,5,12,41.67,77,0,2,24.0,0,0,6.42,-1.08,1,19,19.00,0,0,0,,0
12,1951,1951-10-07,2,28.297,CRD,,CHI,W 28-14,,3,10,30.00,39,1,1,37.1,0,0,3.90,1.40,1,7,7.00,0,0,0,,0
