ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,def_int,def_int_yds,def_int_td
1,1969,1969-09-21,2,25.015,NYJ,@,DEN,L 19-21,1,6,6.00,0,0,0,0
2,1969,1969-10-12,5,25.036,NYJ,@,CIN,W 21-7,0,0,,0,1,0,0
3,1969,1969-11-16,10,25.071,NYJ,,KAN,L 16-34,0,0,,0,1,28,0
4,1969,1969-11-23,11,25.078,NYJ,,CIN,W 40-7,0,0,,0,1,35,0
5,1969,1969-12-06,13,25.091,NYJ,@,HOU,W 34-26,0,0,,0,2,35,0
6,1970,1970-09-21,1,26.015,NYJ,@,CLE,L 21-31,,,,,,,
7,1970,1970-09-27,2,26.021,NYJ,@,BOS,W 31-21,,,,,,,
8,1970,1970-10-04,3,26.028,NYJ,@,BUF,L 31-34,,,,,,,
9,1970,1970-10-10,4,26.034,NYJ,,MIA,L 6-20,,,,,,,
10,1970,1970-10-18,5,26.042,NYJ,,BAL,L 22-29,,,,,,,
11,1970,1970-10-25,6,26.049,NYJ,,BUF,L 6-10,,,,,,,
12,1970,1970-11-01,7,26.056,NYJ,,NYG,L 10-22,,,,,,,
13,1970,1970-11-08,8,26.063,NYJ,@,PIT,L 17-21,,,,,,,
14,1970,1970-11-15,9,26.070,NYJ,@,RAM,W 31-20,,,,,,,
15,1970,1970-11-22,10,26.077,NYJ,,BOS,W 17-3,,,,,,,
16,1970,1970-11-29,11,26.084,NYJ,,MIN,W 20-10,,,,,,,
17,1970,1970-12-06,12,26.091,NYJ,,OAK,L 13-14,,,,,,,
18,1970,1970-12-13,13,26.098,NYJ,@,MIA,L 10-16,,,,,,,
19,1970,1970-12-19,14,26.104,NYJ,@,BAL,L 20-35,,,,,,,
20,1971,1971-09-19,1,27.013,NYJ,@,BAL,L 0-22,,,,,,,
21,1971,1971-09-27,2,27.021,NYJ,@,STL,L 10-17,,,,,,,
22,1971,1971-10-03,3,27.027,NYJ,@,MIA,W 14-10,,,,,,,
23,1971,1971-10-10,4,27.034,NYJ,@,NWE,L 0-20,,,,,,,
24,1971,1971-10-17,5,27.041,NYJ,,BUF,W 28-17,0,0,,0,1,0,0
25,1971,1971-10-24,6,27.048,NYJ,,MIA,L 14-30,,,,,,,
26,1971,1971-10-31,7,27.055,NYJ,@,SDG,L 21-49,,,,,,,
27,1971,1971-11-07,8,27.062,NYJ,,KAN,W 13-10,,,,,,,
28,1971,1971-11-14,9,27.069,NYJ,,BAL,L 13-14,,,,,,,
29,1971,1971-11-21,10,27.076,NYJ,@,BUF,W 20-7,0,0,,0,1,13,0
30,1971,1971-11-28,11,27.083,NYJ,,SFO,L 21-24,,,,,,,
31,1971,1971-12-04,12,27.089,NYJ,@,DAL,L 10-52,,,,,,,
32,1971,1971-12-12,13,27.097,NYJ,,NWE,W 13-6,,,,,,,
33,1971,1971-12-19,14,27.104,NYJ,,CIN,W 35-21,,,,,,,
34,1972,1972-11-12,9,28.067,PIT,,KAN,W 16-7,,,,,,,
35,1972,1972-11-19,10,28.074,PIT,@,CLE,L 24-26,,,,,,,
36,1972,1972-11-26,11,28.081,PIT,,MIN,W 23-10,,,,,,,
37,1972,1972-12-03,12,28.088,PIT,,CLE,W 30-0,,,,,,,
38,1972,1972-12-10,13,28.095,PIT,@,HOU,W 9-3,,,,,,,
39,1972,1972-12-17,14,28.102,PIT,@,SDG,W 24-2,,,,,,,
40,1973,1973-09-16,1,29.010,PIT,,DET,W 24-10,,,,,,,
41,1973,1973-09-23,2,29.017,PIT,,CLE,W 33-6,,,,,,,
42,1973,1973-09-30,3,29.024,PIT,@,HOU,W 36-7,,,,,,,
43,1973,1973-10-07,4,29.031,PIT,,SDG,W 38-21,0,0,,0,1,0,0
44,1973,1973-10-14,5,29.038,PIT,@,CIN,L 7-19,,,,,,,
45,1973,1973-10-21,6,29.045,PIT,,NYJ,W 26-14,,,,,,,
46,1973,1973-10-28,7,29.052,PIT,,CIN,W 20-13,,,,,,,
47,1973,1973-11-05,8,29.060,PIT,,WAS,W 21-16,,,,,,,
48,1973,1973-11-11,9,29.066,PIT,@,OAK,W 17-9,,,,,,,
49,1973,1973-11-18,10,29.073,PIT,,DEN,L 13-23,,,,,,,
