ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1993,1993-09-05,1,23.033,RAI,,MIN,W 24-7,4,15,3.75,0,2,2,6,3.00,0,100.0%,3.00,0,0
2,1993,1993-09-12,2,23.040,RAI,@,SEA,W 17-13,1,-6,-6.00,0,2,0,0,,0,0.0%,0.00,0,0
3,1993,1993-09-19,3,23.047,RAI,,CLE,L 16-19,4,20,5.00,0,,0,0,,0,0.0%,,0,0
4,1993,1993-10-03,4,23.061,RAI,@,KAN,L 9-24,5,20,4.00,0,4,3,13,4.33,0,75.0%,3.25,0,0
5,1993,1993-10-10,5,23.068,RAI,,NYJ,W 24-20,1,4,4.00,0,3,1,2,2.00,0,33.3%,0.67,0,0
6,1993,1993-10-18,6,23.076,RAI,@,DEN,W 23-20,2,3,1.50,0,1,0,0,,0,0.0%,0.00,0,0
7,1993,1993-10-31,7,23.089,RAI,,SDG,L 23-30,1,1,1.00,0,4,2,6,3.00,0,50.0%,1.50,0,0
8,1993,1993-11-07,8,23.096,RAI,@,CHI,W 16-14,1,-1,-1.00,0,1,0,0,,0,0.0%,0.00,0,0
9,1993,1993-11-14,9,23.103,RAI,,KAN,L 20-31,1,-7,-7.00,0,1,0,0,,0,0.0%,0.00,0,0
10,1993,1993-11-21,10,23.110,RAI,@,SDG,W 12-7,3,11,3.67,0,,0,0,,0,0.0%,,0,0
11,1993,1993-12-26,15,23.145,RAI,@,GNB,L 0-28,1,2,2.00,0,,0,0,,0,0.0%,,0,0
12,1993,1994-01-02,16,23.152,RAI,,DEN,W 33-30,13,44,3.38,0,5,2,16,8.00,0,40.0%,3.20,0,0
13,1994,1994-09-05,1,24.033,RAI,@,SFO,L 14-44,6,4,0.67,0,1,1,0,0.00,0,100.0%,0.00,0,0
14,1994,1994-09-11,2,24.039,RAI,,SEA,L 9-38,3,11,3.67,0,1,1,7,7.00,0,100.0%,7.00,0,0
15,1994,1994-09-18,3,24.046,RAI,@,DEN,W 48-16,13,53,4.08,0,3,3,93,31.00,1,100.0%,31.00,1,6
16,1994,1994-09-25,4,24.053,RAI,,SDG,L 24-26,4,5,1.25,0,2,1,9,9.00,0,50.0%,4.50,0,0
17,1994,1994-10-09,5,24.067,RAI,@,NWE,W 21-17,3,7,2.33,0,2,1,14,14.00,0,50.0%,7.00,0,0
18,1994,1994-10-16,6,24.074,RAI,@,MIA,L 17-20,7,17,2.43,0,1,1,3,3.00,0,100.0%,3.00,0,0
