ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2000,2000-11-23,12,23.112,NWE,@,DET,L 9-34,,1,3,33.33,6,0,0,42.4,0,0,2.00,2.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
2,2001,2001-09-23,2,24.051,NWE,,NYJ,L 3-10,,5,10,50.00,46,0,0,62.9,0,0,4.60,4.60,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
3,2001,2001-09-30,3,24.058,NWE,,IND,W 44-13,*,13,23,56.52,168,0,0,79.6,1,9,7.30,7.30,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
4,2001,2001-10-07,4,24.065,NWE,@,MIA,L 10-30,*,12,24,50.00,86,0,0,58.7,4,17,3.58,3.58,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
5,2001,2001-10-14,5,24.072,NWE,,SDG,W 29-26,*,33,54,61.11,364,2,0,93.4,3,19,6.74,7.48,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
6,2001,2001-10-21,6,24.079,NWE,@,IND,W 38-17,*,16,20,80.00,202,3,0,148.3,0,0,10.10,13.10,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
7,2001,2001-10-28,7,24.086,NWE,@,DEN,L 20-31,*,25,38,65.79,203,2,4,57.1,2,20,5.34,1.66,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
8,2001,2001-11-04,8,24.093,NWE,@,ATL,W 24-10,*,21,31,67.74,250,3,0,124.4,3,14,8.06,10.00,3,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
9,2001,2001-11-11,9,24.100,NWE,,BUF,W 21-11,*,15,21,71.43,107,1,1,78.9,7,36,5.10,3.90,4,-1,-0.25,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
10,2001,2001-11-18,10,24.107,NWE,,STL,L 17-24,*,19,27,70.37,185,1,2,70.8,2,6,6.85,4.26,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
11,2001,2001-11-25,11,24.114,NWE,,NOR,W 34-17,*,19,26,73.08,258,4,0,143.9,4,17,9.92,13.00,4,14,3.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
12,2001,2001-12-02,12,24.121,NWE,@,NYJ,W 17-16,*,20,28,71.43,213,0,0,93.3,3,22,7.61,7.61,3,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
13,2001,2001-12-09,13,24.128,NWE,,CLE,W 27-16,*,19,28,67.86,218,0,2,61.3,3,9,7.79,4.57,4,-3,-0.75,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
14,2001,2001-12-16,14,24.135,NWE,@,BUF,W 12-9,*,19,35,54.29,237,0,1,63.6,5,31,6.77,5.49,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
15,2001,2001-12-22,15,24.141,NWE,,MIA,W 20-13,*,11,19,57.89,108,1,0,91.6,3,14,5.68,6.74,3,-5,-1.67,0,1,1,23,23.00,0,100.0%,23.00,0,0,0.0,,,0,0,,0
16,2001,2002-01-06,16,24.156,NWE,@,CAR,W 38-6,*,17,29,58.62,198,1,2,62.1,1,2,6.83,4.41,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
