ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,2001,2001-09-09,1,22.110,WAS,@,SDG,L 3-30,,,,,,,0.0%,,,,,,,,,,,
2,2001,2001-09-24,2,22.125,WAS,@,GNB,L 0-37,,0,,,,,0.0%,,,,,,,,,,,
3,2001,2001-09-30,3,22.131,WAS,,KAN,L 13-45,,0,,,,,0.0%,,,,,,,,,,,
4,2001,2001-10-07,4,22.138,WAS,@,NYG,L 9-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,12,0
5,2001,2001-10-15,5,22.146,WAS,@,DAL,L 7-9,,,,,,,0.0%,,,,,,,,,,,
6,2001,2001-10-21,6,22.152,WAS,,CAR,W 17-14,,,,,,,0.0%,,,,,,,,,,,
7,2001,2001-10-28,7,22.159,WAS,,NYG,W 35-21,,,,,,,0.0%,,,,,,,,,,,
8,2001,2001-11-04,8,22.166,WAS,,SEA,W 27-14,,,,,,,0.0%,,,,,,,,,,,
9,2001,2001-11-18,9,22.180,WAS,@,DEN,W 17-10,,,,,,,0.0%,,,,,,,,,,,
10,2001,2001-11-25,10,22.187,WAS,@,PHI,W 13-3,,0,,,,,0.0%,,,,,,,,,,,
11,2001,2001-12-02,11,22.194,WAS,,DAL,L 14-20,,,,,,,0.0%,,,,,,,,,,,
12,2001,2001-12-09,12,22.201,WAS,@,ARI,W 20-10,,,,,,,0.0%,,,,,,,,,,,
13,2001,2001-12-16,13,22.208,WAS,,PHI,L 6-20,,0,,,,,0.0%,,,,,,,,,,,
14,2001,2001-12-23,14,22.215,WAS,,CHI,L 15-20,,,,,,,0.0%,,,,,,,,,,,
15,2001,2001-12-30,15,22.222,WAS,@,NOR,W 40-10,,0,,,,,0.0%,,,,,,,,,,,
16,2001,2002-01-06,16,22.229,WAS,,ARI,W 20-17,,,,,,,0.0%,,,,,,,,,,,
17,2002,2002-09-08,1,23.109,WAS,,ARI,W 31-23,,0,,,,,0.0%,,,,,,,,,,,
18,2002,2002-09-16,2,23.117,WAS,,PHI,L 7-37,,0,,,,,0.0%,,,,,,,,,,,
19,2002,2002-09-22,3,23.123,WAS,@,SFO,L 10-20,*,0,,,,,0.0%,,,,,,,,,,,
20,2002,2002-10-06,4,23.137,WAS,@,TEN,W 31-14,,0,,,,,0.0%,,0,5,,0,,,,,,
21,2002,2002-10-13,5,23.144,WAS,,NOR,L 27-43,,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,1,78,1
22,2002,2002-10-20,6,23.151,WAS,@,GNB,L 9-30,,0,,,,,0.0%,,,,,,,,,,,
23,2002,2002-10-27,7,23.158,WAS,,IND,W 26-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,4,0
24,2002,2002-11-03,8,23.165,WAS,@,SEA,W 14-3,*,0,,,,,0.0%,,,,,,,,,,,
25,2002,2002-11-10,9,23.172,WAS,@,JAX,L 7-26,*,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
26,2002,2002-11-17,10,23.179,WAS,@,NYG,L 17-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,27,0
27,2002,2002-11-24,11,23.186,WAS,,STL,W 20-17,*,0,,,,,0.0%,,,,,,,,,,,
28,2002,2002-11-28,12,23.190,WAS,@,DAL,L 20-27,*,0,,,,,0.0%,,,,,,,,,,,
29,2002,2002-12-08,13,23.200,WAS,,NYG,L 21-27,*,0,,,,,0.0%,,,,,,,,,,,
30,2002,2002-12-15,14,23.207,WAS,@,PHI,L 21-34,*,0,,,,,0.0%,,,,,,,,,,,
31,2002,2002-12-22,15,23.214,WAS,,HOU,W 26-10,*,0,,,,,0.0%,,,,,,,,,,,
32,2002,2002-12-29,16,23.221,WAS,,DAL,W 20-14,,0,,,,,0.0%,,,,,,,,,,,
33,2003,2003-09-04,1,24.105,WAS,,NYJ,W 16-13,*,0,,,,,0.0%,,,,,,,,,,,
34,2003,2003-09-14,2,24.115,WAS,@,ATL,W 33-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,30,0
35,2003,2003-09-21,3,24.122,WAS,,NYG,L 21-24,*,0,,,,,0.0%,,,,,,,,,,,
36,2003,2003-09-28,4,24.129,WAS,,NWE,W 20-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0
37,2003,2003-10-05,5,24.136,WAS,@,PHI,L 25-27,*,0,,,,,0.0%,,,,,,,,,,,
38,2003,2003-10-12,6,24.143,WAS,,TAM,L 13-35,*,0,,,,,0.0%,,,,,,,,,,,
39,2003,2003-10-19,7,24.150,WAS,@,BUF,L 7-24,*,0,,,,,0.0%,,,,,,,,,,,
