ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks,def_int,def_int_yds,def_int_td
1,1988,1988-09-04,1,21.261,PIT,,DAL,W 24-21,1.0,0,0,0
2,1988,1988-09-11,2,21.268,PIT,@,WAS,L 29-30,,,,
3,1988,1988-09-18,3,21.275,PIT,,CIN,L 12-17,,,,
4,1988,1988-09-25,4,21.282,PIT,@,BUF,L 28-36,,,,
5,1988,1988-10-02,5,21.289,PIT,,CLE,L 9-23,,,,
6,1988,1988-10-09,6,21.296,PIT,@,PHO,L 14-31,,,,
7,1988,1988-10-16,7,21.303,PIT,,HOU,L 14-34,,,,
8,1988,1988-10-23,8,21.310,PIT,,DEN,W 39-21,,,,
9,1988,1988-10-30,9,21.317,PIT,@,NYJ,L 20-24,,,,
10,1988,1988-11-06,10,21.324,PIT,@,CIN,L 7-42,,,,
11,1988,1988-11-13,11,21.331,PIT,,PHI,L 26-27,0.5,0,0,0
12,1988,1988-11-20,12,21.338,PIT,@,CLE,L 7-27,,,,
13,1988,1988-11-27,13,21.345,PIT,,KAN,W 16-10,,,,
14,1988,1988-12-04,14,21.352,PIT,@,HOU,W 37-34,,,,
15,1988,1988-12-11,15,21.359,PIT,@,SDG,L 14-20,,,,
16,1989,1989-09-10,1,22.266,PIT,,CLE,L 0-51,,,,
17,1989,1989-09-17,2,22.273,PIT,@,CIN,L 10-41,,,,
18,1989,1989-09-24,3,22.280,PIT,,MIN,W 27-14,,,,
19,1989,1989-10-01,4,22.287,PIT,@,DET,W 23-3,,,,
20,1989,1989-10-08,5,22.294,PIT,,CIN,L 16-26,,,,
21,1989,1989-10-15,6,22.301,PIT,@,CLE,W 17-7,,,,
22,1989,1989-10-22,7,22.308,PIT,@,HOU,L 0-27,,,,
23,1989,1989-10-29,8,22.315,PIT,,KAN,W 23-17,,,,
24,1989,1989-11-05,9,22.322,PIT,@,DEN,L 7-34,,,,
25,1989,1989-11-12,10,22.329,PIT,,CHI,L 0-20,,,,
26,1989,1989-11-19,11,22.336,PIT,,SDG,W 20-17,1.0,0,0,0
27,1989,1989-11-26,12,22.343,PIT,@,MIA,W 34-14,,,,
