ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1979,1979-09-02,1,22.032,STL,,DAL,L 21-22,,,,,,,,,,,,,,,,
2,1979,1979-09-09,2,22.039,STL,@,NYG,W 27-14,5,20,4.00,0,0,0,,0,0,0,,0,2,25,12.50,0
3,1979,1979-09-16,3,22.046,STL,,PIT,L 21-24,,,,,,,,,,,,,,,,
4,1979,1979-09-23,4,22.053,STL,,WAS,L 7-17,3,8,2.67,0,0,0,,0,0,0,,0,0,0,,0
5,1979,1979-09-30,5,22.060,STL,@,RAM,L 0-21,0,0,,0,0,0,,0,0,0,,0,2,8,4.00,0
6,1979,1979-10-07,6,22.067,STL,@,HOU,W 24-17,0,0,,0,1,5,5.00,0,0,0,,0,0,0,,0
7,1979,1979-10-14,7,22.074,STL,,PHI,L 20-24,0,0,,0,0,0,,0,1,19,19.00,0,0,0,,0
8,1979,1979-10-21,8,22.081,STL,@,DAL,L 13-22,,,,,,,,,,,,,,,,
9,1979,1979-10-28,9,22.088,STL,,CLE,L 20-38,3,22,7.33,0,1,3,3.00,0,0,0,,0,0,0,,0
10,1979,1979-11-04,10,22.095,STL,,MIN,W 37-7,,,,,,,,,,,,,,,,
