ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2000,2000-09-10,2,22.176,TAM,,CHI,W 41-0,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,0.0,,
2,2000,2000-10-01,5,22.197,TAM,@,WAS,L 17-20,,,,,,,0.0%,,,,,,,,,,,,,,
3,2000,2000-10-09,6,22.205,TAM,@,MIN,L 23-30,,1,,,,,0.0%,,,,,,,,,,,,,,
4,2000,2000-10-19,7,22.215,TAM,,DET,L 14-28,,,,,,,0.0%,,,,,,,,,,,,,,
5,2000,2000-11-26,12,22.253,TAM,,BUF,W 31-17,,,,,,,0.0%,,,,,,,,,,,,,,
6,2000,2000-12-03,13,22.260,TAM,,DAL,W 27-7,,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0,0.0,,
7,2000,2000-12-10,14,22.267,TAM,@,MIA,W 16-13,,0,,,,,0.0%,,,,,,,,,,,,,,
8,2000,2000-12-18,15,22.275,TAM,,STL,W 38-35,,0,,,,,0.0%,,,,,,,,,,,,,,
9,2000,2000-12-24,16,22.281,TAM,@,GNB,L 14-17,,1,,,,,0.0%,,,,,,,,,,,,,,
10,2001,2001-09-09,1,23.175,TAM,@,DAL,W 10-6,,,,,,,0.0%,,,,,,,,,,,,,,
11,2001,2001-09-30,2,23.196,TAM,@,MIN,L 16-20,,,,,,,0.0%,,,,,,,,,,,,,,
12,2001,2001-10-07,3,23.203,TAM,,GNB,W 14-10,,,,,,,0.0%,,,,,,,,,,,,,,
13,2001,2001-10-14,4,23.210,TAM,@,TEN,L 28-31,,0,,,,,0.0%,,,,,,,,,,,,,,
14,2001,2001-10-21,5,23.217,TAM,,PIT,L 10-17,,,,,,,0.0%,,,,,,,,,,,,,,
15,2001,2001-10-28,6,23.224,TAM,,MIN,W 41-14,,0,,,,,0.0%,,,,,,,,,,,,,,
