ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2016,2016-09-11,1,23.192,NOR,,OAK,L 34-35,,6,6,58,9.67,0,100.0%,9.67,0,0
2,2016,2016-09-18,2,23.199,NOR,@,NYG,L 13-16,*,5,4,56,14.00,0,80.0%,11.20,0,0
3,2016,2016-09-26,3,23.207,NOR,,ATL,L 32-45,*,11,7,71,10.14,1,63.6%,6.45,1,6
4,2016,2016-10-02,4,23.213,NOR,@,SDG,W 35-34,*,9,4,44,11.00,1,44.4%,4.89,1,6
5,2016,2016-10-16,5,23.227,NOR,,CAR,W 41-38,*,5,5,78,15.60,1,100.0%,15.60,1,6
6,2016,2016-10-23,6,23.234,NOR,@,KAN,L 21-27,*,13,10,130,13.00,0,76.9%,10.00,0,0
7,2016,2016-10-30,7,23.241,NOR,,SEA,W 25-20,,6,6,63,10.50,0,100.0%,10.50,0,0
8,2016,2016-11-06,8,23.248,NOR,@,SFO,W 41-23,*,8,5,73,14.60,2,62.5%,9.13,2,12
9,2016,2016-11-13,9,23.255,NOR,,DEN,L 23-25,*,6,4,40,10.00,0,66.7%,6.67,0,0
10,2016,2016-11-17,10,23.259,NOR,@,CAR,L 20-23,*,5,5,68,13.60,0,100.0%,13.60,0,0
11,2016,2016-11-27,11,23.269,NOR,,LAR,W 49-21,,10,9,108,12.00,2,90.0%,10.80,2,12
12,2016,2016-12-04,12,23.276,NOR,,DET,L 13-28,*,5,4,42,10.50,0,80.0%,8.40,0,0
13,2016,2016-12-18,14,23.290,NOR,@,ARI,W 48-41,*,10,7,52,7.43,1,70.0%,5.20,1,6
14,2016,2016-12-24,15,23.296,NOR,,TAM,W 31-24,*,8,6,98,16.33,0,75.0%,12.25,0,0
15,2016,2017-01-01,16,23.304,NOR,@,ATL,L 32-38,*,14,10,156,15.60,1,71.4%,11.14,1,6
16,2017,2017-09-11,1,24.192,NOR,@,MIN,L 19-29,*,8,5,45,9.00,0,62.5%,5.63,0,0
17,2017,2017-09-17,2,24.198,NOR,,NWE,L 20-36,*,10,5,89,17.80,0,50.0%,8.90,0,0
18,2017,2017-09-24,3,24.205,NOR,@,CAR,W 34-13,*,8,7,87,12.43,1,87.5%,10.88,1,6
19,2017,2017-10-01,4,24.212,NOR,@,MIA,W 20-0,*,11,8,89,11.13,1,72.7%,8.09,1,6
20,2017,2017-10-15,5,24.226,NOR,,DET,W 52-38,*,6,3,11,3.67,0,50.0%,1.83,0,0
21,2017,2017-10-22,6,24.233,NOR,@,GNB,W 26-17,*,11,7,82,11.71,0,63.6%,7.45,0,0
22,2017,2017-10-29,7,24.240,NOR,,CHI,W 20-12,,8,7,77,11.00,0,87.5%,9.63,0,0
23,2017,2017-11-05,8,24.247,NOR,,TAM,W 30-10,*,11,8,65,8.13,0,72.7%,5.91,0,0
24,2017,2017-11-12,9,24.254,NOR,@,BUF,W 47-10,*,10,9,117,13.00,0,90.0%,11.70,0,0
25,2017,2017-11-19,10,24.261,NOR,,WAS,W 34-31,,11,6,91,15.17,0,54.5%,8.27,0,0
26,2017,2017-11-26,11,24.268,NOR,@,LAR,L 20-26,*,8,5,52,10.40,0,62.5%,6.50,0,0
27,2017,2017-12-03,12,24.275,NOR,,CAR,W 31-21,*,9,5,70,14.00,1,55.6%,7.78,1,6
28,2017,2017-12-07,13,24.279,NOR,@,ATL,L 17-20,*,14,10,117,11.70,1,71.4%,8.36,1,6
29,2017,2017-12-17,14,24.289,NOR,,NYJ,W 31-19,*,11,9,93,10.33,1,81.8%,8.45,1,6
30,2017,2017-12-24,15,24.296,NOR,,ATL,W 23-13,*,5,4,66,16.50,0,80.0%,13.20,0,0
31,2017,2017-12-31,16,24.303,NOR,@,TAM,L 24-31,*,8,6,94,15.67,0,75.0%,11.75,0,0
32,2018,2018-09-09,1,25.190,NOR,,TAM,L 40-48,*,17,16,180,11.25,1,94.1%,10.59,1,6
33,2018,2018-09-16,2,25.197,NOR,,CLE,W 21-18,*,13,12,89,7.42,2,92.3%,6.85,2,12
34,2018,2018-09-23,3,25.204,NOR,@,ATL,W 43-37,*,10,10,129,12.90,0,100.0%,12.90,0,0
