ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
1,2014,2014-10-20,7,22.304,PIT,,HOU,W 30-23,,5,2,40,20.00,1,40.0%,8.00,0,0,,0,0,0,,0,,1,6
2,2014,2014-10-26,8,22.310,PIT,,IND,W 51-34,,7,5,83,16.60,2,71.4%,11.86,0,0,,0,0,0,,0,,2,12
3,2014,2014-11-02,9,22.317,PIT,,BAL,W 43-23,*,5,3,44,14.67,2,60.0%,8.80,1,3,3.00,0,0,0,,0,,2,12
4,2014,2014-11-09,10,22.324,PIT,@,NYJ,L 13-20,*,7,4,143,35.75,1,57.1%,20.43,0,0,,0,0,0,,0,,1,6
5,2014,2014-11-17,11,22.332,PIT,@,TEN,W 27-24,,5,2,11,5.50,0,40.0%,2.20,0,0,,0,0,0,,0,,0,0
6,2014,2014-11-30,12,22.345,PIT,,NOR,L 32-35,,4,1,23,23.00,0,25.0%,5.75,0,0,,0,0,0,,0,,0,0
7,2014,2014-12-07,13,22.352,PIT,@,CIN,W 42-21,,6,4,109,27.25,1,66.7%,18.17,0,0,,0,0,0,,0,,1,6
8,2014,2014-12-14,14,22.359,PIT,@,ATL,W 27-20,,5,3,31,10.33,0,60.0%,6.20,0,0,,0,0,0,,0,,0,0
9,2014,2014-12-21,15,23.001,PIT,,KAN,W 20-12,,2,1,44,44.00,0,50.0%,22.00,2,9,4.50,0,0,0,,0,,0,0
10,2014,2014-12-28,16,23.008,PIT,,CIN,W 27-17,*,2,1,21,21.00,1,50.0%,10.50,0,0,,0,0,0,,0,,1,6
11,2015,2015-10-18,6,23.302,PIT,,ARI,W 25-13,,8,6,137,22.83,2,75.0%,17.13,1,8,8.00,0,0,0,,0,,2,12
12,2015,2015-10-25,7,23.309,PIT,@,KAN,L 13-23,*,8,3,45,15.00,1,37.5%,5.63,1,13,13.00,0,0,0,,0,,1,6
13,2015,2015-11-01,8,23.316,PIT,,CIN,L 10-16,,9,4,49,12.25,0,44.4%,5.44,0,0,,0,0,0,,0,,0,0
14,2015,2015-11-08,9,23.323,PIT,,OAK,W 38-35,*,7,3,31,10.33,1,42.9%,4.43,0,0,,0,0,0,,0,,1,6
15,2015,2015-11-15,10,23.330,PIT,,CLE,W 30-9,,10,6,178,29.67,1,60.0%,17.80,0,0,,0,0,0,,0,,1,6
16,2015,2015-11-29,11,23.344,PIT,@,SEA,L 30-39,,13,5,69,13.80,0,38.5%,5.31,1,11,11.00,1,0,0,,0,,1,6
17,2015,2015-12-06,12,23.351,PIT,,IND,W 45-10,,8,4,114,28.50,1,50.0%,14.25,0,0,,0,0,0,,0,,1,6
18,2015,2015-12-13,13,23.358,PIT,@,CIN,W 33-20,*,9,7,49,7.00,0,77.8%,5.44,1,1,1.00,0,0,0,,0,,0,0
19,2015,2015-12-20,14,24.000,PIT,,DEN,W 34-27,*,14,10,87,8.70,0,71.4%,6.21,0,0,,0,0,0,,0,,0,0
20,2015,2015-12-27,15,24.007,PIT,@,BAL,L 17-20,*,3,1,6,6.00,0,33.3%,2.00,1,4,4.00,0,0,0,,0,,0,0
21,2015,2016-01-03,16,24.014,PIT,@,CLE,W 28-12,,3,1,0,0.00,0,33.3%,0.00,0,0,,0,0,0,,0,,0,0
22,2017,2017-09-10,1,25.264,PIT,@,CLE,W 21-18,,6,2,14,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,,0,0
23,2017,2017-09-17,2,25.271,PIT,,MIN,W 26-9,,4,3,91,30.33,1,75.0%,22.75,1,7,7.00,0,0,0,,0,,1,6
24,2017,2017-09-24,3,25.278,PIT,@,CHI,L 17-23,*,8,2,30,15.00,0,25.0%,3.75,0,0,,0,0,0,,0,,0,0
25,2017,2017-10-01,4,25.285,PIT,@,BAL,W 26-9,,5,3,48,16.00,0,60.0%,9.60,0,0,,0,0,0,,0,,0,0
26,2017,2017-10-08,5,25.292,PIT,,JAX,L 9-30,*,8,5,21,4.20,0,62.5%,2.63,1,13,13.00,0,0,0,,0,,0,0
27,2017,2017-10-15,6,25.299,PIT,@,KAN,W 19-13,*,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,,0,0
28,2017,2017-10-22,7,25.306,PIT,,CIN,W 29-14,*,2,1,3,3.00,0,50.0%,1.50,1,2,2.00,0,0,0,,0,,0,0
29,2017,2017-11-12,9,25.327,PIT,@,IND,W 20-17,,5,3,42,14.00,0,60.0%,8.40,1,-9,-9.00,0,0,0,,0,1,0,2
30,2017,2017-11-16,10,25.331,PIT,,TEN,W 40-17,,4,2,30,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,,0,0
31,2017,2017-11-26,11,25.341,PIT,,GNB,W 31-28,*,6,4,40,10.00,1,66.7%,6.67,1,1,1.00,0,2,58,29.00,0,,1,6
32,2017,2017-12-04,12,25.349,PIT,@,CIN,W 23-20,,6,4,40,10.00,0,66.7%,6.67,0,0,,0,2,38,19.00,0,,0,0
33,2017,2017-12-10,13,25.355,PIT,,BAL,W 39-38,*,10,6,33,5.50,0,60.0%,3.30,0,0,,0,5,55,11.00,0,,0,0
34,2017,2017-12-17,14,25.362,PIT,,NWE,L 24-27,,6,4,59,14.75,1,66.7%,9.83,0,0,,0,0,0,,0,,1,6
35,2017,2017-12-25,15,26.005,PIT,@,HOU,W 34-6,*,4,3,60,20.00,0,75.0%,15.00,1,8,8.00,0,0,0,,0,,0,0
36,2017,2017-12-31,16,26.011,PIT,,CLE,W 28-24,*,7,6,65,10.83,0,85.7%,9.29,0,0,,0,0,0,,0,,0,0
37,2018,2018-09-16,2,26.270,OAK,@,DEN,L 19-20,*,3,4,30,7.50,0,133.3%,10.00,0,0,,0,0,0,,0,,0,0
38,2018,2018-09-23,3,26.277,OAK,@,MIA,L 20-28,,5,2,30,15.00,0,40.0%,6.00,1,4,4.00,0,0,0,,0,,0,0
