ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1954,1954-09-26,1,24.086,WAS,@,SFO,L 7-41,2,14,7.00,0,1,13,13.00,1,,,,
2,1954,1954-10-02,2,24.092,WAS,@,PIT,L 7-37,0,0,,0,1,1,1.00,0,,,,
3,1954,1954-10-17,4,24.107,WAS,,PHI,L 21-49,3,0,0.00,0,0,0,,0,,,,
4,1954,1954-10-24,5,24.114,WAS,@,NYG,L 7-24,6,-7,-1.17,0,2,18,9.00,0,,,,
5,1954,1954-10-31,6,24.121,WAS,,BAL,W 24-21,9,15,1.67,0,0,0,,0,,,,
6,1954,1954-11-21,9,24.142,WAS,@,CRD,L 16-38,1,-3,-3.00,0,0,0,,0,,,,
7,1955,1955-10-09,3,25.099,WAS,,CRD,L 10-24,3,18,6.00,0,0,0,,0,,,,
8,1955,1955-11-20,9,25.141,WAS,@,CRD,W 31-0,3,9,3.00,0,0,0,,0,,,,
9,1956,1956-12-09,10,26.160,WAS,,PHI,W 19-17,2,3,1.50,0,0,0,,0,,,,
10,1957,1957-10-06,2,27.096,WAS,@,CRD,W 37-14,7,52,7.43,0,1,18,18.00,0,,,,
11,1957,1957-10-13,3,27.103,WAS,,NYG,L 20-24,1,5,5.00,0,1,12,12.00,0,,,,
12,1957,1957-10-20,4,27.110,WAS,,CRD,L 14-44,1,3,3.00,0,0,0,,0,,,,
13,1958,1958-09-28,1,28.088,WAS,@,PHI,W 24-14,4,27,6.75,0,0,0,,0,,,,
14,1958,1958-10-12,3,28.102,WAS,,NYG,L 14-21,1,3,3.00,0,0,0,,0,,,,
15,1960,1960-11-06,7,30.127,PIT,@,PHI,L 7-34,0,0,,0,0,0,,0,1,3,3.00,0
16,1960,1960-11-27,10,30.148,PIT,,WAS,W 22-10,0,0,,0,0,0,,0,1,0,0.00,0
