ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1997,1997-10-19,8,23.271,NYJ,,NWE,W 24-19,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,0,
2,1997,1997-11-02,9,23.285,NYJ,,BAL,W 19-16,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,0,
3,1997,1997-11-09,10,23.292,NYJ,@,MIA,L 17-24,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,0,
4,1997,1997-11-16,11,23.299,NYJ,@,CHI,W 23-15,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,0,
5,1997,1997-11-23,12,23.306,NYJ,,MIN,W 23-21,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,0,
6,1997,1997-11-30,13,23.313,NYJ,@,BUF,L 10-20,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,0,
7,1997,1997-12-07,14,23.320,NYJ,,IND,L 14-22,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,0,
8,1997,1997-12-14,15,23.327,NYJ,,TAM,W 31-0,,2,1,8,8.00,0,50.0%,4.00,7,35,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
9,1997,1997-12-21,16,23.334,NYJ,@,DET,L 10-13,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,0,
10,1998,1998-09-06,1,24.228,NYJ,@,SFO,L 30-36,,3,2,10,5.00,0,66.7%,3.33,2,1,0.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
11,1998,1998-09-13,2,24.235,NYJ,,BAL,L 10-24,,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
12,1998,1998-09-20,3,24.242,NYJ,,IND,W 44-6,,0,0,0,,0,0.0%,,8,82,10.25,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
13,1998,1998-10-04,4,24.256,NYJ,,MIA,W 20-9,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
14,1998,1998-10-11,5,24.263,NYJ,@,STL,L 10-30,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
