ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2000,2000-09-24,3,23.126,CIN,@,BAL,L 0-37,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0
2,2000,2000-10-01,4,23.133,CIN,,MIA,L 16-31,,,,,,,0.0%,,,,,,,
3,2000,2000-10-08,5,23.140,CIN,,TEN,L 14-23,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
4,2000,2000-10-22,7,23.154,CIN,,DEN,W 31-21,,,,,,,0.0%,,,,,,,
5,2000,2000-10-29,8,23.161,CIN,@,CLE,W 12-3,,,,,,,0.0%,,,,,,,
6,2000,2000-11-05,9,23.168,CIN,,BAL,L 7-27,,,,,,,0.0%,,,,,,,
7,2000,2000-11-12,10,23.175,CIN,@,DAL,L 6-23,,1,,,,,0.0%,,,,,,,
8,2000,2000-11-19,11,23.182,CIN,@,NWE,L 13-16,,6,3,36,12.00,0,50.0%,6.00,0,0,,0,0,0
9,2000,2000-11-26,12,23.189,CIN,,PIT,L 28-48,,3,3,59,19.67,0,100.0%,19.67,0,0,,0,0,0
10,2000,2000-12-03,13,23.196,CIN,,ARI,W 24-13,,1,,,,,0.0%,,,,,,,
11,2000,2000-12-10,14,23.203,CIN,@,TEN,L 3-35,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0
12,2000,2000-12-17,15,23.210,CIN,,JAX,W 17-14,*,6,5,102,20.40,0,83.3%,17.00,0,0,,0,0,0
13,2000,2000-12-24,16,23.217,CIN,@,PHI,L 7-16,,10,5,54,10.80,0,50.0%,5.40,0,0,,0,0,0
14,2001,2001-09-30,3,24.132,CIN,@,SDG,L 14-28,,1,,,,,0.0%,,,,,,,
15,2001,2001-10-07,4,24.139,CIN,@,PIT,L 7-16,,0,,,,,0.0%,,,,,,,
16,2001,2001-10-14,5,24.146,CIN,,CLE,W 24-14,,,,,,,0.0%,,,,,,,
17,2001,2001-10-21,6,24.153,CIN,,CHI,L 0-24,,1,,,,,0.0%,,,,,,,
18,2001,2001-10-28,7,24.160,CIN,@,DET,W 31-27,,,,,,,0.0%,,,,,,,
19,2001,2001-11-11,8,24.174,CIN,@,JAX,L 13-30,,3,3,45,15.00,0,100.0%,15.00,0,0,,0,0,0
20,2001,2001-11-18,9,24.181,CIN,,TEN,L 7-20,,2,2,45,22.50,0,100.0%,22.50,0,0,,0,0,0
21,2001,2001-11-25,10,24.188,CIN,@,CLE,L 0-18,,4,3,32,10.67,0,75.0%,8.00,0,0,,0,0,0
22,2001,2001-12-02,11,24.195,CIN,,TAM,L 13-16,,,,,,,0.0%,,,,,,,
23,2001,2001-12-23,14,24.216,CIN,@,BAL,L 0-16,,3,2,16,8.00,0,66.7%,5.33,1,11,11.00,0,0,0
24,2001,2001-12-30,15,24.223,CIN,,PIT,W 26-23,*,4,2,33,16.50,1,50.0%,8.25,0,0,,0,1,6
25,2001,2002-01-06,16,24.230,CIN,@,TEN,W 23-21,,5,3,57,19.00,0,60.0%,11.40,0,0,,0,0,0
26,2002,2002-09-08,1,25.110,CIN,,SDG,L 6-34,,3,2,54,27.00,0,66.7%,18.00,0,0,,0,0,0
27,2002,2002-10-13,6,25.145,CIN,,PIT,L 7-34,*,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0
28,2002,2002-10-27,7,25.159,CIN,,TEN,L 24-30,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0
29,2002,2002-12-01,12,25.194,CIN,,BAL,L 23-27,,,,,,,0.0%,,,,,,,
30,2002,2002-12-08,13,25.201,CIN,@,CAR,L 31-52,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
31,2002,2002-12-15,14,25.208,CIN,,JAX,L 15-29,,,,,,,0.0%,,,,,,,
32,2002,2002-12-22,15,25.215,CIN,,NOR,W 20-13,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0
33,2002,2002-12-29,16,25.222,CIN,@,BUF,L 9-27,,5,3,40,13.33,0,60.0%,8.00,0,0,,0,0,0
